concept_id,text,text_alt,romanization_hepburn,ipa,literal,confidence,provenance
profanity.oh-my-god,なんてことだ！,,nante koto da!,naɴte koto da,"what a thing -- shock, not swearing",1,profanity-v1;src=Daijirin;ipa=hepburn
profanity.damn,しまった！,,shimatta!,ɕimatta,"it is done -- damn it, mild",1,profanity-v1;src=Daijirin;ipa=hepburn
profanity.expletive,くそ！,,kuso!,kɯso,shit -- about as coarse as Japanese gets,1,profanity-v1;src=Daijirin;ipa=hepburn
profanity.strong-expletive,ちくしょう！,,chikushō!,tɕikɯɕoː,beast -- more vehement than kuso; dated,1,profanity-v1;src=Daijirin;ipa=hepburn
profanity.intensifier,くそ-,,kuso-,kɯso,"prefix: damn -, kuso-atsui; coarse",1,profanity-v1;src=Daijirin;ipa=hepburn
profanity.frustration,最悪だ,,saiaku da,saiakɯ da,the worst -- this is rubbish; mild,1,profanity-v1;src=Daijirin;ipa=hepburn
profanity.thats-rude,その言い方は失礼です,,sono iikata wa shitsurei desu,sono iːkata wa ɕitsɯɾei desɯ,that way of speaking is rude,1,profanity-v1;src=Daijirin;ipa=hepburn
profanity.excuse-my-language,言葉が悪くてすみません,,kotoba ga warukute sumimasen,kotoba ɡa waɾɯkɯte sɯmimaseɴ,"sorry, my words were bad",1,profanity-v1;src=Daijirin;ipa=hepburn
profanity.strength-warning,この欄は聞き取るためのもので、口にするためのものではありません。 言葉の重さは訳に移りません。 ここで軽い悪態のように見える語が、隣の言語では口にできない語であることもあり、ある言語でいちばん重い語は、この欄が載せられなかった語であることが多いのです。,,,,,1,profanity-notes-v1
profanity.japanese-register,,,,,,1,profanity-notes-v1
