concept_id,text,text_alt,romanization_hepburn,ipa,literal,confidence,provenance
hotel-basics.are-any-rooms-available,空室はありますか？,,kūshitsu wa arimasu ka?,kɯːɕitsɯ wa aɾimasɯ ka,,2,japanese-reviewed-v6;ipa=hepburn
hotel-words.passport,パスポート,,pasupōto,pasɯpoːto,,2,japanese-reviewed-v6;ipa=hepburn
room-problems.there-is-a-problem-with-the-room,部屋に問題があります,,heya ni mondai ga arimasu,heja ɲi moɴdai ɡa aɾimasɯ,,2,japanese-reviewed-v6;ipa=hepburn
hotel-requests.can-i-check-out-later,レイトチェックアウトできますか？,,reito chekkuauto dekimasu ka?,ɾeito tɕekkɯaɯto dekimasɯ ka,,2,japanese-reviewed-v6;ipa=hepburn
laundry.please-wash-these-clothes,この服を洗ってください,,kono fuku o aratte kudasai,kono ɸɯkɯ o aɾatte kɯdasai,,2,ja-agent-v1;ipa=hepburn
hotel-basics.there-are-two-of-us,二人です,,futari desu,ɸɯtaɾi desɯ,,2,japanese-reviewed-v6;ipa=hepburn
hotel-words.room-key-card,ルームキー,,rūmu kī,ɾɯːmɯ kiː,,2,japanese-reviewed-v6;ipa=hepburn
room-problems.the-air-conditioning-is-broken,エアコンが壊れています,,eakon ga kowareteimasu,eakoɴ ɡa kowaɾeteimasɯ,,2,japanese-reviewed-v6;ipa=hepburn
hotel-requests.what-time-does-breakfast-start,朝食は何時からですか？,,chōshoku wa nanji kara desu ka?,tɕoːɕokɯ wa naɴdʑi kaɾa desɯ ka,,2,japanese-reviewed-v6;ipa=hepburn
laundry.where-is-a-laundromat,コインランドリーはどこですか？,,koin randorī wa doko desu ka?,koiɴ ɾaɴdoɾiː wa doko desɯ ka,,2,ja-agent-v1;ipa=hepburn
hotel-basics.i-have-a-reservation,予約しています,,yoyaku shiteimasu,jojakɯ ɕiteimasɯ,,2,japanese-reviewed-v6;ipa=hepburn
hotel-words.check-in,チェックイン,,chekkuin,tɕekkɯiɴ,,2,japanese-reviewed-v6;ipa=hepburn
room-problems.there-is-no-hot-water,お湯が出ません,,oyu ga demasen,ojɯ ɡa demaseɴ,,2,japanese-reviewed-v6;ipa=hepburn
hotel-requests.can-i-store-my-luggage,荷物を預けられますか？,,nimotsu o azukeraremasu ka?,ɲimotsɯ o azɯkeɾaɾemasɯ ka,,2,japanese-reviewed-v6;ipa=hepburn
laundry.when-will-it-be-ready,いつできますか？,,itsu dekimasu ka?,itsɯ dekimasɯ ka,,2,ja-agent-v1;ipa=hepburn
