concept_id,text,text_alt,romanization_hepburn,ipa,literal,confidence,provenance
building-words.elevator,エレベーター,,erebētā,eɾebeːtaː,,2,japanese-reviewed-v6;ipa=hepburn
building-help.what-room-number-is-this,これは何号室ですか？,,kore wa nangōshitsu desu ka?,koɾe wa naɴɡoːɕitsɯ desɯ ka,,2,japanese-reviewed-v6;ipa=hepburn
in-a-building.is-this-the-correct-entrance,ここが正しい入口ですか？,,koko ga tadashii iriguchi desu ka?,koko ɡa tadaɕii iɾiɡɯtɕi desɯ ka,,2,japanese-reviewed-v6;ipa=hepburn
toilets.where-toilet,トイレはどこですか？,,toire wa doko desu ka?,toiɾe wa doko desɯ ka,,2,ja-agent-v1;ipa=hepburn
accessibility.step-free,段差なしで行けますか？,,dansa nashi de ikemasu ka?,daɴsa naɕi de ikemasɯ ka,,2,ja-agent-v1;ipa=hepburn
building-help.i-am-lost,道に迷いました,,michi ni mayoimashita,mitɕi ɲi majoimaɕita,,2,japanese-reviewed-v6;ipa=hepburn
building-words.stairs,階段,,kaidan,kaidaɴ,,2,japanese-reviewed-v6;ipa=hepburn
toilets.where-public-toilet,公衆トイレはどこですか？,,kōshū toire wa doko desu ka?,koːɕɯː toiɾe wa doko desɯ ka,,2,ja-agent-v1;ipa=hepburn
accessibility.wheelchair-access,車椅子で入れますか？,,kurumaisu de hairemasu ka?,kɯɾɯmaisɯ de haiɾemasɯ ka,,2,ja-agent-v1;ipa=hepburn
building-help.where-is-reception,受付はどこですか？,,uketsuke wa doko desu ka?,ɯketsɯke wa doko desɯ ka,,2,japanese-reviewed-v6;ipa=hepburn
building-words.entrance,入口,,iriguchi,iɾiɡɯtɕi,,2,japanese-reviewed-v6;ipa=hepburn
in-a-building.do-you-have-wi-fi,Wi-Fiはありますか？,,wai-fai wa arimasu ka?,,,2,japanese-reviewed-v6
toilets.may-i-use-the-toilet,トイレをお借りできますか？,,toire o okari dekimasu ka?,toiɾe o okaɾi dekimasɯ ka,,2,ja-agent-v1;ipa=hepburn
accessibility.elevator,エレベーターはありますか？,,erebētā wa arimasu ka?,eɾebeːtaː wa aɾimasɯ ka,,2,ja-agent-v1;ipa=hepburn
