concept_id,text,text_alt,ipa,literal,confidence,provenance
directions.where-is,{} qayerda?,,{} qajerda,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.how-do-i-get-to,{} ga qanday borish mumkin?,,{} ɡa qandaj bɔriʃ mumkin,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.is-it-far,Uzoqmi?,,uzɔqmi,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.how-long-on-foot,Piyoda qancha vaqt ketadi?,,pijɔda qantʃa vaqt ketadi,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.please-show-me-on-the-map,"Xaritada koʻrsating, iltimos.",,"xaritada korsatiŋ, iltimɔs",,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.where-is-the-nearest,Eng yaqin {} qayerda?,,eŋ jaqin {} qajerda,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.where-am-i,Men qayerdaman?,,men qajerdaman,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.which-way,Qaysi tomonga?,,qajsi tɔmɔŋɡa,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.can-i-walk-there,U yerga piyoda bora olamanmi?,,u jerɡa pijɔda bɔra ɔlamanmi,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.how-far-is-it,Qancha uzoqlikda?,,qantʃa uzɔqlikda,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.which-exit,Qaysi chiqish?,,qajsi tʃiqiʃ,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
directions.can-you-show-me-the-way,Yoʻlni koʻrsata olasizmi?,,jolni korsata ɔlasizmi,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
