concept_id,text,text_alt,ipa,literal,confidence,provenance
emergency-medical.help,Yordam bering!,,jɔrdam beriŋ,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.please-call-an-ambulance,"Tez yordam chaqiring, iltimos.",,"tez jɔrdam tʃaqiriŋ, iltimɔs","tez yordam, literally quick help, is the ambulance service",2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.i-need-a-doctor,Menga shifokor kerak.,,meŋɡa ʃifɔkɔr kerak,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.i-am-sick,Men kasalman.,,men kasalman,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.i-am-injured,Men jarohatlandim.,,men dʒarɔhatlandim,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.it-hurts-here,Shu yerim ogʻriyapti.,,ʃu jerim ɔɣrijapti,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.where-is-a-pharmacy,Dorixona qayerda?,,dɔrixɔna qajerda,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.please-take-me-to-a-hospital,Meni shifoxonaga olib boring.,,meni ʃifɔxɔnaɡa ɔlib bɔriŋ,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.i-feel-unwell,Oʻzimni yomon his qilyapman.,,ozimni jɔmɔn his qiljapman,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.this-is-an-emergency,Bu shoshilinch holat.,,bu ʃɔʃilintʃ hɔlat,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.i-am-having-a-severe-allergic-reaction,Menda ogʻir allergik reaksiya boshlandi!,,menda ɔɣir allerɡik reaksija bɔʃlandi,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.i-cannot-breathe,Nafas ololmayapman!,,nafas ɔlɔlmajapman,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
emergency-medical.i-am-bleeding-badly,Menda kuchli qon ketyapti!,,menda kutʃli qɔn ketjapti,,2,"Ministry of Health of the Republic of Uzbekistan (ssv.uz) public health and patient guidance; Bodrogligeti, A. J. E., Modern Literary Uzbek (LINCOM Europa, 2003); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
