concept_id,text,text_alt,romanization_pinyin,ipa,literal,confidence,provenance
social-basics.hello,你好,,nǐ hǎo,ni˧˩˧ xɑʊ˧˩˧,,2,latex-reference-v2;ipa=pinyin
communication.i-do-not-speak-this-language,我不会说{target},,wǒ bú huì shuō {target},wɔ˧˩˧ pu˧˥ xweɪ˥˩ ʂwɔ˥ {target},,2,language-slots-v1;ipa=pinyin
quick-responses.please-go-ahead,请,,qǐng,tɕʰiŋ˧˩˧,,2,latex-reference-v2;ipa=pinyin
phone-translation.i-am-using-phone-translation,我在用手机翻译,,wǒ zài yòng shǒujī fānyì,wɔ˧˩˧ tsaɪ˥˩ jʊŋ˥˩ ʂoʊ˧˩˧tɕi˥ fan˥i˥˩,,2,latex-reference-v2;ipa=pinyin
phone-text-power.please-type-it-for-me,请打字给我看,,qǐng dǎzì gěi wǒ kàn,tɕʰiŋ˧˩˧ ta˧˩˧tsɯ˥˩ keɪ˧˩˧ wɔ˧˩˧ kʰan˥˩,,2,latex-reference-v2;ipa=pinyin
sim-data.i-would-like-a-tourist-sim,我要一张旅游手机卡,,wǒ yào yì zhāng lǚyóu shǒujīkǎ,wɔ˧˩˧ jɑʊ˥˩ i˥˩ ʈʂɑŋ˥ ly˧˩˧joʊ˧˥ ʂoʊ˧˩˧tɕi˥kʰa˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
children.cannot-find-my-child,我找不到我的孩子,,wǒ zhǎo bu dào wǒ de háizi,wɔ˧˩˧ ʈʂɑʊ˧˩˧ pu tɑʊ˥˩ wɔ˧˩˧ tɤ xaɪ˧˥tsɯ,,2,zh-Hans-agent-v1;ipa=pinyin
etiquette.is-this-allowed,这个可以吗？,,zhège kěyǐ ma?,ʈʂɤ˥˩kɤ kʰɤ˧˩˧i˧˩˧ ma,,2,zh-Hans-agent-v1;ipa=pinyin
social-basics.hello-polite,您好,,nín hǎo,nin˧˥ xɑʊ˧˩˧,,2,latex-reference-v2;ipa=pinyin
communication.i-speak-only-a-little-of-this,我只会说一点儿{target},,wǒ zhǐ huì shuō yìdiǎnr {target},wɔ˧˩˧ ʈʂɨ˧˩˧ xweɪ˥˩ ʂwɔ˥ i˥˩tjɛn˧˩˧ɻ {target},,2,language-slots-v1;ipa=pinyin
quick-responses.yes-right,是,,shì,ʂɨ˥˩,,2,latex-reference-v2;ipa=pinyin
phone-translation.please-speak-toward-the-phone,请对着手机说,,qǐng duìzhe shǒujī shuō,tɕʰiŋ˧˩˧ tweɪ˥˩ʈʂɤ ʂoʊ˧˩˧tɕi˥ ʂwɔ˥,,2,latex-reference-v2;ipa=pinyin
phone-translation.please-write-the-place-name,请把地名写成{target},,qǐng bǎ dìmíng xiě chéng {target},tɕʰiŋ˧˩˧ pa˧˩˧ ti˥˩miŋ˧˥ ɕjɛ˧˩˧ ʈʂʰɤŋ˧˥ {target},,2,language-slots-v1;ipa=pinyin
sim-data.may-i-use-your-wifi,可以借用无线网吗？,,kěyǐ jièyòng wúxiànwǎng ma?,kʰɤ˧˩˧i˧˩˧ tɕjɛ˥˩jʊŋ˥˩ u˧˥ɕjɛn˥˩wɑŋ˧˩˧ ma,,2,zh-Hans-agent-v1;ipa=pinyin
