concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
trail-words.trail,ಚಾರಣ ಮಾರ್ಗ,,cāraṇa mārga,caːraɳa maːrɡa,trekking route — what a Karnataka Forest Department board reads,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
trail-words.trailhead,ಚಾರಣ ಆರಂಭ,,cāraṇa āraṁbha,caːraɳa aːrambʰa,trek start,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
trail-words.summit,ಶಿಖರ,,śikhara,ʃikʰara,peak,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
trail-words.viewpoint,ವೀಕ್ಷಣಾ ಸ್ಥಳ,,vīkṣaṇā sthaḷa,viːkʂaɳaː stʰaɭa,viewing place,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
trail-words.cableway,ರೋಪ್ ವೇ,ತಂತಿ ಮಾರ್ಗ,rōp vē,roːp veː,the loan is what a ticket window says,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
trail-words.shuttle-bus,ಶಟಲ್ ಬಸ್,,śaṭal bas,ʃaʈal bas,,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
trail-words.park-shuttle,ಉದ್ಯಾನ ಬಸ್,,udyāna bas,udjaːna bas,park bus,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
trail-words.steps,ಮೆಟ್ಟಿಲು,,meṭṭilu,meʈʈilu,,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
trail-words.up-uphill,ಮೇಲೆ / ಏರು,,mēle / ēru,meːle / eːru,up / ascent,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
trail-words.down-downhill,ಕೆಳಗೆ / ಇಳಿಜಾರು,,keḷage / iḷijāru,keɭaɡe / iɭiɟaːru,down / descent,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
trail-words.one-way,ಒಂದೇ ಕಡೆ,,oṁdē kaḍe,ondeː kaɖe,one side only,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
trail-words.round-trip,ಹೋಗಿ ಬರುವುದು,,hōgi baruvudu,hoːɡi baruvudu,going and coming,2,Karnataka Forest Department and KSTDC trail and warning-board wording; Kittel (DSAL);ipa=espeak
