concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
dietary-needs.no-meat,"ಮಾಂಸ, ಚಿಕನ್, ಮೀನು ಬೇಡ",,"māṁsa, cikan, mīnu bēḍa","maːmsa, cikan, miːnu beːɖa","no mutton, chicken or fish — deliberately wider than the gloss, because ordinary Kannada ಮಾಂಸ means mutton or goat",2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
dietary-needs.no-eggs,ಮೊಟ್ಟೆ ಬೇಡ,,moṭṭe bēḍa,moʈʈe beːɖa,no egg,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
dietary-needs.not-spicy,ಖಾರ ಬೇಡ,,khāra bēḍa,kʰaːra beːɖa,"no chilli heat — ಖಾರ is heat, ಮಸಾಲೆ is the spice mixture, and asking for no ಮಸಾಲೆ removes the wrong thing",2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
dietary-needs.less-spicy,ಖಾರ ಕಡಿಮೆ,,khāra kaḍime,kʰaːra kaɖime,less chilli heat,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
dietary-needs.no-peanuts,ಕಡಲೆಕಾಯಿ ಬೇಡ,,kaḍalekāyi bēḍa,kaɖalekaːji beːɖa,no groundnut — which is what goes into Karnataka chutney and chitranna,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
dietary-needs.no-nuts,"ಗೋಡಂಬಿ, ಬಾದಾಮಿ, ಒಣಹಣ್ಣು ಬೇಡ",,"gōḍaṁbi, bādāmi, oṇahaṇṇu bēḍa","ɡoːɖambi, baːdaːmi, oɳahaɳɳu beːɖa","no cashew, almond or dried fruit — cashew is in almost every Karnataka sweet and in bisi bele bath",2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
dietary-needs.no-seafood,"ಮೀನು, ಸಿಗಡಿ, ಏಡಿ ಬೇಡ",,"mīnu, sigaḍi, ēḍi bēḍa","miːnu, siɡaɖi, eːɖi beːɖa","no fish, prawn or crab",2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
dietary-needs.i-am-vegetarian,ನಾನು ಸಸ್ಯಾಹಾರಿ,ಶುದ್ಧ ಸಸ್ಯಾಹಾರಿ,nānu sasyāhāri,naːnu sasjaːhaːri,I [am] vegetarian / pure vegetarian — the second is a real distinction a Karnataka cook hears,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
dietary-needs.i-am-vegan,"ನಾನು ಸಸ್ಯಾಹಾರಿ — ಹಾಲು, ಮೊಸರು, ತುಪ್ಪ, ಮೊಟ್ಟೆ ಯಾವುದೂ ಬೇಡ",,"nānu sasyāhāri — hālu, mosaru, tuppa, moṭṭe yāvudū bēḍa","naːnu sasjaːhaːri haːlu, mosaru, tuppa, moʈʈe jaːvuduː beːɖa","I am vegetarian — no milk, curd, ghee or egg either, because ಸಸ್ಯಾಹಾರಿ allows all four",2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
dietary-needs.i-do-not-eat,ನಾನು {} ತಿನ್ನುವುದಿಲ್ಲ,,nānu {} tinnuvudilla,naːnu {} tinnuvudilla,I do not eat {},2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
