concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
emergency-medical.help,സഹായിക്കൂ!,രക്ഷിക്കൂ!,sahāyikkū!,sahaːjikkuː,do help! / save [me]!,2,"Gundert, A Malayalam and English Dictionary (Basel Mission 1872, DSAL); Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997);ipa=espeak"
emergency-medical.please-call-an-ambulance,ദയവായി ആംബുലൻസ് വിളിക്കൂ,,dayavāyi āṁbulansŭ viḷikkū,dajavaːji aːmbulansɨ viɭikkuː,please call an ambulance,2,"Standard Kerala health-communication terminology (Dept. of Health and Family Welfare, Govt. of Kerala; Kanivu 108 / DHS public material); Gundert (DSAL);ipa=espeak"
emergency-medical.i-need-a-doctor,എനിക്ക് ഡോക്ടർ വേണം,വൈദ്യൻ,enikkŭ ḍōkṭar vēṇaṁ,enikkɨ ɖoːkʈaɾ veːɳam,to me a doctor is wanted,2,"Standard Kerala health-communication terminology (Dept. of Health and Family Welfare, Govt. of Kerala; Kanivu 108 / DHS public material); Gundert (DSAL);ipa=espeak"
emergency-medical.i-am-sick,എനിക്ക് സുഖമില്ല,,enikkŭ sukhamilla,enikkɨ sukʰamilla,I am not well,2,"Gundert, A Malayalam and English Dictionary (Basel Mission 1872, DSAL); Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997);ipa=espeak"
emergency-medical.i-am-injured,എനിക്ക് പരിക്കുണ്ട്,,enikkŭ parikkuṇṭŭ,enikkɨ paɾikkuɳʈ,to me there is an injury,2,"Standard Kerala health-communication terminology (Dept. of Health and Family Welfare, Govt. of Kerala; Kanivu 108 / DHS public material); Gundert (DSAL);ipa=espeak"
emergency-medical.it-hurts-here,ഇവിടെ വേദനയുണ്ട്,,iviṭe vēdanayuṇṭŭ,iviɖe veːdanajuɳʈ,here there is pain,2,"Gundert, A Malayalam and English Dictionary (Basel Mission 1872, DSAL); Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997);ipa=espeak"
emergency-medical.where-is-a-pharmacy,മരുന്നുകട എവിടെയാണ്?,മെഡിക്കൽ ഷോപ്പ്,marunnukaṭa eviṭeyāṇŭ?,maɾunnuɡaɖa eviɖejaːɳɨ,where is the medicine shop? — മെഡിക്കൽ is what the board reads in Kerala,2,Kerala public signage (Kochi Metro bilingual station wording; KSRTC ticket wording; Kerala Water Authority notices); Gundert (DSAL);ipa=espeak
emergency-medical.please-take-me-to-a-hospital,ദയവായി എന്നെ ആശുപത്രിയിൽ കൊണ്ടുപോകൂ,,dayavāyi enne āśupatriyil koṇṭupōkū,dajavaːji enne aːʃubatɾijil koɳɖuboːɡuː,please take me to a hospital,2,"Standard Kerala health-communication terminology (Dept. of Health and Family Welfare, Govt. of Kerala; Kanivu 108 / DHS public material); Gundert (DSAL);ipa=espeak"
emergency-medical.i-feel-unwell,എനിക്ക് വയ്യ,,enikkŭ vayya,enikkɨ vajja,"I am not up to it — vaguer than സുഖമില്ല, which is what ""I am sick"" takes",2,"Gundert, A Malayalam and English Dictionary (Basel Mission 1872, DSAL); Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997);ipa=espeak"
emergency-medical.this-is-an-emergency,ഇത് ഒരു അത്യാഹിതമാണ്,,itŭ oru atyāhitamāṇŭ,it oɾu atjaːhidamaːɳɨ,this is an emergency — the word on a Kerala hospital’s emergency department; അടിയന്തരാവസ്ഥ means a political state of emergency,2,"Standard Kerala health-communication terminology (Dept. of Health and Family Welfare, Govt. of Kerala; Kanivu 108 / DHS public material); Gundert (DSAL);ipa=espeak"
emergency-medical.i-am-having-a-severe-allergic-reaction,എനിക്ക് അനാഫൈലാക്സിസ് — തീവ്ര അലർജി പ്രതിപ്രവർത്തനം,,enikkŭ anāphailāksisŭ — tīvra alarji pratipravarttanaṁ,enikkɨ anaːpʰailaːksisɨ tiːvɾa alaɾɟi pɾadipɾavaɾttanam,anaphylaxis — a severe allergic reaction. The transliterated term is first because that is the word a dispatcher acts on,2,"Standard Kerala health-communication terminology (Dept. of Health and Family Welfare, Govt. of Kerala; Kanivu 108 / DHS public material); Gundert (DSAL);ipa=espeak"
emergency-medical.i-cannot-breathe,എനിക്ക് ശ്വാസം എടുക്കാൻ കഴിയുന്നില്ല,,enikkŭ śvāsaṁ eṭukkān kaḻiyunnilla,enikkɨ ʃvaːsam eɖukkaːn kaɻijunnilla,I am unable to take breath,2,"Standard Kerala health-communication terminology (Dept. of Health and Family Welfare, Govt. of Kerala; Kanivu 108 / DHS public material); Gundert (DSAL);ipa=espeak"
emergency-medical.i-am-bleeding-badly,ധാരാളം രക്തം പോകുന്നു,,dhārāḷaṁ raktaṁ pōkunnu,dʰaːɾaːɭam ɾaktam poːɡunnu,much blood is going,2,"Standard Kerala health-communication terminology (Dept. of Health and Family Welfare, Govt. of Kerala; Kanivu 108 / DHS public material); Gundert (DSAL);ipa=espeak"
