concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
utility-templates.i-want-to-go-to,എനിക്ക് {} ലേക്ക് പോകണം,,enikkŭ {} lēkkŭ pōkaṇaṁ,enikkɨ {} leːkkɨ poːɡaɳam,to me going to {} is needed — ലേക്ക് is a separate word here only because the slot is a pen-filled blank,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.please-give-me,ദയവായി എനിക്ക് {} തരൂ,,dayavāyi enikkŭ {} tarū,dajavaːji enikkɨ {} taɾuː,please give me {},2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.may-i,ഞാൻ {} ചെയ്യാമോ?,,ñān {} ceyyāmō?,ɲaːn {} cejjaːmoː,may I do {}?,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.please-do-not-add,ദയവായി {} ചേർക്കരുത്,,dayavāyi {} cērkkarutŭ,dajavaːji {} ceːɾkkaɾud,please do not add {},2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.do-you-have,നിങ്ങളുടെ കൈയിൽ {} ഉണ്ടോ?,,niṅṅaḷuṭe kaiyil {} uṇṭō?,niŋŋaɭuɖe kaijil {} uɳɖoː,in your hand is there {}?,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.please-write-the-number,ദയവായി നമ്പർ എഴുതൂ,,dayavāyi nampar eḻutū,dajavaːji nambaɾ eɻuduː,please write the number,2,"Gundert, A Malayalam and English Dictionary (Basel Mission 1872, DSAL); Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997);ipa=espeak"
utility-templates.i-need,എനിക്ക് {} വേണം,,enikkŭ {} vēṇaṁ,enikkɨ {} veːɳam,to me {} is wanted,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.is-there-nearby,അടുത്ത് {} ഉണ്ടോ?,,aṭuttŭ {} uṇṭō?,aɖuttɨ {} uɳɖoː,nearby is there {}?,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.how-much-is,{} എത്രയാണ്?,,{} etrayāṇŭ?,{} etɾajaːɳɨ,{} is how much?,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.is-this,ഇത് {} ആണോ?,,itŭ {} āṇō?,it {} aːɳoː,"is this {}? — the interrogative -ഓ sits on the copula, never on the slot",2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.please,ദയവായി {},,dayavāyi {},dajavaːji {},"please, {} — ദയവായി precedes in Malayalam, so the frame reverses the English order",2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.i-am-looking-for,ഞാൻ {} അന്വേഷിക്കുന്നു,,ñān {} anvēṣikkunnu,ɲaːn {} anveːʂikkunnu,I am searching for {},2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.do-you-accept,നിങ്ങൾ {} സ്വീകരിക്കുമോ?,,niṅṅaḷ {} svīkarikkumō?,niŋŋaɭ {} sviːɡaɾikkumoː,do you accept {}?,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.i-cannot-find,എനിക്ക് {} കണ്ടെത്താൻ കഴിയുന്നില്ല,,enikkŭ {} kaṇṭettān kaḻiyunnilla,enikkɨ {} kaɳɖettaːn kaɻijunnilla,I am unable to find {},2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
utility-templates.there-is-a-problem-with,{} ൽ ഒരു പ്രശ്നമുണ്ട്,,{} l oru praśnamuṇṭŭ,{} il oɾu pɾaʃnamuɳʈ,"in {} there is a problem — the locative -ഇൽ as a separate word, for the slot",2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
