concept_id,text,text_alt,romanization_ala-lc,ipa,literal,confidence,provenance
medical-conditions.i-am-diabetic,أنا مصاب بالسكري,أنا مريض سكري,anā muṣāb bi-al-sukkarī,,,2,ar-agent-v1
pharmacy-symptoms.which-pharmacy-is-open-now,أيّ صيدلية مفتوحة الآن؟,,ayy ṣaydalīyah maftūḥah al-ān?,,,2,ar-agent-v1
police-consulate.where-is-the-police-station,أين مركز الشرطة؟,أين قسم الشرطة؟,ayna markaz al-shurṭah?,,,2,ar-agent-v1
body-parts.head,رأس,,raʾs,,,2,ar-agent-v1
medical-conditions.i-need-insulin,أحتاج إلى الأنسولين,,aḥtāj ilá al-ansūlīn,,,2,ar-agent-v1
pharmacy-symptoms.i-need-medicine-for,أحتاج دواء لعلاج {},,aḥtāj dawāʾ li-ʿilāj {},,medicine to treat,2,ar-agent-v1
police-consulate.i-want-to-report-a-theft,أريد الإبلاغ عن سرقة,,urīd al-iblāgh ʿan sariqah,,,2,ar-agent-v1
body-parts.stomach,بطن,,baṭn,,,2,ar-agent-v1
medical-conditions.i-have-asthma,عندي ربو,أنا مصاب بالربو,ʿindī rabw,,,2,ar-agent-v1
pharmacy-symptoms.i-have-a-fever,عندي حمّى,عندي سخونة,ʿindī ḥummá,,,2,ar-agent-v1
police-consulate.my-bag-was-stolen,سُرقت حقيبتي,,suriqat ḥaqībatī,,,2,ar-agent-v1
body-parts.back,ظهر,,ẓahr,,,2,ar-agent-v1
medical-conditions.i-have-a-heart-condition,عندي مرض في القلب,أنا مريض قلب,ʿindī maraḍ fī al-qalb,,,2,ar-agent-v1
pharmacy-symptoms.i-have-diarrhea,عندي إسهال,,ʿindī ishāl,,,2,ar-agent-v1
police-consulate.my-passport-was-stolen,سُرق جواز سفري,,suriqa jawāz safarī,,,2,ar-agent-v1
body-parts.throat,حلق,,ḥalq,,,2,ar-agent-v1
medical-conditions.i-am-allergic-to-penicillin,عندي حساسية من البنسلين,,ʿindī ḥasāsīyah min al-binisilīn,,,2,ar-agent-v1
pharmacy-symptoms.where-is-an-all-night-pharmacy,أين صيدلية مناوبة؟,أين صيدلية حراسة؟,ayna ṣaydalīyah munāwabah?,,on-duty pharmacy,2,ar-agent-v1
police-consulate.someone-is-following-me,هناك شخص يتبعني,,hunāk shakhṣ yatbaʿunī,,,2,ar-agent-v1
body-parts.tooth,سنّ,ضرس,sinn,,,2,ar-agent-v1
medical-conditions.i-have-epilepsy,أعاني من نوبات صرع,عندي صرع,uʿānī min nawabāt ṣaraʿ,,I suffer from epileptic seizures,2,ar-agent-v1
pharmacy-symptoms.painkiller,مسكّن,مسكّن للألم,musakkin,,,2,ar-agent-v1
police-consulate.i-need-a-written-police-report,أحتاج إلى محضر مكتوب,,aḥtāj ilá maḥḍar maktūb,,,2,ar-agent-v1
body-parts.chest,صدر,,ṣadr,,,2,ar-agent-v1
medical-conditions.my-blood-sugar-is-low,عندي هبوط في السكر,نقص سكر الدم,ʿindī hubūṭ fī al-sukkar,,,2,ar-agent-v1
pharmacy-symptoms.do-i-need-a-prescription,هل أحتاج إلى وصفة طبية؟,هل أحتاج روشتة؟,hal aḥtāj ilá waṣfah ṭibbīyah?,,,2,ar-agent-v1
police-consulate.i-want-to-contact-my-embassy,أريد الاتصال بسفارتي,,urīd al-ittiṣāl bi-sifāratī,,,2,ar-agent-v1
body-parts.eye,عين,,ʿayn,,,2,ar-agent-v1
medical-conditions.i-need-my-inhaler,أحتاج إلى بخاخ الربو,,aḥtāj ilá bakhkhākh al-rabw,,,2,ar-agent-v1
pharmacy-symptoms.i-have-a-headache,عندي صداع,,ʿindī ṣudāʿ,,,2,ar-agent-v1
police-consulate.i-need-it-for-my-insurance,أحتاجه للتأمين,,aḥtājuh lil-taʾmīn,,,2,ar-agent-v1
body-parts.ear,أذن,,udhun,,,2,ar-agent-v1
medical-conditions.i-am-pregnant,أنا حامل,,anā ḥāmil,,,2,ar-agent-v1
pharmacy-symptoms.paracetamol-acetaminophen,باراسيتامول,بنادول,bārāsītāmūl,,,2,ar-agent-v1
police-consulate.i-need-an-interpreter,أحتاج إلى مترجم,مترجم فوري,aḥtāj ilá mutarjim,,,2,ar-agent-v1
