concept_id,text,text_alt,romanization_okrand,ipa,literal,confidence,provenance
directions.where-is,  {},,nuqDaq 'oH {}'e',nuqʰɖɑqʰ ʔox {} ʔɛʔ,,3,tlh-attested-v1;src=TKD p.170;slot-substituted;native=piqad-csur;ipa=okrand
directions.how-do-i-get-to, {} ,,chay' {} vIghoS,tʃɑjʔ {} vɪɣoʂ,how do I proceed to it?,1,tlh-composed-v1;lex=TKD p.172;grammar=TKD;native=piqad-csur;ipa=okrand
directions.is-it-far,,,Hop'a',xopʰʔɑʔ,is it far?,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
directions.where-am-i, ,,nuqDaq jIH,nuqʰɖɑqʰ dʒɪx,where am I?,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
directions.which-way, ,,nuq He,nuqʰ xɛ,which course?,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
directions.can-i-walk-there, ,,pa' jIyItlaH'a',pʰɑʔ dʒɪjɪtʰlɑxʔɑʔ,can I walk there?,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
directions.how-far-is-it,,,Hop'a',xopʰʔɑʔ,is it far?,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
directions.east,,,chan,tʃɑn,the direction of sunrise,3,tlh-attested-v1;src=HQ 8.4 p.6;native=piqad-csur;ipa=okrand
directions.west, ,,tIng 'ev,tʰɪŋ ʔɛv,midway between tIng and 'ev,3,tlh-attested-v1;src=HQ 8.4 p.6;native=piqad-csur;ipa=okrand
quick-directions.go-straight,,,yIghoStaH,jɪɣoʂtʰɑx,keep proceeding,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
quick-directions.this-way,,,naDev,nɑɖɛv,here / this way,3,tlh-attested-v1;src=TKD;native=piqad-csur;ipa=okrand
quick-directions.that-way,,,pa',pʰɑʔ,there / that way,3,tlh-attested-v1;src=TKD;native=piqad-csur;ipa=okrand
quick-directions.on-the-left,,,poS,pʰoʂ,left side,3,tlh-attested-v1;src=TKD;native=piqad-csur;ipa=okrand
quick-directions.on-the-right,,,nIH,nɪx,right side,3,tlh-attested-v1;src=TKD;native=piqad-csur;ipa=okrand
quick-directions.in-front,,,tlhop,tɬopʰ,the area in front,3,tlh-attested-v1;src=KGT;native=piqad-csur;ipa=okrand
quick-directions.behind,,,'em,ʔɛm,the area behind,3,tlh-attested-v1;src=KGT;native=piqad-csur;ipa=okrand
taxi.please-take-me-here, ,,naDev HIghoSmoH,nɑɖɛv xɪɣoʂmox,make me proceed here,1,tlh-composed-v1;lex=TKD p.170;grammar=TKD;native=piqad-csur;ipa=okrand
taxi.please-stop-here, ,,naDev yImev,nɑɖɛv jɪmɛv,stop here,1,tlh-composed-v1;lex=KCD + TKD;grammar=TKD;native=piqad-csur;ipa=okrand
taxi.can-you-wait-for-me-here, ,,naDev choloSlaH'a',nɑɖɛv tʃoloʂlɑxʔɑʔ,can you wait for me here?,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
taxi.i-will-get-off-here, ,,naDev jImej,nɑɖɛv dʒɪmɛdʒ,I leave here,1,tlh-composed-v1;lex=TNK + TKD;grammar=TKD;native=piqad-csur;ipa=okrand
transit-rides.two-tickets,  ,,cha' 'elmeH chaw',tʃɑʔ ʔɛlmɛx tʃɑwʔ,two entry passes,1,tlh-composed-v1;lex=KLI 2011.09.30 + TKD 5.4;grammar=TKD;native=piqad-csur;ipa=okrand
transit-rides.where-is-the-subway-station,  ,,nuqDaq 'oH manggha'e',nuqʰɖɑqʰ ʔox mɑŋɣɑʔɛʔ,where is the station?,1,tlh-composed-v1;lex=qep'a' 26 (2019) + TKD p.170;grammar=TKD;native=piqad-csur;ipa=okrand
transit-rides.does-this-bus-train-go-to,{}  ,,{} ghoS'a' lupwI'vam,{} ɣoʂʔɑʔ lupʰwɪʔvɑm,does this bus proceed to it?,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
transit-rides.is-it-delayed,,,paS'a',pʰɑʂʔɑʔ,is it late?,1,tlh-composed-v1;lex=KGT;grammar=TKD;native=piqad-csur;ipa=okrand
transit-rides.i-am-in-a-hurry,,,jImoD,dʒɪmoɖ,I hurry,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
transit-rides.what-time-is-the-next-one,  ,,ghorgh paw latlh,ɣorɣ pʰɑw lɑtɬ,when does the next one arrive?,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
