concept_id,text,text_alt,romanization_appendix-e,ipa,literal,confidence,provenance
body-parts.head,,cára,cas,kas,,3,qya-attested-v1;src=PE17/188.2502;eldamo=q;native=quenya-classical;ipa=appendix-e
body-parts.eye,,hendu,hen,hen,hendu is the pair,1,qya-deduced-v1;src=WJ/337.2405-1;eldamo=q#;native=quenya-classical;ipa=appendix-e
body-parts.ear,,,hlas,las,,3,qya-attested-v1;src=PE17/062.0714;eldamo=q;native=quenya-classical;ipa=appendix-e
body-parts.leg,,,telco,tˈelko,leg / stem,3,qya-attested-v1;src=LotR/1118.4009;eldamo=q;native=quenya-classical;ipa=appendix-e
body-parts.foot,,,tál,taːl,,3,qya-attested-v1;src=PE19/103.4312;eldamo=q;native=quenya-classical;ipa=appendix-e
body-parts.hand,,cambë,má,maː,cambë is the cupped hand,3,qya-attested-v1;src=LotR/0377.3703;eldamo=q;native=quenya-classical;ipa=appendix-e
police-consulate.please-leave-me-alone,,,heca,hˈeka,be gone! stand aside! -- Quenya has no softer form,3,qya-attested-v1;src=WJ/364.3703;eldamo=q;native=quenya-classical;ipa=appendix-e
body-parts.throat,,,lango,lˈaŋɡo,neck -- the nearest attested word,3,qya-attested-v1;src=PE17/065.2509;eldamo=q;native=quenya-classical;ipa=appendix-e
body-parts.tooth,,,carca,kˈarka,fang -- tooth is the Etymologies gloss,3,qya-attested-v1;src=SA/carak.008;eldamo=q;native=quenya-classical;ipa=appendix-e
body-parts.chest,,ambor,ambos,ˈambos,"breast -- Tolkien's 1930s form, regularised by Eldamo",1,qya-earlier-v1;src=PE21/33.1505;eldamo=nq^;native=quenya-classical;ipa=appendix-e
body-parts.knee,,,occa,ˈokka,"knee -- Tolkien's 1910s Qenya, retained by Eldamo",1,qya-earlier-v1;src=QL/070.4701;eldamo=nq;native=quenya-classical;ipa=appendix-e
body-parts.skin,,,helma,hˈelma,skin -- the Etymologies form,1,qya-earlier-v1;src=Ety/SKEL.004;eldamo=mq;native=quenya-classical;ipa=appendix-e
