concept_id,text,text_alt,romanization_national,ipa,literal,confidence,provenance
utility-templates.i-want-to-go-to,აქ მინდა წასვლა: {},,ak minda tsasvla: {},akʰ minda tsʼasvla {},"I want to go here: {} — apposition, because the allative replaces the nominative ending",2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.please-give-me,"მომეცით {}, თუ შეიძლება",,"mometsit {}, tu sheidzleba","mometsʰitʰ {}, tʰu ʃeidzleba","the aorist imperative takes a nominative, so the slot is inline",2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.may-i,შეიძლება {}?,,sheidzleba {}?,ʃeidzleba {},,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.please-do-not-add,ნუ დაამატებთ: {},,nu daamatebt: {},nu daamatʼebtʰ {},do not add: {},2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.do-you-have,გაქვთ {}?,,gakvt {}?,ɡakʰvtʰ {},,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.please-write-the-number,"ნომერი დაწერეთ, თუ შეიძლება",,"nomeri datseret, tu sheidzleba","nomeri datsʼeretʰ, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.i-need,მჭირდება {},,mchirdeba {},mtʃʼirdeba {},,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.is-there-nearby,აქვე არის {}?,,akve aris {}?,akʰve aris {},is there {} right here?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.how-much-is,რა ღირს {}?,,ra ghirs {}?,ra ɣirs {},,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.is-this,ეს {} არის?,,es {} aris?,es {} aris,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.please,"{}, თუ შეიძლება",,"{}, tu sheidzleba","{}, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.i-am-looking-for,ამას ვეძებ: {},,amas vedzeb: {},amas vedzeb {},I am looking for this: {},2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.do-you-accept,ამას იღებთ: {}?,,amas ighebt: {}?,amas iɣebtʰ {},do you take this: {}?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.i-cannot-find,ამას ვერ ვპოულობ: {},,amas ver vpoulob: {},amas ver vpʼoulob {},I cannot find this: {},2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
utility-templates.there-is-a-problem-with,პრობლემაა: {},,problemaa: {},pʼroblemaa {},there is a problem: {},2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
