concept_id,text,text_alt,romanization_national,ipa,literal,confidence,provenance
trail-words.trail,ბილიკი,,biliki,bilikʼi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Agency of Protected Areas of Georgia (apa.gov.ge) trail and visitor-centre signage;ipa=ka-g2p"
trail-words.trailhead,ბილიკის დასაწყისი,,bilikis dasatsqisi,bilikʼis dasatsʼqʼisi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Agency of Protected Areas of Georgia (apa.gov.ge) trail and visitor-centre signage;ipa=ka-g2p"
trail-words.summit,მწვერვალი,,mtsvervali,mtsʼvervali,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Agency of Protected Areas of Georgia (apa.gov.ge) trail and visitor-centre signage;ipa=ka-g2p"
trail-words.viewpoint,სახედავი ადგილი,,sakhedavi adgili,saxedavi adɡili,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Agency of Protected Areas of Georgia (apa.gov.ge) trail and visitor-centre signage;ipa=ka-g2p"
trail-words.cableway,საბაგირო,,sabagiro,sabaɡiro,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Agency of Protected Areas of Georgia (apa.gov.ge) trail and visitor-centre signage;ipa=ka-g2p"
trail-words.shuttle-bus,სამარშრუტო ავტობუსი,,samarshruto avtobusi,samarʃrutʼo avtʼobusi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
trail-words.park-shuttle,პარკის ავტობუსი,,parkis avtobusi,pʼarkʼis avtʼobusi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Agency of Protected Areas of Georgia (apa.gov.ge) trail and visitor-centre signage;ipa=ka-g2p"
trail-words.steps,საფეხურები,,sapekhurebi,sapʰexurebi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
trail-words.up-uphill,აღმართი,,aghmarti,aɣmartʰi,an upward slope,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Agency of Protected Areas of Georgia (apa.gov.ge) trail and visitor-centre signage;ipa=ka-g2p"
trail-words.down-downhill,დაღმართი,,daghmarti,daɣmartʰi,a downward slope,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Agency of Protected Areas of Georgia (apa.gov.ge) trail and visitor-centre signage;ipa=ka-g2p"
trail-words.one-way,ერთი მიმართულებით,,erti mimartulebit,ertʰi mimartʰulebitʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
trail-words.round-trip,მისვლა-მოსვლა,,misvla-mosvla,misvlamosvla,going and coming,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
weather.forecast,როგორი ამინდია პროგნოზით?,,rogori amindia prognozit?,roɡori amindia pʼroɡnozitʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Environmental Agency of Georgia (nea.gov.ge) weather and hazard bulletins;ipa=ka-g2p"
weather.will-it-rain,დღეს იწვიმებს?,,dghes itsvimebs?,dɣes itsʼvimebs,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Environmental Agency of Georgia (nea.gov.ge) weather and hazard bulletins;ipa=ka-g2p"
weather.is-it-safe-today,დღეს უსაფრთხოა?,,dghes usaprtkhoa?,dɣes usapʰrtʰxoa,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Environmental Agency of Georgia (nea.gov.ge) weather and hazard bulletins;ipa=ka-g2p"
weather.how-cold-at-night,ღამით რამდენად ცივა?,,ghamit ramdenad tsiva?,ɣamitʰ ramdenad tsʰiva,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Environmental Agency of Georgia (nea.gov.ge) weather and hazard bulletins;ipa=ka-g2p"
weather.rain,წვიმა,,tsvima,tsʼvima,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Environmental Agency of Georgia (nea.gov.ge) weather and hazard bulletins;ipa=ka-g2p"
weather.snow,თოვლი,,tovli,tʰovli,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Environmental Agency of Georgia (nea.gov.ge) weather and hazard bulletins;ipa=ka-g2p"
weather.wind,ქარი,,kari,kʰari,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Environmental Agency of Georgia (nea.gov.ge) weather and hazard bulletins;ipa=ka-g2p"
weather.storm,ქარიშხალი,,karishkhali,kʰariʃxali,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Environmental Agency of Georgia (nea.gov.ge) weather and hazard bulletins;ipa=ka-g2p"
weather.ice,ყინული,,qinuli,qʼinuli,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Environmental Agency of Georgia (nea.gov.ge) weather and hazard bulletins;ipa=ka-g2p"
