concept_id,text,text_alt,romanization_national,ipa,literal,confidence,provenance
time-scheduling.what-time-is-it,რომელი საათია?,,romeli saatia?,romeli saatʰia,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-scheduling.how-many-minutes,რამდენი წუთი?,,ramdeni tsuti?,ramdeni tsʼutʰi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-scheduling.what-time-should-we-meet,რომელ საათზე შევხვდეთ?,,romel saatze shevkhvdet?,romel saatʰze ʃevxvdetʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-scheduling.can-we-change-the-time,შეიძლება დროის შეცვლა?,,sheidzleba drois shetsvla?,ʃeidzleba drois ʃetsʰvla,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-scheduling.when-is-convenient,როდის იქნება მოსახერხებელი?,,rodis ikneba mosakherkhebeli?,rodis ikʰneba mosaxerxebeli,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-scheduling.what-is-today-s-date,რა თარიღია დღეს?,,ra tarighia dghes?,ra tʰariɣia dɣes,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-scheduling.what-day-is-it-today,დღეს რა დღეა?,,dghes ra dghea?,dɣes ra dɣea,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-scheduling.what-time-does-it-open,რომელ საათზე იხსნება?,,romel saatze ikhsneba?,romel saatʰze ixsneba,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-scheduling.what-time-does-it-close,რომელ საათზე იკეტება?,,romel saatze iketeba?,romel saatʰze ikʼetʼeba,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-scheduling.how-long-does-it-take,რამდენი ხანი სჭირდება?,,ramdeni khani schirdeba?,ramdeni xani stʃʼirdeba,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-words.today,დღეს,,dghes,dɣes,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-words.tomorrow,ხვალ,,khval,xval,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
time-words.yesterday,გუშინ,,gushin,ɡuʃin,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
