concept_id,text,text_alt,romanization_iast,ipa,literal,confidence,provenance
dietary-needs.no-meat,मांस-मुर्गी-मछली नहीं,नॉन-वेज नहीं,māṁs-murgī-machlī nahīṁ,mˈãsmʊɾɡimʌcʰlˌi nˈʌhĩ,"no meat, chicken or fish",2,hi-agent-v1;ipa=espeak
dietary-needs.no-eggs,अंडा नहीं,,aṁḍā nahīṁ,ˈʌɳɖaː nˈʌhĩ,,2,hi-agent-v1;ipa=espeak
dietary-needs.not-spicy,तीखा नहीं,मिर्च नहीं,tīkhā nahīṁ,tˈiːkʰaː nˈʌhĩ,,2,hi-agent-v1;ipa=espeak
dietary-needs.less-spicy,कम तीखा,मिर्च कम,kam tīkhā,kˈʌm tˈiːkʰaː,,2,hi-agent-v1;ipa=espeak
dietary-needs.no-peanuts,मूंगफली नहीं,,mūṁgphalī nahīṁ,mˈũɡəpʰli nˈʌhĩ,,2,hi-agent-v1;ipa=espeak
dietary-needs.no-nuts,काजू-बादाम-मेवे नहीं,,kājū-bādām-meve nahīṁ,kˈaːɟuːbaːdaːmmeːʋeː nˈʌhĩ,"no cashew, almond or nuts",2,hi-agent-v1;ipa=espeak
dietary-needs.no-seafood,मछली-झींगा नहीं,,machlī-jhīṁgā nahīṁ,mˈʌcʰlˌiɟʰĩɡaː nˈʌhĩ,no fish or prawn,2,hi-agent-v1;ipa=espeak
dietary-needs.i-am-vegetarian,मैं शुद्ध शाकाहारी हूँ,मैं शाकाहारी हूँ,maiṁ śuddh śākāhārī hūṁ,mɛ̃ ʃˈʊdʰː ʃˌaːkaːhˈaːɾi hũ,pure vegetarian - no egg,2,hi-agent-v1;ipa=espeak
dietary-needs.i-am-vegan,मैं वीगन हूँ (दूध-घी भी नहीं),,maiṁ vīgan hūṁ (dūdh-ghī bhī nahīṁ),mɛ̃ ʋˈiːɡən hũ dˈuːdʰɡʰi bʰˈi nˈʌhĩ,vegan - no milk or ghee,2,hi-agent-v1;ipa=espeak
dietary-needs.i-do-not-eat,मैं {} नहीं खाता,मैं {} नहीं खाती,maiṁ {} nahīṁ khātā,mɛ̃ {} nˈʌhĩ kʰˈaːtaː,,2,hi-agent-v1;ipa=espeak
dietary-needs.i-am-allergic-to,मुझे {} से एलर्जी है,,mujhe {} se elarjī hai,mˌʊɟʰeː {} seː eːlˈʌɾɟi hɛː,,2,hi-agent-v1;ipa=espeak
dietary-needs.does-it-contain-fish-stock,क्या इसमें मछली का शोरबा है?,,kyā ismeṁ machlī kā śorbā hai?,kːjaː ˈɪsmˌẽː mˈʌcʰlˌi kaː ʃˈoːɾbˌaː hɛː,,2,hi-agent-v1;ipa=espeak
dietary-needs.does-it-contain-pork-stock,क्या इसमें सूअर का शोरबा है?,क्या इसमें पोर्क का शोरबा है?,kyā ismeṁ sūar kā śorbā hai?,kːjaː ˈɪsmˌẽː sˈuːəɾ kaː ʃˈoːɾbˌaː hɛː,,2,hi-pork-stock-v1;ipa=espeak
dietary-needs.i-have-a-severe-allergy-to,मुझे {} से गंभीर एलर्जी है,,mujhe {} se gaṁbhīr elarjī hai,mˌʊɟʰeː {} seː ɡəmbʰˈiːɾ eːlˈʌɾɟi hɛː,,2,hi-agent-v1;ipa=espeak
food-ordering.table-for-two,दो लोगों की टेबल,,do logoṁ kī ṭebal,dˈoː lˈoːɡõ ki ʈˈeːbəl,,2,hi-agent-v1;ipa=espeak
food-ordering.is-a-table-available,क्या टेबल खाली है?,,kyā ṭebal khālī hai?,kːjaː ʈˈeːbəl kʰˈaːli hɛː,,2,hi-agent-v1;ipa=espeak
food-ordering.menu-please,मेन्यू दीजिए,,menyū dījie,mˈeːnjuː dˈiːɟɪˌeː,,2,hi-agent-v1;ipa=espeak
food-ordering.i-want-this,मुझे यह चाहिए,,mujhe yah cāhie,mˌʊɟʰeː jˌəh cˈaːhɪˌeː,,2,hi-agent-v1;ipa=espeak
food-ordering.do-you-have-drinking-water,क्या पीने का पानी है?,,kyā pīne kā pānī hai?,kːjaː pˈiːneː kaː pˈaːni hɛː,,2,hi-agent-v1;ipa=espeak
food-ordering.to-go-please,पैक कर दीजिए,पार्सल कर दीजिए,paik kar dījie,pˈɛːk kˈʌɾ dˈiːɟɪˌeː,,2,hi-agent-v1;ipa=espeak
food-ordering.check-please,बिल दीजिए,,bil dījie,bˈɪl dˈiːɟɪˌeː,,2,hi-agent-v1;ipa=espeak
food-ordering.does-it-contain,क्या इसमें {} है?,,kyā ismeṁ {} hai?,kːjaː ˈɪsmˌẽː {} hɛː,,2,hi-agent-v1;ipa=espeak
food-ordering.is-this-vegetarian,क्या यह शाकाहारी है?,,kyā yah śākāhārī hai?,kːjaː jˌəh ʃˌaːkaːhˈaːɾi hɛː,,2,hi-agent-v1;ipa=espeak
food-ordering.what-do-you-recommend,यहाँ क्या अच्छा मिलता है?,,yahāṁ kyā acchā miltā hai?,jˈʌhã kːjaː ˈʌcʰcʰaː mˈɪltˌaː hɛː,,2,hi-agent-v1;ipa=espeak
food-ordering.water-please,पानी दीजिए,,pānī dījie,pˈaːni dˈiːɟɪˌeː,,2,hi-agent-v1;ipa=espeak
food-ordering.can-a-vegetarian-eat-this,क्या शाकाहारी यह खा सकता है?,,kyā śākāhārī yah khā saktā hai?,kːjaː ʃˌaːkaːhˈaːɾi jˌəh kʰˈaː sˈʌktˌaː hɛː,,2,hi-agent-v1;ipa=espeak
dietary-needs.no-pork,सूअर का मांस नहीं,पोर्क नहीं,sūar kā māṁs nahīṁ,sˈuːəɾ kaː mˈãs nˈʌhĩ,no pig meat,2,hi-gaps-v1;ipa=espeak
dietary-needs.is-this-halal,क्या यह हलाल है?,क्या हलाल सर्टिफ़िकेट है?,kyā yah halāl hai?,kːjaː jˌəh həlˈaːl hɛː,,2,hi-gaps-v1;ipa=espeak
dietary-needs.does-it-contain-pork-fat,क्या इसमें सूअर की चर्बी है?,क्या इसमें लार्ड है?,kyā ismeṁ sūar kī carbī hai?,kːjaː ˈɪsmˌẽː sˈuːəɾ ki cˈʌɾbi hɛː,,2,pork-fat-agent-v1;in-pack-frame;ipa=espeak
