concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
trail-words.trail,արահետ,,arahet,ˌaɾahˈet,,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
trail-words.trailhead,արահետի սկիզբ,,araheti skizb,ˌaɾahetˈi əskˈizb,the start of the trail,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
trail-words.summit,գագաթ,,gagat’,ɡaɡˈatʰ,,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
trail-words.viewpoint,դիտակետ,,ditaket,dˌitakˈet,,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
trail-words.cableway,ճոպանուղի,,chopanughi,tʃˌopanuʁˈi,,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
trail-words.shuttle-bus,մաքոքային ավտոբուս,,mak’ok’ayin avtobus,mˌakʰokʰajˈin ˌavtobˈus,,2,"Tourism Committee of the Ministry of Economy of the Republic of Armenia (armenia.travel) visitor information; Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
trail-words.park-shuttle,այգու մաքոքային ավտոբուս,,aygu mak’ok’ayin avtobus,ajɡˈu mˌakʰokʰajˈin ˌavtobˈus,,2,"Tourism Committee of the Ministry of Economy of the Republic of Armenia (armenia.travel) visitor information; Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
trail-words.steps,աստիճաններ,,astichanner,ˌastitʃannˈer,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
trail-words.up-uphill,վեր / զառիվեր,,ver / zarriver,vˈer / zˌarivˈer,up / uphill,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
trail-words.down-downhill,վար / զառիթափ,,var / zarrit’ap’,vˈar / zˌaritʰˈapʰ,down / downhill,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
trail-words.one-way,միակողմանի,,miakoghmani,mˌiakˌoʁmanˈi,,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
trail-words.round-trip,երթևեկ,,yert’evek,jˌertʰevˈek,there and back,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
weather.forecast,Ի՞նչ եղանակ է կանխատեսվում։,,Inch’ yeghanak e kankhatesvum?,ˈintʃʰ jˌeʁanˈak e kˌanxatesvˈum,what weather is forecast?,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
weather.will-it-rain,Այսօր անձրև կգա՞։,,Aysor andzrev kga?,ajsˈoɾ andzɾˈev kəɡˈa,will rain come today?,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
weather.is-it-safe-today,Այսօր անվտա՞նգ է։,,Aysor anvtang e?,ajsˈoɾ anvtˈanɡ ˈe,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
weather.how-cold-at-night,Գիշերը որքա՞ն ցուրտ է լինում։,,Gishery vork’an ts’urt e linum?,ɡiʃˈeɾə vorkʰˈan tsʰˈurt e linˈum,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
weather.rain,անձրև,,andzrev,andzɾˈev,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
weather.snow,ձյուն,,dzyun,dzjˈun,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
weather.wind,քամի,,k’ami,kʰamˈi,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
weather.storm,փոթորիկ,,p’ot’orik,pʰˌotʰoɾˈik,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
weather.ice,սառույց,,sarruyts’,sarˈujtsʰ,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
