concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
introductions.my-name-is,Իմ անունը {} է։,,Im anuny {} e.,ˈim anˈunə {} ˈe,my name is {},2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
introductions.nice-to-meet-you,Ուրախ եմ ծանոթանալու համար։,,Urakh yem tsanot’analu hamar.,uɾˈax jˈem tsˌanotʰˌanalˈu hamˈar,I am glad to have met you,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
introductions.what-is-your-name,Ի՞նչ է Ձեր անունը։,,Inch’ e Dzer anuny?,ˈintʃʰ e dzˈeɾ anˈunə,what is your name?,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
introductions.we-are-traveling-together,Մենք միասին ենք ճանապարհորդում։,,Menk’ miasin yenk’ chanaparhordum.,menkʰ mˌiasˈin jenkʰ tʃˌanapˌarhordˈum,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
introductions.this-is-my-friend,Սա իմ ընկերն է։,,Sa im ynkern e.,sˈa ˈim ənkˈeɾən ˈe,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
introductions.i-am-from,Ես {}-ից եմ։,,Yes {}-its’ yem.,jˈes {} ˈitsʰ jˈem,"the ablative -ից on a hyphen, which is how Armenian attaches an ending to a foreign word or an abbreviation",2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Aghayan, E. B., Ardi hayereni batsatrakan bararan (Explanatory Dictionary of Modern Armenian, Hayastan, Yerevan, 1976);ipa=espeak"
introductions.where-are-you-from,Որտեղի՞ց եք։,,Vorteghits’ yek’?,vˌorteʁˈitsʰ jˈekʰ,where are you from?,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
introductions.how-are-you,Ինչպե՞ս եք։,,Inch’pes yek’?,intʃʰpˈes jˈekʰ,how are you?,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
introductions.i-am-a-tourist,Ես զբոսաշրջիկ եմ։,,Yes zbosashrjik yem.,jes əzbˌosaʃrdʒˈik jˈem,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
introductions.this-is-my-husband-wife,Սա իմ ամուսինն է / կինն է։,,Sa im amusinn e / kinn e.,sˈa ˈim ˌamusˈinən ˈe / kˈinən ˈe,"this is my husband / this is my wife — ամուսին is the husband, կին the wife",2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
introductions.this-is-my-daughter-son,Սա իմ դուստրն է / որդին է։,,Sa im dustrn e / vordin e.,sˈa ˈim dˈustɾən ˈe / vordˈin ˈe,this is my daughter / this is my son,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
introductions.i-am-traveling-alone,Ես մենակ եմ ճանապարհորդում։,,Yes menak yem chanaparhordum.,jes menˈak jˈem tʃˌanapˌarhordˈum,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
