concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
dietary-needs.no-meat,Առանց մսի։,,Arrants’ msi.,arˈantsʰ məsˈi,without meat,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.no-eggs,Առանց ձվի։,,Arrants’ dzvi.,arˈantsʰ dzəvˈi,without egg,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.not-spicy,Ոչ կծու։,,Voch’ ktsu.,vˈotʃʰ kətsˈu,not spicy,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
dietary-needs.less-spicy,Ավելի քիչ կծու։,,Aveli k’ich’ ktsu.,ˌavelˈi kʰˈitʃʰ kətsˈu,less spicy,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
dietary-needs.no-peanuts,Առանց գետնանուշի։,,Arrants’ getnanushi.,arˈantsʰ ɡˌetnanuʃˈi,without peanut,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.no-nuts,Առանց ընկուզեղենի։,,Arrants’ ynkuzegheni.,arˈantsʰ ənkˌuzeʁenˈi,without nuts — ընկուզեղեն is the collective noun; ընկույզ alone is the walnut,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.no-seafood,Առանց ծովամթերքի։,,Arrants’ tsovamt’erk’i.,arˈantsʰ tsˌovamtʰerkʰˈi,without seafood — ծովամթերք is the collective noun,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.i-am-vegetarian,Ես բուսակեր եմ։,,Yes busaker yem.,jes bˌusakˈer jˈem,,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
dietary-needs.i-am-vegan,Ես վեգան եմ։,,Yes vegan yem.,jes veɡˈan jˈem,"վեգան is the loanword, and is what is used in Armenia",2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
dietary-needs.i-do-not-eat,{} չեմ ուտում։,,{} ch’em utum.,{} tʃʰˈem utˈum,,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.i-am-allergic-to,Ալերգիա ունեմ՝ {}։,,Alergia unem: {}.,ˌalerɡiˈa unˈem {},I have an allergy — {}; the բութ carries the slot because to would govern the genitive,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.does-it-contain-fish-stock,Սա ձկան արգանակ պարունակո՞ւմ է։,,Sa dzkan arganak parunakum e?,sˈa dzəkˈan ˌarɡanˈak pˌaɾunakˈum ˈe,does this contain fish broth?,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.does-it-contain-pork-stock,Սա խոզի մսի արգանակ պարունակո՞ւմ է։,,Sa khozi msi arganak parunakum e?,sˈa xozˈi məsˈi ˌarɡanˈak pˌaɾunakˈum ˈe,does this contain pork broth?,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.i-have-a-severe-allergy-to,Ծանր ալերգիա ունեմ՝ {}։,,Tsanr alergia unem: {}.,tsˈanəɾ ˌalerɡiˈa unˈem {},I have a severe allergy — {},2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.no-pork,Առանց խոզի մսի։,,Arrants’ khozi msi.,arˈantsʰ xozˈi məsˈi,without pork,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.is-this-halal,Սա հալա՞լ է։,,Sa halal e?,sˈa halˈal ˈe,,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
dietary-needs.does-it-contain-pork-fat,Սա խոզի ճարպ պարունակո՞ւմ է։,,Sa khozi charp parunakum e?,sˈa xozˈi tʃˈarp pˌaɾunakˈum ˈe,does this contain pork fat?,2,"Ministry of Health of the Republic of Armenia (moh.am) public health and patient guidance; Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
