concept_id,text,text_alt,romanization_rr,ipa,literal,confidence,provenance
atm-cash.where-is-an-atm,현금인출기 어디예요?,,hyeongeuminchulgi eodiyeyo?,hjʌnɡɯmintɕʰulɡi ʌdijejo,,2,ko-agent-v1;ipa=rr
atm-cash.does-this-atm-take-foreign-cards,외국 카드 돼요?,,oeguk kadeu dwaeyo?,weɡuk kʰadɯ twɛjo,,2,ko-agent-v1;ipa=rr
atm-cash.the-atm-kept-my-card,기계가 카드를 먹었어요,,gigyega kadeureul meogeosseoyo,kiɡjeɡa kʰadɯɾɯl mʌɡʌs͈ʌjo,machine ate my card,2,ko-agent-v1;ipa=rr
atm-cash.is-there-a-fee,수수료 있어요?,,susuryo isseoyo?,susuɾjo is͈ʌjo,,2,ko-agent-v1;ipa=rr
atm-cash.the-card-was-declined,카드가 안 됐어요,,kadeuga an dwaesseoyo,kʰadɯɡa an twɛs͈ʌjo,,2,ko-agent-v1;ipa=rr
atm-cash.what-is-the-exchange-rate,환율이 얼마예요?,,hwannyuri eolmayeyo?,hwannjuɾi ʌlmajejo,,2,ko-agent-v1;ipa=rr
atm-cash.no-money-came-out,돈이 안 나왔어요,,doni an nawasseoyo,toni an nawas͈ʌjo,,2,ko-agent-v1;ipa=rr
atm-cash.where-can-i-change-money,환전 어디서 해요?,,hwanjeon eodiseo haeyo?,hwandʑʌn ʌdisʌ hɛjo,,2,ko-agent-v1;ipa=rr
atm-cash.the-machine-is-out-of-service,기계가 고장났어요,,gigyega gojangnasseoyo,kiɡjeɡa kodʑaŋnas͈ʌjo,,2,ko-agent-v1;ipa=rr
atm-cash.please-give-me-smaller-notes,작은 지폐로 주세요,,jageun jipyero juseyo,tɕaɡɯn tɕipʰjeɾo tɕusejo,,2,ko-agent-v1;ipa=rr
atm-cash.do-you-have-change,잔돈 있어요?,,jandon isseoyo?,tɕandon is͈ʌjo,,2,ko-agent-v1;ipa=rr
atm-cash.may-i-pay-in,{}로 낼 수 있어요?,,{}ro nael su isseoyo?,{} ɾo nɛl su is͈ʌjo,,2,ko-agent-v1;ipa=rr
atm-cash.please-charge-in-local-currency,원화로 결제해 주세요,,wonhwaro gyeoljehae juseyo,wʌnhwaɾo kjʌldʑehɛ tɕusejo,,2,ko-agent-v1;ipa=rr
atm-cash.where-can-i-get-coins,동전 어디서 바꿔요?,,dongjeon eodiseo bakkwoyo?,toŋdʑʌn ʌdisʌ pak͈wʌjo,,2,ko-agent-v1;ipa=rr
atm-cash.is-there-a-minimum-for-cards,카드 최소 금액 있어요?,,kadeu choeso geumaek isseoyo?,kʰadɯ tɕʰweso kɯmɛk is͈ʌjo,,2,ko-agent-v1;ipa=rr
atm-cash.atm,현금인출기,ATM,hyeongeuminchulgi,hjʌnɡɯmintɕʰulɡi,,2,ko-agent-v1;ipa=rr
atm-cash.banknote,지폐,,jipye,tɕipʰje,,2,ko-agent-v1;ipa=rr
atm-cash.coin,동전,,dongjeon,toŋdʑʌn,,2,ko-agent-v1;ipa=rr
