concept_id,text,text_alt,romanization_rr,ipa,literal,confidence,provenance
time-scheduling.what-time-is-it,몇 시예요?,,myeot siyeyo?,mjʌt sijejo,,2,ko-agent-v1;ipa=rr
time-scheduling.how-many-minutes,몇 분이에요?,,myeot bunieyo?,mjʌt puniejo,,2,ko-agent-v1;ipa=rr
time-scheduling.what-time-should-we-meet,몇 시에 만날까요?,,myeot sie mannalkkayo?,mjʌt sie mannalk͈ajo,,2,ko-agent-v1;ipa=rr
time-scheduling.can-we-change-the-time,시간 바꿀 수 있어요?,,sigan bakkul su isseoyo?,siɡan pak͈ul su is͈ʌjo,,2,ko-agent-v1;ipa=rr
time-scheduling.when-is-convenient,언제가 좋으세요?,,eonjega joeuseyo?,ʌndʑeɡa tɕweusejo,,2,ko-agent-v1;ipa=rr
time-scheduling.what-is-today-s-date,오늘 며칠이에요?,,oneul myeochirieyo?,onɯl mjʌtɕʰiɾiejo,,2,ko-agent-v1;ipa=rr
time-scheduling.what-day-is-it-today,오늘 무슨 요일이에요?,,oneul museun yoirieyo?,onɯl musɯn joiɾiejo,,2,ko-agent-v1;ipa=rr
time-scheduling.what-time-does-it-open,몇 시에 열어요?,,myeot sie yeoreoyo?,mjʌt sie jʌɾʌjo,,2,ko-agent-v1;ipa=rr
time-scheduling.what-time-does-it-close,몇 시에 닫아요?,,myeot sie dadayo?,mjʌt sie tadajo,,2,ko-agent-v1;ipa=rr
time-scheduling.how-long-does-it-take,얼마나 걸려요?,,eolmana geollyeoyo?,ʌlmana kʌlljʌjo,,2,ko-agent-v1;ipa=rr
time-words.today,오늘,,oneul,onɯl,,2,ko-agent-v1;ipa=rr
time-words.tomorrow,내일,,naeil,nɛil,,2,ko-agent-v1;ipa=rr
time-words.yesterday,어제,,eoje,ʌdʑe,,2,ko-agent-v1;ipa=rr
time-words.this-week,이번 주,,ibeon ju,ibʌn tɕu,,2,ko-agent-v1;ipa=rr
time-words.next-week,다음 주,,daeum ju,tɛum tɕu,,2,ko-agent-v1;ipa=rr
time-words.morning,아침,오전,achim,atɕʰim,,2,ko-agent-v1;ipa=rr
time-words.afternoon,오후,,ohu,ohu,,2,ko-agent-v1;ipa=rr
time-words.evening,저녁,,jeonyeok,tɕʌnjʌk,,2,ko-agent-v1;ipa=rr
time-words.spring,봄,,bom,pom,,2,ko-agent-v1;ipa=rr
time-words.summer,여름,,yeoreum,jʌɾɯm,,2,ko-agent-v1;ipa=rr
time-words.fall,가을,,gaeul,kɛul,,2,ko-agent-v1;ipa=rr
time-words.winter,겨울,,gyeoul,kjʌul,,2,ko-agent-v1;ipa=rr
time-words.night,밤,,bam,pam,,2,ko-agent-v1;ipa=rr
days-of-week.monday,월요일,,woryoil,wʌɾjoil,,2,ko-agent-v1;ipa=rr
days-of-week.tuesday,화요일,,hwayoil,hwajoil,,2,ko-agent-v1;ipa=rr
days-of-week.wednesday,수요일,,suyoil,sujoil,,2,ko-agent-v1;ipa=rr
days-of-week.thursday,목요일,,mogyoil,moɡjoil,,2,ko-agent-v1;ipa=rr
days-of-week.friday,금요일,,geumyoil,kɯmjoil,,2,ko-agent-v1;ipa=rr
days-of-week.saturday,토요일,,toyoil,tʰojoil,,2,ko-agent-v1;ipa=rr
days-of-week.sunday,일요일,,iryoil,iɾjoil,,2,ko-agent-v1;ipa=rr
months.january,1월,일월,irwol,iɾwʌl,,2,ko-agent-v1;ipa=rr
months.february,2월,이월,iwol,iwʌl,,2,ko-agent-v1;ipa=rr
months.march,3월,삼월,samwol,samwʌl,,2,ko-agent-v1;ipa=rr
months.april,4월,사월,sawol,sawʌl,,2,ko-agent-v1;ipa=rr
months.may,5월,오월,owol,owʌl,,2,ko-agent-v1;ipa=rr
months.june,6월,유월,yuwol,juwʌl,,2,ko-agent-v1;ipa=rr
months.july,7월,칠월,chirwol,tɕʰiɾwʌl,,2,ko-agent-v1;ipa=rr
months.august,8월,팔월,parwol,pʰaɾwʌl,,2,ko-agent-v1;ipa=rr
months.september,9월,구월,guwol,kuwʌl,,2,ko-agent-v1;ipa=rr
months.october,10월,시월,siwol,siwʌl,,2,ko-agent-v1;ipa=rr
months.november,11월,십일월,sibirwol,sibiɾwʌl,,2,ko-agent-v1;ipa=rr
months.december,12월,십이월,sibiwol,sibiwʌl,,2,ko-agent-v1;ipa=rr
time-words.clock-offset,"스와힐리어 시계는 해 뜰 때부터 세기 때문에 휴대폰 시계와 여섯 시간 어긋나요. 들은 숫자에 여섯을 더하면 시계의 시각이고, 시계의 시각에서 여섯을 빼면 말할 숫자예요. saa moja = 7:00, saa sita = 낮 12:00, saa kumi = 16:00. 헷갈리면 숫자로 말하거나, 서양식 시각은 saa ngapi za kizungu라고 물어보세요.",,,,,2,ko-notes-v1
