concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
dietary-needs.no-meat,بدونِ گوشت، مرغ و ماهی,,"bedun-e gusht, morgh va māhi",bedune ɡuʃt morq va mɑhi,gusht alone is read as red meat in an Iranian kitchen -- chicken is morgh and fish is māhi and neither counts -- so the row names all three,2,fa-allergen-v1;ipa=espeak
dietary-needs.no-eggs,بدونِ تخم‌مرغ,,bedun-e tokhm-e morgh,bedune toxmmorq,,2,fa-allergen-v1;ipa=espeak
dietary-needs.not-spicy,تند نباشد,,tond nabāshad,tond nabɑʃad,,2,fa-agent-v1;ipa=espeak
dietary-needs.less-spicy,کمتر تند,,kamtar tond,kamtar tond,,2,fa-agent-v1;ipa=espeak
dietary-needs.no-peanuts,بدونِ بادام‌زمینی,,bedun-e bādām-zamini,bedune bɑdɑmzamini,"bādām on its own is ALMOND -- bādām-zamini, 'ground almond', is the peanut, and it is the term Iranian labelling uses",2,fa-allergen-v1;ipa=espeak
dietary-needs.no-nuts,بدونِ گردو، بادام، پسته و فندق,بدونِ مغزها,"bedun-e gerdu, bādām, peste va fandoq",bedune ɡerdu bɑdɑm peste va fandoq,"ājil is the nearest single word and it also covers dried fruit and seeds, so the four that actually appear in Iranian cooking are named instead",2,fa-allergen-v1;ipa=espeak
dietary-needs.no-seafood,بدونِ ماهی، میگو و صدف,,"bedun-e māhi, migu va sadaf",bedune mɑhi miɡu va sadaf,"ghazā-ye daryāyi is understood but vague, so the row enumerates -- and Iranian labelling lists shrimp and crab as its own allergens",2,fa-allergen-v1;ipa=espeak
dietary-needs.i-am-vegetarian,من گیاهخوارم؛ گوشت، مرغ و ماهی نمی‌خورم,,"man giyāhkhāram; gusht, morgh va māhi nemikhoram",man ɡiɑhxɑram ɡuʃt morq va mɑhi nemixoram,,2,fa-allergen-v1;ipa=espeak
dietary-needs.i-am-vegan,گوشت، شیر، پنیر، ماست و تخم‌مرغ نمی‌خورم,,"gusht, shir, panir, māst va tokhm-e morgh nemikhoram",ɡuʃt ʃir panir mɑst va toxmmorq nemixoram,"the coverage is packed into text rather than left to a loanword: vegān is understood by few, and Iranian cooking puts yoghurt and dried whey in a great many dishes",2,fa-allergen-v1;ipa=espeak
dietary-needs.i-do-not-eat,{} نمی‌خورم,,{} nemikhoram,{} nemixoram,,2,fa-agent-v1;ipa=espeak
