concept_id,text,text_alt,romanization_elot,ipa,literal,confidence,provenance
social-basics.hello,Γεια σας,,Geia sas,jˈa sas,Polite plural; the safe form with strangers,2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.hello-polite,Χαίρετε,,Chairete,çˈeɾetˌe,"Formal greeting, any time of day",2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.good-morning,Καλημέρα,,Kalimera,kˌalimˈeɾa,,2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.good-evening,Καλησπέρα,,Kalispera,kˌalispˈeɾa,Used from midday onward,2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.goodbye,Αντίο,Γεια σας,Antio,adˈio,,2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.thank-you,Ευχαριστώ,Ευχαριστώ πολύ,Efcharisto,ˌefxaɾistˈo,,2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.you-are-welcome,Παρακαλώ,,Parakalo,pˌaɾakalˈo,"Same word as ""please"" and ""pardon?""",2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.excuse-me-sorry,Με συγχωρείτε,Συγγνώμη,Me synchoreite,me sˌiŋxoɾˈite,Forgive me; use to get attention,2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.sorry,Συγγνώμη,,Syngnomi,siŋɡnˈomi,"Also serves as ""excuse me""",2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.no-problem,Δεν πειράζει,Κανένα πρόβλημα,Den peirazei,ðˈem biɾˈazi,It does not matter,2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.i-do-not-know,Δεν ξέρω,,Den xero,ðˈeŋ ɡzˈeɾo,,2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.good-night,Καληνύχτα,,Kalinychta,kˌalinˈixta,"Said on parting or at bedtime, not on arrival",2,el-agent-v1;roman=elot743;ipa=espeak
social-basics.okay-fine-i-am-okay,Εντάξει / Είμαι καλά,Ωραία,Entaxei / Eimai kala,edˈaksi / ˈime kalˈa,,2,el-agent-v1;roman=elot743;ipa=espeak
communication.i-do-not-speak-this-language,Δεν μιλάω {target},,Den milao {target},ðˈen milˈao {target},,2,el-agent-v1;roman=elot743;ipa=espeak
communication.i-speak-only-a-little-of-this,Μιλάω λίγο {target},,Milao ligo {target},milˈao lˈiɣo {target},,2,el-agent-v1;roman=elot743;ipa=espeak
communication.do-you-speak-english,Μιλάτε {source};,,Milate {source};,milˈate {source},,2,el-agent-v1;roman=elot743;ipa=espeak
communication.please-speak-more-slowly,"Μιλάτε πιο αργά, παρακαλώ",,"Milate pio arga, parakalo","milˈate pçˈo aɾɣˈa, pˌaɾakalˈo",,2,el-agent-v1;roman=elot743;ipa=espeak
communication.i-do-not-understand-spoken,Δεν σας καταλαβαίνω,,Den sas katalavaino,ðˈen sas kˌatalavˈeno,I do not understand you (speaking),2,el-agent-v1;roman=elot743;ipa=espeak
communication.i-cannot-read-understand,Δεν μπορώ να το διαβάσω / δεν καταλαβαίνω,,Den boro na to diavaso / den katalavaino,ðˈen boɾˈo na to ðˌiavˈaso / ðˈeŋ ɡˌatalavˈeno,,2,el-agent-v1;roman=elot743;ipa=espeak
communication.please-say-it-again,"Πείτε το ξανά, παρακαλώ",Μπορείτε να το επαναλάβετε;,"Peite to xana, parakalo","pˈite to ksanˈa, pˌaɾakalˈo",,2,el-agent-v1;roman=elot743;ipa=espeak
communication.please-write-it-down,"Γράψτε το, παρακαλώ",,"Grapste to, parakalo","ɣɾˈapste to, pˌaɾakalˈo",,2,el-agent-v1;roman=elot743;ipa=espeak
communication.please-wait-a-moment,"Μια στιγμή, παρακαλώ",,"Mia stigmi, parakalo","mɲa stiɣmˈi, pˌaɾakalˈo","One moment, please",2,el-agent-v1;roman=elot743;ipa=espeak
communication.can-you-help-me,Μπορείτε να με βοηθήσετε;,,Boreite na me voithisete;,boɾˈite na me voɪθˈisetˌe,,2,el-agent-v1;roman=elot743;ipa=espeak
communication.please-show-me-the-text,Δείξτε μου το κείμενο στα {target},,Deixte mou to keimeno sta {target},ðˈikste mu to cˈimenˌo sta {target},,2,el-agent-v1;roman=elot743;ipa=espeak
communication.i-cannot-make-out-what-you-are-saying,Δεν καταλαβαίνω τι λέτε,Δεν σας ακούω καθαρά,Den katalavaino ti lete,ðˈeŋ ɡˌatalavˈeno tˈi lˈete,,2,el-agent-v1;roman=elot743;ipa=espeak
communication.i-do-not-understand,Δεν καταλαβαίνω,,Den katalavaino,ðˈeŋ ɡˌatalavˈeno,,2,el-agent-v1;roman=elot743;ipa=espeak
