concept_id,text,text_alt,romanization_elot,ipa,literal,confidence,provenance
emergency-medical.help,Βοήθεια!,,Voitheia!,voˈiθça,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.please-call-an-ambulance,"Καλέστε ασθενοφόρο, παρακαλώ",Πάρτε το 166 (ΕΚΑΒ),"Kaleste asthenoforo, parakalo","kalˈeste ˌasθenofˈoɾo, pˌaɾakalˈo",Ambulance is 166; 112 also works,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.i-need-a-doctor,Χρειάζομαι γιατρό,,Chreiazomai giatro,xɾçˈazomˌe jatɾˈo,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.i-am-sick,Είμαι άρρωστος / άρρωστη,Δεν είμαι καλά,Eimai arrostos / arrosti,ˈime ˈaɾostˌos / ˈaɾostˌi,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.i-am-injured,Έχω τραυματιστεί,Τραυματίστηκα,Echo travmatistei,ˈexo tɾˌavmatistˈi,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.it-hurts-here,Πονάει εδώ,Πονάω εδώ,Ponaei edo,ponˈai eðˈo,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.where-is-a-pharmacy,Πού υπάρχει φαρμακείο;,Πού είναι το φαρμακείο;,Pou yparchei farmakeio;,pˈu ipˈaɾçi fˌaɾmacˈio,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.please-take-me-to-a-hospital,"Πηγαίνετέ με στο νοσοκομείο, παρακαλώ",Μπορείτε να με πάτε σε νοσοκομείο;,"Pigainete me sto nosokomeio, parakalo","pijˈenete me sto nˌosokomˈio, pˌaɾakalˈo",,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.i-feel-unwell,Δεν αισθάνομαι καλά,Δεν νιώθω καλά,Den aisthanomai kala,ðˈen esθˈanomˌe kalˈa,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.this-is-an-emergency,Είναι επείγον!,Πρόκειται για επείγον περιστατικό,Einai epeigon!,ˈine epˈiɣon,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.i-am-having-a-severe-allergic-reaction,"Παθαίνω αναφυλαξία, σοβαρή αλλεργική αντίδραση",Έχω αναφυλακτικό σοκ,"Pathaino anafylaxia, sovari allergiki antidrasi","paθˈeno ˌanafˌilaksˈia, sˌovaɾˈi ˌaleɾjicˈi adˈiðɾasˌi",Anaphylaxis: severe allergic reaction,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.i-cannot-breathe,Δεν μπορώ να αναπνεύσω,Έχω δύσπνοια,Den boro na anapnefso,ðˈen boɾˈo n ˌanapnˈefso,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.i-am-bleeding-badly,Αιμορραγώ πολύ,Έχω σοβαρή αιμορραγία,Aimorrago poly,ˌemoɾaɣˈo polˈi,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.i-have-chest-pain,Έχω πόνο στο στήθος,,Echo pono sto stithos,ˈexo pˈono sto stˈiθos,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.this-person-is-unconscious,Αυτό το άτομο είναι αναίσθητο,Έχει λιποθυμήσει,Afto to atomo einai anaisthito,aftˈo to ˈatomˌo ˈine anˈesθitˌo,,2,el-agent-v1;roman=elot743;ipa=espeak
emergency-medical.where-is-the-nearest-hospital,Πού είναι το πλησιέστερο νοσοκομείο;,Πού είναι το πιο κοντινό νοσοκομείο;,Pou einai to plisiestero nosokomeio;,pˈu ˈine to plisjˈesteɾˌo nˌosokomˈio,,2,el-agent-v1;roman=elot743;ipa=espeak
