concept_id,text,text_alt,romanization_elot,ipa,literal,confidence,provenance
building-help.what-room-number-is-this,Τι αριθμό έχει αυτό το δωμάτιο;,Τι νούμερο είναι αυτό το δωμάτιο;,Ti arithmo echei afto to domatio;,tˈi ˌaɾiθmˈo ˈeçi aftˈo to ðomˈatiˌo,,2,el-agent-v1;roman=elot743;ipa=espeak
building-help.i-am-lost,Έχω χαθεί,,Echo chathei,ˈexo xaθˈi,,2,el-agent-v1;roman=elot743;ipa=espeak
building-help.where-is-reception,Πού είναι η ρεσεψιόν;,Πού είναι η υποδοχή;,Pou einai i resepsion;,pˈu ˈine i ɾˌesepsiˈon,,2,el-agent-v1;roman=elot743;ipa=espeak
building-help.where-is-a-power-outlet,Πού υπάρχει πρίζα;,Πού είναι η πρίζα;,Pou yparchei priza;,pˈu ipˈaɾçi pɾˈiza,,2,el-agent-v1;roman=elot743;ipa=espeak
accessibility.step-free,Υπάρχει πρόσβαση χωρίς σκαλιά;,Υπάρχει ισόπεδη πρόσβαση;,Yparchei prosvasi choris skalia;,ipˈaɾçi pɾˈosvasˌi xoɾˈis skaʎˈa,,2,el-agent-v1;roman=elot743;ipa=espeak
accessibility.wheelchair-access,Είναι προσβάσιμο με αναπηρικό αμαξίδιο;,,Einai prosvasimo me anapiriko amaxidio;,ˈine pɾosvˈasimˌo me ˌanapˌiɾikˈo ˌamaksˈiðiˌo,,2,el-agent-v1;roman=elot743;ipa=espeak
accessibility.elevator,Υπάρχει ασανσέρ;,Υπάρχει ανελκυστήρας;,Yparchei asanser;,ipˈaɾçi ˌasansˈeɾ,spoken ασανσέρ; the sign reads ανελκυστήρας,2,el-agent-v1;roman=elot743;ipa=espeak
accessibility.ramp,Υπάρχει ράμπα;,,Yparchei rampa;,ipˈaɾçi ɾˈaba,,2,el-agent-v1;roman=elot743;ipa=espeak
accessibility.how-many-steps,Πόσα σκαλιά έχει;,Πόσα σκαλιά είναι;,Posa skalia echei;,pˈosa skaʎˈa ˈeçi,,2,el-agent-v1;roman=elot743;ipa=espeak
accessibility.cannot-climb-stairs,Δεν μπορώ να ανεβώ σκάλες,,Den boro na anevo skales,ðˈen boɾˈo n ˌanevˈo skˈales,,2,el-agent-v1;roman=elot743;ipa=espeak
accessibility.need-to-sit-down,Πρέπει να καθίσω,Χρειάζομαι μια θέση να καθίσω,Prepei na kathiso,pɾˈepi na kaθˈiso,,2,el-agent-v1;roman=elot743;ipa=espeak
accessibility.accessible-restroom,Υπάρχει τουαλέτα για ΑμεΑ;,Υπάρχει προσβάσιμη τουαλέτα;,Yparchei toualeta gia Amea;,ipˈaɾçi tˌualˈeta jˈa ˈame ˈalfa,"ΑμεΑ = people with disabilities, the sign term",2,el-agent-v1;roman=elot743;ipa=espeak
accessibility.station-assistance,Υπάρχει βοήθεια για ΑμεΑ στον σταθμό;,Υπάρχει προσωπικό να βοηθήσει στον σταθμό;,Yparchei voitheia gia Amea ston stathmo;,ipˈaɾçi voˈiθça jˈa ˈame ˈalfa ston staθmˈo,,2,el-agent-v1;roman=elot743;ipa=espeak
