concept_id,text,text_alt,romanization_elot,ipa,literal,confidence,provenance
time-scheduling.what-time-is-it,Τι ώρα είναι;,,Ti ora einai;,tˈi ˈoɾa ˈine,,2,el-agent-v1;roman=elot743;ipa=espeak
time-scheduling.how-many-minutes,Πόσα λεπτά;,,Posa lepta;,pˈosa leptˈa,,2,el-agent-v1;roman=elot743;ipa=espeak
time-scheduling.what-time-should-we-meet,Τι ώρα να συναντηθούμε;,,Ti ora na synantithoume;,tˈi ˈoɾa na sˌinadiθˈume,,2,el-agent-v1;roman=elot743;ipa=espeak
time-scheduling.can-we-change-the-time,Μπορούμε να αλλάξουμε την ώρα;,,Boroume na allaxoume tin ora;,boɾˈume n alˈaksumˌe tin ˈoɾa,,2,el-agent-v1;roman=elot743;ipa=espeak
time-scheduling.when-is-convenient,Πότε σας βολεύει;,Πότε σας εξυπηρετεί;,Pote sas volevei;,pˈote saz volˈevi,When suits you?,2,el-agent-v1;roman=elot743;ipa=espeak
time-scheduling.what-is-today-s-date,Τι ημερομηνία έχουμε σήμερα;,Πόσες του μηνός έχουμε;,Ti imerominia echoume simera;,tˈi ˌimeɾˌominˈia ˈexumˌe sˈimeɾˌa,The answer comes in the genitive: 15 Ιανουαρίου,2,el-agent-v1;roman=elot743;ipa=espeak
time-scheduling.what-day-is-it-today,Τι μέρα είναι σήμερα;,,Ti mera einai simera;,tˈi mˈeɾa ˈine sˈimeɾˌa,,2,el-agent-v1;roman=elot743;ipa=espeak
time-scheduling.what-time-does-it-open,Τι ώρα ανοίγει;,,Ti ora anoigei;,tˈi ˈoɾ anˈiji,,2,el-agent-v1;roman=elot743;ipa=espeak
time-scheduling.what-time-does-it-close,Τι ώρα κλείνει;,Κλείνει το μεσημέρι;,Ti ora kleinei;,tˈi ˈoɾa klˈini,also: does it close at midday? (siesta),2,el-agent-v1;roman=elot743;ipa=espeak
time-scheduling.how-long-does-it-take,Πόση ώρα κάνει;,Πόσο διαρκεί;,Posi ora kanei;,pˈosi ˈoɾa kˈani,,2,el-agent-v1;roman=elot743;ipa=espeak
time-words.today,σήμερα,,simera,sˈimeɾˌa,,2,el-agent-v1;roman=elot743;ipa=espeak
time-words.tomorrow,αύριο,,avrio,ˈavɾiˌo,,2,el-agent-v1;roman=elot743;ipa=espeak
time-words.yesterday,χθες,χτες,chthes,xθˈes,,2,el-agent-v1;roman=elot743;ipa=espeak
time-words.this-week,αυτή την εβδομάδα,,afti tin evdomada,aftˈi tin ˌevðomˈaða,,2,el-agent-v1;roman=elot743;ipa=espeak
time-words.next-week,την επόμενη εβδομάδα,την άλλη εβδομάδα,tin epomeni evdomada,tin epˈomenˌi ˌevðomˈaða,,2,el-agent-v1;roman=elot743;ipa=espeak
