concept_id,text,text_alt,romanization_elot,ipa,literal,confidence,provenance
hotel-words.passport,Διαβατήριο,,Diavatirio,ðˌiavatˈiɾiˌo,,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-words.room-key-card,Κάρτα δωματίου,Κλειδί δωματίου,Karta domatiou,kˈaɾta ðˌomatˈiu,,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-words.check-in,Άφιξη,Τσεκ ιν,Afixi,ˈafiksˌi,arrival,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-words.check-out,Αναχώρηση,Τσεκ άουτ,Anachorisi,ˌanaxˈoɾisˌi,departure,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-words.luggage-storage,Φύλαξη αποσκευών,,Fylaxi aposkevon,fˈilaksˌi ˌaposcevˈon,,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.are-any-rooms-available,Έχετε ελεύθερα δωμάτια;,,Echete elefthera domatia;,ˈeçetˌe elˈefθeɾˌa ðomˈatiˌa,Do you have any free rooms?,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.there-are-two-of-us,Είμαστε δύο,Είμαστε δύο άτομα,Eimaste dyo,ˈimastˌe ðˈio,,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.i-have-a-reservation,Έχω κάνει κράτηση,Έχω κράτηση,Echo kanei kratisi,ˈexo kˈani kɾˈatisˌi,,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.can-i-charge-my-phone,Μπορώ να φορτίσω το κινητό μου;,,Boro na fortiso to kinito mou;,boɾˈo na foɾtˈiso to cˌinitˈo mu,,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,Θα ήθελα δωμάτιο για μη καπνιστές,,Tha ithela domatio gia mi kapnistes,θa ˈiθelˌa ðomˈatiˌo jˈa mˈi kˌapnistˈes,,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,Θα ήθελα ένα ήσυχο δωμάτιο,,Tha ithela ena isycho domatio,θa ˈiθelˌa ˈena ˈisixˌo ðomˈatiˌo,,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.is-there-a-washing-machine,Υπάρχει πλυντήριο ρούχων;,,Yparchei plyntirio rouchon;,ipˈaɾçi plidˈiɾiˌo ɾˈuxon,Is there a clothes washer?,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.is-wi-fi-free,Το ασύρματο δίκτυο είναι δωρεάν;,Έχει δωρεάν ίντερνετ;,To asyrmato diktyo einai dorean;,to asˈiɾmatˌo ðˈiktiˌo ˈine ðˌoɾeˈan,Is the wireless network (Wi-Fi) free?,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.how-much-per-night,Πόσο κάνει η διανυκτέρευση;,Πόσο κάνει τη βραδιά;,Poso kanei i dianykterefsi;,pˈoso kˈani i ðˌianiktˈeɾefsˌi,How much for one night's stay?,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.is-breakfast-included,Το πρωινό περιλαμβάνεται;,,To proino perilamvanetai;,to pɾˌoinˈo pˌeɾilamvˈanetˌe,,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.may-i-see-the-room,Μπορώ να δω το δωμάτιο;,,Boro na do to domatio;,boɾˈo na ðˈo to ðomˈatiˌo,,2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.for-nights,Για {} νύχτες,,Gia {} nychtes,jˈa {} nˈixtes,For {} nights (write a number),2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.two-beds,"Δύο χωριστά κρεβάτια, παρακαλώ",,"Dyo chorista krevatia, parakalo","ðˈio xˌoɾistˈa kɾevˈatiˌa, pˌaɾakalˈo","Two separate beds, please",2,el-agent-v1;roman=elot743;ipa=espeak
hotel-basics.is-there-air-conditioning,Υπάρχει κλιματισμός;,Έχει κλιματιστικό;,Yparchei klimatismos;,ipˈaɾçi klˌimatismˈos,,2,el-agent-v1;roman=elot743;ipa=espeak
