pass,concept_a,concept_b,relation
1,accessibility.accessible-restroom,lost-rescue.i-lost-my-passport,none
2,accessibility.accessible-restroom,lost-rescue.i-lost-my-passport,none
3,accessibility.accessible-restroom,lost-rescue.i-lost-my-passport,none
1,accessibility.accessible-restroom,toilets.accessible-toilet,partial
2,accessibility.accessible-restroom,toilets.accessible-toilet,partial
3,accessibility.accessible-restroom,toilets.accessible-toilet,partial
1,accessibility.board-first,toilets.is-there-a-toilet-on-board,none
2,accessibility.board-first,toilets.is-there-a-toilet-on-board,none
3,accessibility.board-first,toilets.is-there-a-toilet-on-board,none
1,accessibility.cannot-climb-stairs,medical-conditions.please-give-me-sugar-or-juice,none
2,accessibility.cannot-climb-stairs,medical-conditions.please-give-me-sugar-or-juice,none
3,accessibility.cannot-climb-stairs,medical-conditions.please-give-me-sugar-or-juice,none
1,accessibility.help-me-carry,emergency-medical.help,none
2,accessibility.help-me-carry,emergency-medical.help,none
3,accessibility.help-me-carry,emergency-medical.help,none
1,accessibility.ramp,transit-rides.two-tickets,none
2,accessibility.ramp,transit-rides.two-tickets,none
3,accessibility.ramp,transit-rides.two-tickets,none
1,accessibility.step-free,sim-data.do-you-need-my-passport,none
2,accessibility.step-free,sim-data.do-you-need-my-passport,none
3,accessibility.step-free,sim-data.do-you-need-my-passport,none
1,accessibility.step-free,toilets.is-it-free,none
2,accessibility.step-free,toilets.is-it-free,none
3,accessibility.step-free,toilets.is-it-free,none
1,accessibility.take-your-arm,numbers-money.pound-symbol,none
2,accessibility.take-your-arm,numbers-money.pound-symbol,none
3,accessibility.take-your-arm,numbers-money.pound-symbol,none
1,accessibility.wheelchair-access,toilets.accessible-toilet,none
2,accessibility.wheelchair-access,toilets.accessible-toilet,partial
3,accessibility.wheelchair-access,toilets.accessible-toilet,none
1,accessibility.wheelchair-width,time-words.fall,none
2,accessibility.wheelchair-width,time-words.fall,none
3,accessibility.wheelchair-width,time-words.fall,none
1,atm-cash.atm,rail-station-words.fare,none
2,atm-cash.atm,rail-station-words.fare,none
3,atm-cash.atm,rail-station-words.fare,none
1,atm-cash.cash-only,toilets.is-it-only-for-customers,none
2,atm-cash.cash-only,toilets.is-it-only-for-customers,none
3,atm-cash.cash-only,toilets.is-it-only-for-customers,none
1,atm-cash.change,toilets.baby-change,none
2,atm-cash.change,toilets.baby-change,none
3,atm-cash.change,toilets.baby-change,none
1,atm-cash.coin,toilets.do-i-need-a-coin,none
