sample_id	sample_type	sample_order	raw_file	extraction_date	acquisition_date	lc_column_id
QC_PREFA01	QC-DriftCorrection	6	B0000f_MoTrPAC_Tranche2_HumanAdipose_HP-PREFA01.raw	2024-11-13	2024-11-13	186002015_01133332714818
QC_PREFB01	QC-Pooled	7	B0000g_MoTrPAC_Tranche2_HumanAdipose_HP-PREFB01.raw	2024-11-13	2024-11-13	186002015_01133332714818
12163011103	Sample	8	B0001_MoTrPAC_Tranche2_HumanAdipose_HP-12163011103.raw	2024-11-13	2024-11-13	186002015_01133332714818
12163021103	Sample	9	B0002_MoTrPAC_Tranche2_HumanAdipose_HP-12163021103.raw	2024-11-13	2024-11-13	186002015_01133332714818
11764011103	Sample	10	B0003_MoTrPAC_Tranche2_HumanAdipose_HP-11764011103.raw	2024-11-13	2024-11-13	186002015_01133332714818
11110011103	Sample	11	B0004_MoTrPAC_Tranche2_HumanAdipose_HP-11110011103.raw	2024-11-13	2024-11-13	186002015_01133332714818
12003021103	Sample	12	B0005_MoTrPAC_Tranche2_HumanAdipose_HP-12003021103.raw	2024-11-13	2024-11-13	186002015_01133332714818
12003011103	Sample	13	B0006_MoTrPAC_Tranche2_HumanAdipose_HP-12003011103.raw	2024-11-13	2024-11-13	186002015_01133332714818
11634021103	Sample	14	B0007_MoTrPAC_Tranche2_HumanAdipose_HP-11634021103.raw	2024-11-13	2024-11-13	186002015_01133332714818
11634011103	Sample	15	B0008_MoTrPAC_Tranche2_HumanAdipose_HP-11634011103.raw	2024-11-13	2024-11-13	186002015_01133332714818
11730021103	Sample	16	B0009_MoTrPAC_Tranche2_HumanAdipose_HP-11730021103.raw	2024-11-13	2024-11-13	186002015_01133332714818
11730011103	Sample	17	B0010_MoTrPAC_Tranche2_HumanAdipose_HP-11730011103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11878011103	Sample	18	B0011_MoTrPAC_Tranche2_HumanAdipose_HP-11878011103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11878021103	Sample	19	B0012_MoTrPAC_Tranche2_HumanAdipose_HP-11878021103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11822011103	Sample	20	B0013_MoTrPAC_Tranche2_HumanAdipose_HP-11822011103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11822021103	Sample	21	B0014_MoTrPAC_Tranche2_HumanAdipose_HP-11822021103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11879011103	Sample	22	B0015_MoTrPAC_Tranche2_HumanAdipose_HP-11879011103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11879021103	Sample	23	B0016_MoTrPAC_Tranche2_HumanAdipose_HP-11879021103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11559021103	Sample	24	B0017_MoTrPAC_Tranche2_HumanAdipose_HP-11559021103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11559011103	Sample	25	B0018_MoTrPAC_Tranche2_HumanAdipose_HP-11559011103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11875011103	Sample	26	B0019_MoTrPAC_Tranche2_HumanAdipose_HP-11875011103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11875021103	Sample	27	B0020_MoTrPAC_Tranche2_HumanAdipose_HP-11875021103.raw	2024-11-13	2024-11-14	186002015_01133332714818
QC_PREFA02	QC-DriftCorrection	28	B0020a_MoTrPAC_Tranche2_HumanAdipose_HP-PREFA02.raw	2024-11-13	2024-11-14	186002015_01133332714818
QC_PREFB02	QC-Pooled	29	B0020b_MoTrPAC_Tranche2_HumanAdipose_HP-PREFB02.raw	2024-11-13	2024-11-14	186002015_01133332714818
11411021103	Sample	30	B0021_MoTrPAC_Tranche2_HumanAdipose_HP-11411021103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11411011103	Sample	31	B0022_MoTrPAC_Tranche2_HumanAdipose_HP-11411011103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11381011103	Sample	32	B0023_MoTrPAC_Tranche2_HumanAdipose_HP-11381011103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11381021103	Sample	33	B0024_MoTrPAC_Tranche2_HumanAdipose_HP-11381021103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11846011103	Sample	34	B0025_MoTrPAC_Tranche2_HumanAdipose_HP-11846011103.raw	2024-11-13	2024-11-14	186002015_01133332714818
11846021103	Sample	35	B0026_MoTrPAC_Tranche2_HumanAdipose_HP-11846021103.raw	2024-11-13	2024-11-14	186002015_01133332714818
