metabolite_name	rt	mz
Broad_HP_mz450.3211_rt3.92	3.92	450.3210581
Broad_HP_mz466.4098_rt1.46	1.46	466.4097749
Broad_HP_mz424.3629_rt1.49	1.49	424.3629379
Broad_HP_mz384.3468_rt1.49	1.49	384.346767899999
Broad_HP_mz213.0326_rt1.43	1.43	213.0325788
Broad_HP_mz658.5096_rt1.43	1.43	658.509645099999
Broad_HP_mz532.351_rt1.46	1.46	532.351030599999
Broad_HP_mz750.6598_rt1.48	1.48	750.6597884
Broad_HP_mz754.6899_rt1.49	1.49	754.6898678
Broad_HP_mz504.3197_rt1.49	1.49	504.3196649
Broad_HP_mz778.6906_rt1.48	1.48	778.6905774
Broad_HP_mz788.6758_rt1.51	1.51	788.675814299999
Broad_HP_mz694.5972_rt1.5	1.5	694.597162099999
Broad_HP_mz740.6746_rt1.51	1.51	740.674568199999
Broad_HP_mz746.6285_rt1.52	1.52	746.6285102
Broad_HP_mz762.6601_rt1.51	1.51	762.6601445
Broad_HP_mz794.6493_rt1.55	1.55	794.6493036
Broad_HP_mz736.6445_rt1.52	1.52	736.644510699999
Broad_HP_mz796.6654_rt1.51	1.51	796.6653996
Broad_HP_mz798.6438_rt1.54	1.54	798.643786399999
Broad_HP_mz269.2261_rt1.53	1.53	269.226088399999
Broad_HP_mz546.3998_rt1.6	1.6	546.3997888
Broad_HP_mz656.5827_rt1.53	1.53	656.5827212
Broad_HP_mz680.5819_rt1.53	1.53	680.581909
Broad_HP_mz752.6387_rt1.54	1.54	752.638747999999
Broad_HP_mz754.6184_rt1.53	1.53	754.618428999999
Broad_HP_mz766.6191_rt1.55	1.55	766.6190639
Broad_HP_mz654.5666_rt1.54	1.54	654.5665712
Broad_HP_mz724.6081_rt1.55	1.55	724.608071
Broad_HP_mz780.6701_rt1.52	1.52	780.670066499999
Broad_HP_mz784.6291_rt1.55	1.55	784.6291402
Broad_HP_mz786.6596_rt1.55	1.55	786.6595544
Broad_HP_mz794.6136_rt1.55	1.55	794.613633299999
Broad_HP_mz564.4288_rt1.56	1.56	564.4287964
Broad_HP_mz600.5197_rt1.55	1.55	600.519699899999
Broad_HP_mz696.5769_rt1.54	1.54	696.576907
Broad_HP_mz770.6139_rt1.55	1.55	770.613903299999
Broad_HP_mz670.4672_rt1.57	1.57	670.467211199999
Broad_HP_mz680.4797_rt1.56	1.56	680.479664999999
Broad_HP_mz780.6344_rt1.55	1.55	780.6344179
Broad_HP_mz549.4869_rt1.56	1.56	549.486931899999
Broad_HP_mz575.5025_rt1.56	1.56	575.5024815
Broad_HP_mz603.5342_rt1.56	1.56	603.5342176
Broad_HP_mz396.353_rt1.59	1.59	396.353048899999
Broad_HP_mz424.3571_rt1.59	1.59	424.3571233
Broad_HP_mz427.3777_rt1.58	1.58	427.377695
Broad_HP_mz466.404_rt1.58	1.58	466.4039525
Broad_HP_mz524.3308_rt1.59	1.59	524.3307512
Broad_HP_mz410.3411_rt1.61	1.61	410.341132599999
Broad_HP_mz478.3101_rt1.6	1.6	478.310061899999
Broad_HP_mz338.2839_rt1.6	1.6	338.2838917
Broad_HP_mz408.2592_rt1.61	1.61	408.259155099999
Broad_HP_mz420.2682_rt1.6	1.6	420.268198199999
Broad_HP_mz436.2633_rt1.61	1.61	436.263261899999
Broad_HP_mz632.6336_rt1.61	1.61	632.6336045
Broad_HP_mz654.3315_rt1.6	1.6	654.3314645
Broad_HP_mz672.5042_rt1.63	1.63	672.504204999999
Broad_HP_mz764.6554_rt1.6	1.6	764.655422
Broad_HP_mz371.3152_rt1.61	1.61	371.315235599999
Broad_HP_mz476.3942_rt1.61	1.61	476.3942197
Broad_HP_mz480.4196_rt1.61	1.61	480.419577199999
Broad_HP_mz606.618_rt1.61	1.61	606.618047199999
