metabolite_name	refmet_name	rt	mz	neutral_mass	formula
Valine-d8 [iSTD]	Valine-d8 [iSTD]	7.307	126.1363	125.129195	C5H3D8NO2
Phenylalanine-d8 [iSTD]	Phenylalanine-d8 [iSTD]	6.591	174.13637	173.129195	C9H3D8NO2
Cotinine	Cotinine	5.016	177.102039999999	176.094962999999	C10H12N2O
Piperine	Piperine	1.95	286.1435217	285.136494	C17H19NO3
N1-Methyl-4-pyridone-3-carboxamide	N1-Methyl-4-pyridone-3-carboxamide	4.894	153.06584	152.058578	C7H8N2O2
Phenylethylamine	Phenylethylamine	6.77	122.096238	121.0891	C8H11N
Tyramine	Tyramine	6.28	138.091177399999	137.0841	C8H11NO
Sertraline	Sertraline	5.71	306.0808804	305.0738	C17H17Cl2N
delta-Valerobetaine	delta-Valerobetaine	8.3	160.1330704	159.1259	C8H17NO2
Myristoleic acid	Myristoleic acid	1.74	227.200324099999	226.1933	C14H26O2
Pantothenol	Pantothenol	3.8	206.138484199999	205.131409	C9H19NO4
NA-Gly 18:1	NA-Gly 18:1	2.37	340.2843609	339.277344	C20H37NO3
Lauroyl diethanolamide	Lauroyl diethanolamide	1.97	288.253041199999	287.246	C16H33NO3
Palmitoleoyl-EA	Palmitoleoyl-EA	1.97	298.273824699999	297.266779	C18H35NO2
Palmitoyl-EA	Palmitoyl-EA	1.99	300.289438899999	299.282429	C18H37NO2
Linoleoyl-EA	Linoleoyl-EA	1.96	324.289443	323.282429	C20H37NO2
Oleoyl-EA	Oleoyl-EA	1.96	326.3051117	325.298079	C20H39NO2
Arachidonoyl-EA	Arachidonoyl-EA	1.96	348.289446399999	347.2824	C22H37NO2
Eicosanoyl-EA	Eicosanoyl-EA	1.96	356.351664599999	355.345029	C22H45NO2
Stearamide	Stearamide	1.92	284.294576	283.287514	C18H37NO
Putrescine	Putrescine	9.31	89.1071333299999	88.100048	C4H12N2
Tetradecylamine	Tetradecylamine	5.74	214.2527302	213.245649	C14H31N
3-Dehydroxycarnitine	3-Dehydroxycarnitine	8.69	146.1174502	145.110279	C7H15NO2
CAR 2:0	CAR 2:0	8.58	204.1228026	203.115759	C9H17NO4
CAR 3:0	CAR 3:0	8.22	218.1384778	217.131409	C10H19NO4
CAR 4:0	CAR 4:0	7.89	232.1542551	231.147058999999	C11H21NO4
CAR 5:1	CAR 5:1	7.76	244.154111199999	243.147058999999	C12H21NO4
CAR 5:0	CAR 5:0	7.66	246.169749499999	245.162709	C12H23NO4
CAR 4:0;OH	CAR 4:0;OH	8.76	248.1490881	247.141974	C11H21NO5
CAR 6:0	CAR 6:0	7.41	260.1854326	259.178359	C13H25NO4
CAR DC4:0	CAR DC4:0	8.406	262.1286	261.121239	C11H19NO6
CAR 5:0;OH	CAR 5:0;OH	8.61999999999999	262.1646877	261.157624	C12H23NO5
CAR 8:1	CAR 8:1	7.27	286.2011531	285.194009	C15H27NO4
CAR 12:0	CAR 12:0	6.81	344.2791919	343.272259	C19H37NO4
CAR 14:1	CAR 14:1	6.64	370.294805999999	369.287909	C21H39NO4
CAR 14:0	CAR 14:0	6.63	372.3104617	371.303559	C21H41NO4
CAR 16:1	CAR 16:1	6.53	398.326011199999	397.319209	C23H43NO4
CAR 16:0	CAR 16:0	6.51	400.34169	399.334859	C23H45NO4
CAR 18:2	CAR 18:2	6.49	424.3417291	423.334859	C25H45NO4
CAR 18:1	CAR 18:1	6.42	426.357343899999	425.350509	C25H47NO4
CAR 18:0	CAR 18:0	6.39	428.372963799999	427.366159	C25H49NO4
CAR 20:1	CAR 20:1	6.33	454.388472499999	453.381809	C27H51NO4
CAR 20:0	CAR 20:0	6.30299999999999	456.40485	455.397458999999	C27H53NO4
TG 44:2	TG 44:2	1.51	764.675758299999	746.64244	C47H86O6
TG 44:1	TG 44:1	1.51	766.6912948	748.658089999999	C47H88O6
TG 46:2	TG 46:2	1.5	792.707136099999	774.67374	C49H90O6
LPC 15:0	LPC 15:0	7.7	482.3238931	481.316842	C23H48NO7P
LPC 16:1	LPC 16:1	7.65	494.323854299999	493.316842	C24H48NO7P
LPC 16:0	LPC 16:0	7.61	496.339422599999	495.332492	C24H50NO7P
LPC 17:0	LPC 17:0	7.55	510.3556945	509.348142	C25H52NO7P
LPC 18:2	LPC 18:2	7.6	520.339480999999	519.332492	C26H50NO7P
LPC 18:1	LPC 18:1	7.54	522.3552359	521.348142	C26H52NO7P
LPC 18:0	LPC 18:0	7.48	524.370811799999	523.363792	C26H54NO7P
LPC 19:0	LPC 19:0	7.429	538.3866	537.3794	C27H56NO7P
LPC 20:4	LPC 20:4	7.53	544.339334	543.332492	C28H50NO7P
LPC 20:3	LPC 20:3	7.46	546.353706099999	545.3481	C28H52NO7P
LPC 20:1	LPC 20:1	7.43299999999999	550.38684	549.3794	C28H56NO7P
LPC 20:0	LPC 20:0	7.37	552.402435699999	551.3951	C28H58NO7P
LPC 22:6	LPC 22:6	7.37699999999999	568.33954	567.3325	C30H50NO7P
LPC P-16:0 or LPC O-16:1	LPC P-16:0 or LPC O-16:1	7.45	480.344556899999	479.337577	C24H50NO6P
LPC O-16:0	LPC O-16:0	7.73	482.360280999999	481.353227	C24H52NO6P
LPC P-18:1 or LPC O-18:2	LPC P-18:1 or LPC O-18:2	7.39	506.3602455	505.353227	C26H52NO6P
LPC P-18:0 or LPC O-18:1	LPC P-18:0 or LPC O-18:1	7.66	508.375970199999	507.3689	C26H54NO6P
LPC O-18:0	LPC O-18:0	7.59	510.3916375	509.3845	C26H56NO6P
PC P-13:0 or PC O-13:1	PC P-13:0 or PC O-13:1	8.32	452.277499499999	451.2699	C21H42NO7P
PC P-30:0 or PC O-30:1	PC P-30:0 or PC O-30:1	6.51	690.542957799999	689.535942	C38H76NO7P
PC P-32:1 or PC O-32:2	PC P-32:1 or PC O-32:2	6.46	716.5581484	715.551592	C40H78NO7P
PC P-32:0 or PC O-32:1	PC P-32:0 or PC O-32:1	6.46	718.5742192	717.567242	C40H80NO7P
PC O-32:0	PC O-32:0	6.53	720.589673599999	719.582892	C40H82NO7P
PC P-34:3 or PC O-34:4	PC P-34:3 or PC O-34:4	6.43	740.5582255	739.551592	C42H78NO7P
PC P-34:2 or PC O-34:3	PC P-34:2 or PC O-34:3	6.421	742.574399999999	741.567242	C42H80NO7P
PC P-34:1 or PC O-34:2	PC P-34:1 or PC O-34:2	6.41	744.5894382	743.582892	C42H82NO7P
PC P-34:0 or PC O-34:1	PC P-34:0 or PC O-34:1	6.5	746.604685399999	745.598542	C42H84NO7P
PC P-35:3 or PC O-35:4	PC P-35:3 or PC O-35:4	6.41	754.573301099999	753.567242	C43H80NO7P
PC P-35:2 or PC O-35:3	PC P-35:2 or PC O-35:3	6.399	756.590029999999	755.582892	C43H82NO7P
PC P-36:5 or PC O-36:6	PC P-36:5 or PC O-36:6	6.36	764.558899999999	763.551592	C44H78NO7P
PC P-36:4 or PC O-36:5	PC P-36:4 or PC O-36:5	6.347	766.574399999999	765.567242	C44H80NO7P
PC P-36:3 or PC O-36:4	PC P-36:3 or PC O-36:4	6.386	768.589659999999	767.582892	C44H82NO7P
PC P-36:2 or PC O-36:3	PC P-36:2 or PC O-36:3	6.373	770.60571	769.598542	C44H84NO7P
PC P-36:1 or PC O-36:2	PC P-36:1 or PC O-36:2	6.37	772.6197878	771.6142	C44H86NO7P
PC P-35:1 or PC O-35:2	PC P-35:1 or PC O-35:2	6.33	780.589557099999	757.598542	C43H84NO7P
PC P-38:6 or PC O-38:7	PC P-38:6 or PC O-38:7	6.325	790.574219999999	789.567242	C46H80NO7P
PC P-38:5 or PC O-38:6	PC P-38:5 or PC O-38:6	6.31599999999999	792.589969999999	791.582892	C46H82NO7P
PC P-38:4 or PC O-38:5	PC P-38:4 or PC O-38:5	6.36399999999999	794.60553	793.598542	C46H84NO7P
PC P-38:2 or PC O-38:3	PC P-38:2 or PC O-38:3	6.41199999999999	798.63678	797.6298	C46H88NO7P
PC 28:0	PC 28:0	6.61	678.5065233	677.499557	C36H72NO8P
PC 30:2	PC 30:2	6.583	702.50702	701.499557	C38H72NO8P
PC 30:1	PC 30:1	6.55	704.5220824	703.515207	C38H74NO8P
PC 30:0	PC 30:0	6.55	706.537695099999	705.530857	C38H76NO8P
PC 31:1	PC 31:1	6.53	718.538910399999	717.530857	C39H76NO8P
PC 31:0	PC 31:0	6.53	720.5537385	719.546507	C39H78NO8P
PC 32:3	PC 32:3	6.56	728.520108599999	727.515207	C40H74NO8P
PC 32:2	PC 32:2	6.522	730.53796	729.530857	C40H76NO8P
PC 32:0	PC 32:0	6.52	734.568556199999	733.562157	C40H80NO8P
PC 33:2	PC 33:2	6.50399999999999	744.55597	743.546507	C41H78NO8P
PC 33:1	PC 33:1	6.495	746.569579999999	745.562157	C41H80NO8P
PC 33:0	PC 33:0	6.5	748.5840855	747.577807	C41H82NO8P
PC 34:4	PC 34:4	6.52	754.536118099999	753.530857	C42H76NO8P
PC 34:2	PC 34:2	6.47799999999999	758.56934	757.562157	C42H80NO8P
PC 34:1	PC 34:1	6.46	760.582820299999	759.5778	C42H82NO8P
PC 35:4	PC 35:4	6.42	768.5530565	767.5465	C43H78NO8P
PC 35:3	PC 35:3	6.45	770.568966499999	769.562157	C43H80NO8P
PC 35:2	PC 35:2	6.447	772.585019999999	771.577807	C43H82NO8P
PC 36:5	PC 36:5	6.399	780.55304	779.546507	C44H78NO8P
PC 36:4	PC 36:4	6.391	782.56946	781.562157	C44H80NO8P
PC 36:3	PC 36:3	6.43	784.58447	783.577807	C44H82NO8P
CerPE 34:1;O2	CerPE 34:1;O2	5.77	661.5278038	660.5206	C36H73N2O6P
LPE 18:1	LPE 18:1	5.98899999999999	480.308319999999	479.3012	C23H46NO7P
LPE 18:0	LPE 18:0	6.03	482.323798599999	481.316842	C23H48NO7P
LPE P-18:0 or LPE O-18:1	LPE P-18:0 or LPE O-18:1	5.92	466.3289672	465.321927	C23H48NO6P
PE P-34:2 or PE O-34:3	PE P-34:2 or PE O-34:3	5.274	700.52722	699.520292	C39H74NO7P
PE P-34:1 or PE O-34:2	PE P-34:1 or PE O-34:2	5.26	702.5428359	701.5359	C39H76NO7P
PE P-34:0 or PE O-34:1	PE P-34:0 or PE O-34:1	5.335	704.55969	703.551592	C39H78NO7P
PE P-35:2 or PE O-35:3	PE P-35:2 or PE O-35:3	5.26	714.542723	713.535942	C40H76NO7P
PE P-36:4 or PE O-36:5	PE P-36:4 or PE O-36:5	5.2	724.526982399999	723.520292	C41H74NO7P
PE P-36:2 or PE O-36:3	PE P-36:2 or PE O-36:3	5.23899999999999	728.55847	727.551592	C41H78NO7P
