concept_id,respell
toilets.where-toilet,voh ist dee toy-LET-uh?
accessibility.step-free,gipt es EYE-nen SHTOO-fen-loh-zen TSOO-gahng?
building-help.what-room-number-is-this,VEL-khuh TSIM-er-noom-er ist dahs?
in-a-building.is-this-the-correct-entrance,ist dahs dair RIKH-tee-guh INE-gahng?
building-words.elevator,OWF-tsook
pronouns-verbs.i-me,ikh / mikh
question-words.what,vahs
medical-conditions.i-am-diabetic,ikh HAH-buh dee-ah-BAY-tes
pharmacy-symptoms.which-pharmacy-is-open-now,VEL-khuh ah-poh-TAY-kuh haht yetst OF-en?
police-consulate.where-is-the-police-station,voh ist dee poh-lee-TSY-vah-khuh?
body-parts.head,kopf
emergency-medical.help,HIL-fuh!
lost-rescue.i-lost-my-passport,ikh HAH-buh MY-nen pahss fair-LOH-ren
dietary-needs.no-meat,kine flysh
food-ordering.table-for-two,ine tish fewr tsvy
weather.forecast,vee ist dee VET-er-for-hair-zah-guh?
trail-words.trail,VAHN-der-vayk
hiking-parks.is-this-the-way-to,ist dahs dair vayk nahkh {}?
trail-conditions.how-long-is-the-full-route,vee lahng ist dee GAHN-tsuh SHTREK-uh?
trail-transport.how-long-is-the-queue,vee lahng ist dee SHLAHNG-uh?
trail-warnings.open,guh-URF-net
trail-landmarks.trail-marker,VAYK-mahr-kee-roong
laundry.please-wash-these-clothes,BIT-tuh DEE-zuh VESH-uh VAH-shen
hotel-words.passport,pahss
hotel-basics.are-any-rooms-available,HAH-ben zee ine TSIM-er fry?
hotel-requests.can-i-check-out-later,kahn ikh SHPAY-ter OWS-chek-en?
room-problems.there-is-a-problem-with-the-room,es gipt ine proh-BLAYM mit daym TSIM-er
introductions.my-name-is,ikh HY-suh {}
atm-cash.where-is-an-atm,voh ist ine GELT-ow-toh-maht?
numbers-money.l-ng,nool
attractions-tickets.where-can-i-buy-tickets,voh kahn ikh KAHR-ten KOW-fen?
payment-receipt.pay-by-card,mit KAHR-tuh TSAH-len?
shopping.i-am-just-looking,ikh SHOW-uh noor
color-size-returns.do-you-have-another-color,HAH-ben zee EYE-nuh AHN-duh-ruh FAHR-buh?
tax-refund.can-i-get-a-tax-refund,buh-KOM-uh ikh dee MAIR-vairt-shtoy-er tsoo-REWK?
sim-data.i-would-like-a-tourist-sim,ikh MURKH-tuh EYE-nuh PREE-payd-zim-kahr-tuh
children.cannot-find-my-child,ikh FIN-duh mine kint nikht!
etiquette.is-this-allowed,ist dahs air-LOWPT?
social-basics.hello,HAH-loh
communication.i-do-not-speak-this-language,ikh SHPREKH-uh kine doytsh
