concept_id,respell
building-help.what-room-number-is-this,keh NOO-meh-roh dee STAN-tsah eh KWES-toh
building-help.i-am-lost,mee SOH-noh PER-soh
building-help.where-is-reception,doh-VEH lah reh-CHEP-shon
building-help.where-is-a-power-outlet,doh-VEH OO-nah PREH-zah dee kor-REN-teh
in-a-building.is-this-the-correct-entrance,eh KWES-tah len-TRAH-tah JOOS-tah
in-a-building.do-you-have-wi-fi,ah-VEH-teh eel WEE-fee
in-a-building.what-is-the-wi-fi-password,kwal eh lah PAS-word del WEE-fee
in-a-building.which-floor,KWAH-leh pee-AH-noh
building-words.elevator,ah-shen-SOH-reh
building-words.stairs,SKAH-leh
building-words.entrance,en-TRAH-tah
building-words.exit,oo-SHEE-tah
building-words.men,WOH-mee-nee
building-words.women,DON-neh
building-words.door,POR-tah
building-words.key,kee-AH-veh
toilets.where-toilet,doh-VEH eel BAH-nyoh
toilets.where-public-toilet,doh-VEH oon BAH-nyoh POOB-blee-koh
toilets.may-i-use-the-toilet,"POS-soh oo-ZAH-reh eel BAH-nyoh, per fah-VOH-reh"
toilets.is-it-only-for-customers,eh SOH-loh per ee klee-EN-tee
toilets.toilet-wc,BAH-nyee / voo CHEE
toilets.is-it-free,eh grah-TOO-ee-toh
toilets.do-i-need-a-coin,SER-veh OO-nah moh-NEH-tah oh oon jet-TOH-neh
toilets.is-the-tap-water-safe-to-drink,LAK-kwah del roo-bee-NET-toh eh poh-TAH-bee-leh
toilets.it-is-urgent,eh oor-JEN-teh
toilets.may-i-have-the-toilet-key,mee dah lah kee-AH-veh del BAH-nyoh
toilets.there-is-no-toilet-paper,non cheh KAR-tah ee-JEH-nee-kah
toilets.toilet-paper,KAR-tah ee-JEH-nee-kah
toilets.it-is-out-of-order,non foon-tsee-OH-nah
toilets.out-of-order,FWOH-ree ser-VEE-tsee-oh
toilets.mens-toilet,see-NYOH-ree
toilets.womens-toilet,see-NYOH-reh
toilets.drinking-water,AK-kwah poh-TAH-bee-leh
toilets.not-for-drinking,AK-kwah non poh-TAH-bee-leh
toilets.accessible-toilet,BAH-nyoh at-ches-SEE-bee-leh
toilets.where-can-i-wash-my-hands,DOH-veh POS-soh lah-VAR-mee leh MAH-nee
toilets.can-i-flush-the-paper,POS-soh boot-TAH-reh lah KAR-tah nel VAH-ter
toilets.is-there-a-toilet-on-board,cheh eel BAH-nyoh ah BOR-doh
toilets.the-toilet-will-not-flush,loh shak-KWOH-neh non foon-tsee-OH-nah
toilets.baby-change,fah-shah-TOH-yoh
toilets.squat-toilet,BAH-nyoh AL-lah TOOR-kah
accessibility.step-free,cheh oon at-CHES-soh SEN-tsah skah-LEE-nee
accessibility.wheelchair-access,eh at-ches-SEE-bee-leh een SEH-dee-ah ah roh-TEL-leh
accessibility.elevator,cheh lah-shen-SOH-reh
accessibility.ramp,cheh OO-nah RAM-pah
accessibility.how-many-steps,KWAN-tee skah-LEE-nee chee SOH-noh
accessibility.cannot-climb-stairs,non POS-soh FAH-reh leh SKAH-leh
accessibility.need-to-sit-down,oh bee-ZOH-nyoh dee seh-DER-mee
accessibility.accessible-restroom,cheh oon BAH-nyoh at-ches-SEE-bee-leh
accessibility.station-assistance,cheh as-sees-TEN-tsah een stah-tsee-OH-neh
accessibility.help-me-carry,"mee ah-YOO-tee ah por-TAH-reh KWES-toh, per fah-VOH-reh"
accessibility.board-first,POS-soh sah-LEE-reh PREE-mah DEH-lyee AL-tree
accessibility.door-width,KWAN-toh eh LAR-gah lah POR-tah
accessibility.wheelchair-width,lah MEE-ah SEH-dee-ah ah roh-TEL-leh eh LAR-gah {} chen-TEE-meh-tree
accessibility.hard-of-hearing,oh proh-BLEH-mee dee oo-DEE-toh
accessibility.speak-louder,"PAR-lee pee-OO FOR-teh, per fah-VOH-reh"
accessibility.visually-impaired,SOH-noh ee-poh-veh-DEN-teh
accessibility.take-your-arm,POS-soh PREN-der-leh eel BRAT-choh
accessibility.guide-dog,KWES-toh eh eel MEE-oh KAH-neh GWEE-dah
pronouns-verbs.i-me,EE-oh / mee
pronouns-verbs.we-us,noy / chee
pronouns-verbs.you,too
pronouns-verbs.you-polite,lay
pronouns-verbs.he-him,LOO-ee / loh
pronouns-verbs.she-her,lay / lah
pronouns-verbs.they-them,LOH-roh
pronouns-verbs.my-mine,MEE-oh / MEE-ah
pronouns-verbs.your-yours,SOO-oh / SOO-ah
pronouns-verbs.be-called-call,kee-ah-MAR-see / kee-ah-MAH-reh
pronouns-verbs.have,ah-VEH-reh
pronouns-verbs.do-not-have,non ah-VEH-reh
pronouns-verbs.go,an-DAH-reh
pronouns-verbs.come,veh-NEE-reh
pronouns-verbs.would-like,vor-RAY
pronouns-verbs.want,voh-LEH-reh
pronouns-verbs.look-for,cher-KAH-reh
pronouns-verbs.buy,kom-PRAH-reh
pronouns-verbs.like,pee-ah-CHEH-reh
pronouns-verbs.need,ah-VEH-reh bee-ZOH-nyoh dee
question-words.what,keh KOH-sah
question-words.where,DOH-veh
question-words.who,kee
question-words.which-one,KWAH-leh
question-words.when,KWAN-doh
question-words.how,KOH-meh
question-words.how-much-many,KWAN-toh
question-words.how-many,KWAN-tee
question-words.why,per-KEH
question-words.this,KWES-toh
question-words.that,KWEL-loh
question-words.here,kwee
question-words.there,lah
question-words.a-little,oon poh
question-words.some,al-KOO-nee
question-words.very,MOL-toh
question-words.too,TROP-poh
question-words.also,AN-keh
question-words.all-both,TOOT-toh / en-TRAM-bee
pronouns-verbs.there-is-have,cheh / chee SOH-noh
pronouns-verbs.there-is-not-do-not-have,non cheh / non chee SOH-noh
pronouns-verbs.want-to-verb,VOH-lyoh
pronouns-verbs.want-thing,VOH-lyoh
pronouns-verbs.need-thing,oh bee-ZOH-nyoh dee
pronouns-verbs.looking-for-thing,CHER-koh
question-words.how-much-what-price,KWAN-toh KOS-tah
emergency-medical.help,ah-YOO-toh
emergency-medical.please-call-an-ambulance,"kee-AH-mee oo-nam-boo-LAN-tsah, per fah-VOH-reh"
emergency-medical.i-need-a-doctor,oh bee-ZOH-nyoh dee oon MEH-dee-koh
emergency-medical.i-am-sick,SOH-noh mah-LAH-toh
emergency-medical.i-am-injured,SOH-noh feh-REE-toh
emergency-medical.it-hurts-here,mee fah MAH-leh kwee
emergency-medical.where-is-a-pharmacy,doh-VEH OO-nah far-mah-CHEE-ah
emergency-medical.please-take-me-to-a-hospital,"mee POR-tee een os-peh-DAH-leh, per fah-VOH-reh"
lost-rescue.i-lost-my-passport,oh PER-soh eel pas-sah-POR-toh
