concept_id,respell
building-help.what-room-number-is-this,CHOOM-bah HEE-kee nee NAHM-bah ng-GAH-pee?
accessibility.step-free,jeh KOO-nah n-JEE-ah ee-SEE-yoh nah ng-GAH-zee?
in-a-building.is-this-the-correct-entrance,hoo nee m-LAHN-goh sah-HEE-hee?
toilets.where-toilet,choh KEE-koh WAH-pee?
building-words.elevator,LEEF-tee
pronouns-verbs.i-me,MEE-mee
question-words.what,NEE-nee
emergency-medical.help,m-sah-AH-dah!
medical-conditions.i-am-diabetic,NEE-nah kee-soo-KAH-ree
pharmacy-symptoms.which-pharmacy-is-open-now,DOO-kah GAH-nee lah DAH-wah LEE-koh WAH-zee SAH-sah?
body-parts.head,KEECH-wah
lost-rescue.i-lost-my-passport,nee-meh-poh-TEH-zah pah-see-POH-tee YAHN-goo
police-consulate.where-is-the-police-station,kee-TOO-oh chah poh-LEE-see KEE-koh WAH-pee?
dietary-needs.no-meat,BEE-lah NYAH-mah
food-ordering.table-for-two,MEH-zah yah WAH-too wah-WEE-lee
trail-words.trail,n-JEE-ah
weather.forecast,HAH-lee yah HEH-wah ee-tah-koo-WAH-jeh?
hiking-parks.is-this-the-way-to,hee nee n-JEE-ah yah KWEHN-dah {}?
trail-conditions.how-long-is-the-full-route,n-JEE-ah YOH-teh nee oo-REH-foo GAH-nee?
trail-transport.how-long-is-the-queue,foh-LEH-nee nee n-DEH-foo kee-AH-see GAH-nee?
trail-warnings.open,WAH-zee
trail-landmarks.trail-marker,ah-LAH-mah yah n-JEE-ah
hotel-words.passport,pah-see-POH-tee
hotel-basics.are-any-rooms-available,jeh KOO-nah CHOOM-bah?
hotel-requests.can-i-check-out-later,nah-WEH-zah koo-ohn-DOH-kah bah-ah-DAH-yeh?
room-problems.there-is-a-problem-with-the-room,KOO-nah tah-TEE-zoh nah CHOOM-bah
laundry.please-wash-these-clothes,tah-fah-THAH-lee FOO-ah ng-GOO-oh HEE-zee
introductions.my-name-is,JEE-nah LAHN-goo nee {}
numbers-money.l-ng,SEE-foo-ree
atm-cash.where-is-an-atm,ay-tee-EHM EE-koh WAH-pee?
attractions-tickets.where-can-i-buy-tickets,nah-WEH-zah koo-noo-NOO-ah tee-KEH-tee WAH-pee?
payment-receipt.pay-by-card,koo-LEE-pah kwah KAH-dee?
shopping.i-am-just-looking,nah-ahn-gah-LEE-ah too
color-size-returns.do-you-have-another-color,jeh m-NAH RAHN-ghee nyeen-GHEE-neh?
tax-refund.can-i-get-a-tax-refund,nah-WEH-zah koo-roo-dee-SHEE-wah KOH-dee?
social-basics.hello,hah-BAH-ree
communication.i-do-not-speak-this-language,see-SEH-mee LOO-gah hee
quick-responses.please-go-ahead,tah-fah-THAH-lee
phone-translation.i-am-using-phone-translation,nah-too-MEE-ah tahf-SEE-ree yah SEE-moo
phone-text-power.please-type-it-for-me,tah-fah-THAH-lee nee-ahn-dee-KEE-eh
sim-data.i-would-like-a-tourist-sim,nah-OHM-bah seem-KAH-dee yah wah-tah-LEE-ee
etiquette.is-this-allowed,jeh hee ee-nah-roo-hoo-SEE-wah?
children.cannot-find-my-child,see-moo-OH-nee m-TOH-toh WAHN-goo!
time-scheduling.what-time-is-it,sah ng-GAH-pee?
time-words.today,LEH-oh
