concept_id,respell
toilets.where-toilet,AY-na al-ham-MAAM
accessibility.step-free,hal YOO-jad MAD-khal KHAA-lin min al-a-WAA-ik
building-help.what-room-number-is-this,maa RAKM HAA-thi-hi al-GHOOR-fa
in-a-building.is-this-the-correct-entrance,hal HAA-tha al-MAD-khal as-sa-HEEH
building-words.elevator,MIS-ad
pronouns-verbs.i-me,A-na
question-words.what,MAA-tha
medical-conditions.i-am-diabetic,A-na moo-SAAB bis-SOOK-ka-ree
pharmacy-symptoms.which-pharmacy-is-open-now,ay say-da-LEE-ya maf-TOO-ha al-AAN
police-consulate.where-is-the-police-station,AY-na MAR-kaz ash-SHOOR-ta
body-parts.head,RAAS
emergency-medical.help,an-NAJ-da
lost-rescue.i-lost-my-passport,fa-KADT ja-WAAZ SA-fa-ree
dietary-needs.no-meat,bi-DOON LAHM ow da-JAAJ ow SA-mak
food-ordering.table-for-two,TAA-wi-la li-shakh-SAYN
weather.forecast,maa ta-wak-koo-AAT at-TAKS
trail-words.trail,ma-SAAR
hiking-parks.is-this-the-way-to,hal HAA-tha at-ta-REEK i-la
trail-conditions.how-long-is-the-full-route,kam TOOL al-ma-SAAR KAA-mi-lan
trail-transport.how-long-is-the-queue,kam TOOL as-SAF
trail-warnings.open,maf-TOOH
trail-landmarks.trail-marker,a-LAA-mat al-ma-SAAR
laundry.please-wash-these-clothes,oo-REED GHASL HAA-thi-hi al-ma-LAA-bis
hotel-words.passport,ja-WAAZ SA-far
hotel-basics.are-any-rooms-available,hal TOO-jad GHOO-raf FAA-ri-gha
hotel-requests.can-i-check-out-later,hal YOOM-kin ta-KHEER al-moo-GHAA-da-ra
room-problems.there-is-a-problem-with-the-room,hoo-NAAK MOOSH-ki-la fil-GHOOR-fa
introductions.my-name-is,IS-mee
atm-cash.where-is-an-atm,AY-na as-sar-RAAF al-AA-lee
numbers-money.l-ng,SIFR
attractions-tickets.where-can-i-buy-tickets,AY-na ash-TA-ree at-ta-THAA-kir
payment-receipt.pay-by-card,AD-fa bil-bi-TAA-ka
shopping.i-am-just-looking,a-ta-FAR-raj FA-kat
color-size-returns.do-you-have-another-color,hal YOO-jad LOWN AA-khar
tax-refund.can-i-get-a-tax-refund,hal yoom-KI-noo-nee is-tir-DAAD ad-da-REE-ba
sim-data.i-would-like-a-tourist-sim,oo-REED sha-REE-ha lis-soo-YAAH
children.cannot-find-my-child,laa A-jid TIF-lee
etiquette.is-this-allowed,hal HAA-tha mas-MOOH
social-basics.hello,MAR-ha-ban
communication.i-do-not-speak-this-language,laa a-ta-HAD-dath al-a-ra-BEE-ya
quick-responses.please-go-ahead,ta-FAD-dal
phone-translation.i-am-using-phone-translation,as-TAKH-dim TAR-ja-mat al-HAA-tif
phone-text-power.please-type-it-for-me,OOK-too-boo lee min FAD-lak
time-scheduling.what-time-is-it,kam as-SAA-a
time-words.today,al-YOWM
days-of-week.monday,al-ith-NAYN
months.january,ya-NAA-yir
border-customs.i-am-a-tourist,A-na SAA-ih
directions.where-is,AY-na
quick-directions.go-straight,IM-shi moo-BAA-sha-ra
taxi.please-take-me-here,KHOOTH-nee i-la HOO-na min FAD-lak
transit-rides.two-tickets,tath-ki-ra-TAAN min FAD-lak
place-words.scenic-area,MIN-ta-ka ta-bee-EE-ya
