concept_id,respell
building-help.what-room-number-is-this,boo oh-dah-NUHN noo-mah-rah-SUH KAHCH?
accessibility.step-free,bah-sah-mahk-SUHZ gee-REESH VAHR muh?
in-a-building.is-this-the-correct-entrance,gee-REESH BOO-rah-suh muh?
toilets.where-toilet,too-vah-LEHT NEH-reh-deh?
building-words.elevator,ah-sahn-SUR
pronouns-verbs.i-me,behn / beh-NEE
question-words.what,NEH
emergency-medical.help,eem-DAHT!
medical-conditions.i-am-diabetic,sheh-KEHR hahs-tah-suh-YUHM.
pharmacy-symptoms.which-pharmacy-is-open-now,nur-beht-CHEE ehj-zah-NEH HAHN-gee-see?
body-parts.head,BAHSH
lost-rescue.i-lost-my-passport,pah-sah-pohr-too-MOO keye-beht-TEEM.
police-consulate.where-is-the-police-station,kah-rah-KOHL NEH-reh-deh?
dietary-needs.no-meat,eht OHL-mah-suhn.
food-ordering.table-for-two,ee-KEE kee-shee-LEEK mah-SAH.
trail-words.trail,pah-tee-KAH
weather.forecast,hah-VAH doo-roo-MOO NAH-suhl?
hiking-parks.is-this-the-way-to,{} yoh-LOO BOO moo?
trail-conditions.how-long-is-the-full-route,tewm yohl neh kah-DAHR sew-REHR?
trail-transport.how-long-is-the-queue,kooy-ROOK neh kah-DAHR?
trail-warnings.open,ah-CHUHK
trail-landmarks.trail-marker,yohl ee-shah-reh-TEE
hotel-words.passport,pah-sah-POHRT
hotel-basics.are-any-rooms-available,bohsh oh-dah-NUHZ VAHR muh?
hotel-requests.can-i-check-out-later,dah-HAH gehch chuh-kah-bee-LEER mee-yeem?
room-problems.there-is-a-problem-with-the-room,oh-dah-DAH beer soh-ROON VAHR.
laundry.please-wash-these-clothes,"boon-lah-RUH yuh-kah-YUHN, LEWT-fehn."
introductions.my-name-is,ah-DUHM {}.
numbers-money.l-ng,SUH-fuhr
atm-cash.where-is-an-atm,ah-teh-MEH NEH-reh-deh?
attractions-tickets.where-can-i-buy-tickets,bee-LEHT NEH-reh-dehn ah-luh-NUHR?
payment-receipt.pay-by-card,kahrt-LAH oh-LOOR moo?
shopping.i-am-just-looking,SAH-deh-jeh bah-kuh-yoh-ROOM.
color-size-returns.do-you-have-another-color,BAHSH-kah rehnk VAHR muh?
tax-refund.can-i-get-a-tax-refund,keh-deh-VEH ee-ah-deh-SEE ah-lah-bee-LEER mee-yeem?
social-basics.hello,MEHR-hah-bah
communication.i-do-not-speak-this-language,boo dee-LEE BEEL-mee-yoh-room.
quick-responses.please-go-ahead,boo-yoo-ROON
phone-translation.i-am-using-phone-translation,teh-leh-fohn-LAH cheh-vee-REE kool-lah-nuh-yoh-ROOM.
phone-text-power.please-type-it-for-me,beh-NEEM ee-CHEEN yah-ZAHR muh-suh-nuhz?
sim-data.i-would-like-a-tourist-sim,too-REEST SEEM kahr-TUH ees-tee-yoh-ROOM.
etiquette.is-this-allowed,boo sehr-BEHST mee?
children.cannot-find-my-child,choh-joo-oo-MOO boo-LAH-muh-yoh-room!
time-scheduling.what-time-is-it,sah-AHT KAHCH?
time-words.today,boo-GEWN
days-of-week.monday,pah-ZAHR-teh-see
months.january,oh-JAHK
directions.where-is,{} NEH-reh-deh?
quick-directions.go-straight,dewz gee-DEEN.
taxi.please-take-me-here,beh-NEE BOO-rah-yah gur-tew-REWN.
transit-rides.two-tickets,ee-KEE bee-LEHT.
border-customs.i-am-a-tourist,too-rees-TEEM.
pickup-meeting.where-is-the-pickup-point,boo-loosh-MAH nohk-tah-SUH NEH-reh-deh?
rail-station-words.high-speed-rail,huhz-LUH TREHN
common-signs.open-on,ah-CHUHK
utility-templates.i-want-to-go-to,BOO-rah-yah geet-MEHK ees-tee-yoh-ROOM: {}
building-help.i-am-lost,keye-bohl-DOOM.
accessibility.wheelchair-access,teh-kehr-lehk-LEE sahn-dahl-yeh-YEH ooy-GOON moo?
