concept_id,respell
building-help.what-room-number-is-this,juh shir jee how fahng
in-a-building.is-this-the-correct-entrance,juh shir jung-chweh duh roo-koh ma
building-words.elevator,dyen-tee
pronouns-verbs.i-me,waw
question-words.what,shun-muh
emergency-medical.help,jyoh-meeng
lost-rescue.i-lost-my-passport,waw duh hoo-jow dyoh luh
dietary-needs.no-meat,boo yow roh
food-ordering.table-for-two,lyahng way
trail-words.trail,boo-dow
hiking-parks.is-this-the-way-to,juh shir chyoo {} duh loo ma
trail-conditions.how-long-is-the-full-route,chwan-chung dwaw chahng
trail-transport.how-long-is-the-queue,pye-dway yow dwaw-jyoh
trail-warnings.open,kye-fahng
trail-landmarks.trail-marker,loo-byaow
hotel-words.passport,hoo-jow
hotel-basics.are-any-rooms-available,yoh kohng-fahng ma
hotel-requests.can-i-check-out-later,kuh-yee wahn-dyen tway-fahng ma
room-problems.there-is-a-problem-with-the-room,fahng-jyen yoh wun-tee
introductions.my-name-is,waw jyaow {}
numbers-money.l-ng,leeng
attractions-tickets.where-can-i-buy-tickets,nah-lee kuh-yee mye pyow
payment-receipt.pay-by-card,kuh-yee shwah-kah ma
shopping.i-am-just-looking,waw jir-shir kahn-kahn
color-size-returns.do-you-have-another-color,yoh byeh duh yen-suh ma
tax-refund.can-i-get-a-tax-refund,kuh-yee tway-shway ma
social-basics.hello,nee how
communication.i-do-not-speak-this-language,waw boo hway shwaw jong-wun
quick-responses.please-go-ahead,cheeng
phone-translation.i-am-using-phone-translation,waw dzye yong show-jee fahn-yee
phone-text-power.please-type-it-for-me,cheeng dah-dzuh gay waw kahn
time-scheduling.what-time-is-it,shyen-dzye jee-dyen
time-words.today,jeen-tyen
days-of-week.monday,sheeng-chee ee
months.january,ee yweh
directions.where-is,{} dzye nah-lee
quick-directions.go-straight,ee-jir dzoh
taxi.please-take-me-here,cheeng dye waw chyoo juh-lee
transit-rides.two-tickets,lyahng jahng pyow
place-words.scenic-area,jeeng-chyoo
pickup-meeting.where-is-the-pickup-point,shahng-chuh-dyen dzye nah-lee
rail-station-words.high-speed-rail,gaow-tyeh
common-signs.open-on,kye
utility-templates.i-want-to-go-to,waw shyahng chyoo {}
toilets.where-toilet,tsuh-swaw dzye nah-lee
accessibility.step-free,yoh woo-jahng-eye tong-dow ma
medical-conditions.i-am-diabetic,waw yoh tahng-nyow-beeng
pharmacy-symptoms.which-pharmacy-is-open-now,shyen-dzye nah jyah yow-dyen kye-mun
police-consulate.where-is-the-police-station,pye-choo-swaw dzye nah-lee
body-parts.head,toh
weather.forecast,tyen-chee yew-baow dzun-muh shwaw
laundry.please-wash-these-clothes,cheeng syee juh-shyeh ee-foo
atm-cash.where-is-an-atm,chyoo-kwahn-jee dzye nah-lee
sim-data.i-would-like-a-tourist-sim,waw yow ee jahng lyoo-yoh show-jee-kah
children.cannot-find-my-child,waw jaow boo dow waw duh hye-dzuh
etiquette.is-this-allowed,juh-guh kuh-yee ma
border-customs.i-am-a-tourist,waw lye lyoo-yoh
building-help.i-am-lost,waw mee-loo luh
building-words.stairs,loh-tee
pronouns-verbs.we-us,waw-men
question-words.where,nah-lee
emergency-medical.please-call-an-ambulance,cheeng bahng waw jyaow jyoh-hoo-chuh
lost-rescue.i-lost-my-phone,waw duh show-jee dyoh luh
dietary-needs.no-eggs,boo yow jee-dahn
food-ordering.is-a-table-available,yoh way-dzuh ma
trail-words.trailhead,dung-shan-koh
hiking-parks.where-is-the-trailhead,dung-shan-koh dzye nah-lee
trail-conditions.can-we-return-the-same-way,nung ywen-loo fahn-hway ma
trail-transport.what-time-is-the-last-shuttle,jyeh-baw-chuh dzway-wahn jee-dyen
trail-warnings.closed,fung-bee
trail-landmarks.fork-junction,chah-loo
hotel-words.room-key-card,fahng-kah
hotel-basics.there-are-two-of-us,waw-men lyahng guh run
hotel-requests.what-time-does-breakfast-start,dzow-tsahn jee-dyen kye-shir
room-problems.the-air-conditioning-is-broken,kohng-tyaow hwye luh
introductions.nice-to-meet-you,hun gaow-sheeng run-shih nee
numbers-money.y,ee
attractions-tickets.do-i-need-a-reservation,syoo-yow yew-yweh ma
payment-receipt.pay-cash,kuh-yee foo shyen-jeen ma
shopping.how-much-is-this,juh-guh dwaw-shaow chyen
color-size-returns.do-you-have-another-size,yoh byeh duh chir-mah ma
social-basics.hello-polite,neen how
communication.i-speak-only-a-little-of-this,waw jir hway shwaw ee-dyar jong-wun
quick-responses.yes-right,shir
phone-translation.please-speak-toward-the-phone,cheeng dway-juh show-jee shwaw
phone-translation.please-write-the-place-name,cheeng bah dee-meeng syeh chung jong-wun
time-scheduling.how-many-minutes,jee fun-jong
time-words.tomorrow,ming-tyen
days-of-week.tuesday,sheeng-chee are
months.february,are yweh
directions.how-do-i-get-to,dow {} dzun-muh dzoh
quick-directions.turn-left,dzwaw jwahn
taxi.please-send-me-the-address,cheeng bah dee-jir fah gay waw
transit-rides.where-is-the-subway-station,dee-tyeh-jahn dzye nah-lee
place-words.visitor-center,yoh-kuh jong-sheen
pickup-meeting.please-send-me-the-pickup-point,cheeng bah shahng-chuh-dyen fah gay waw
rail-station-words.maglev,tsuh-foo
common-signs.closed-off,gwan
utility-templates.please-give-me,cheeng gay waw {}
toilets.where-public-toilet,gong-gong tsuh-swaw dzye nah-lee
accessibility.wheelchair-access,loon-ee nung jeen ma
medical-conditions.i-need-insulin,waw syoo-yow ee-dow-soo
pharmacy-symptoms.i-need-medicine-for,waw syoo-yow jir {} duh yow
police-consulate.i-want-to-report-a-theft,waw yow baow dow-chyeh-ahn
body-parts.stomach,doo-dzuh
weather.will-it-rain,jeen-tyen hway shyah yoo ma
laundry.where-is-a-laundromat,dzuh-joo syee-ee-dyen dzye nah-lee
atm-cash.does-this-atm-take-foreign-cards,wye-gwaw duh kah nung yong ma
sim-data.may-i-use-your-wifi,kuh-yee jyeh-yong woo-shyen-wahng ma
children.make-an-announcement,cheeng gwahng-baw jaow run
etiquette.is-tipping-expected,syoo-yow gay syaow-fay ma
border-customs.here-is-my-passport,juh shir waw duh hoo-jow
building-help.where-is-reception,chyen-tye dzye nah-lee
in-a-building.do-you-have-wi-fi,yoh woo-shyen-wahng ma
building-words.entrance,roo-koh
pronouns-verbs.you,nee
question-words.who,shay
emergency-medical.i-need-a-doctor,waw syoo-yow ee-shung
lost-rescue.please-call-the-police,cheeng baow-jeeng
dietary-needs.not-spicy,boo yow lah
food-ordering.menu-please,cheeng gay waw ts-eye-dahn
trail-words.summit,shahn-deeng
hiking-parks.how-long-to-the-summit,dow shahn-deeng yow dwaw-jyoh
trail-conditions.can-we-return-before-dark,tyen-hay chyen nung hway-lye ma
trail-transport.when-does-the-cableway-stop,swaw-dow jee-dyen teeng-yoon
trail-warnings.maintenance,way-shyoh
trail-landmarks.boardwalk-cliff-path,jahn-dow
hotel-words.check-in,roo-joo
hotel-basics.i-have-a-reservation,waw yoh yew-deeng
hotel-requests.can-i-store-my-luggage,kuh-yee jee-tswun sheeng-lee ma
room-problems.there-is-no-hot-water,may-yoh ruh-shway
introductions.what-is-your-name,nee jyaow shun-muh meeng-dzuh
numbers-money.r,are
attractions-tickets.what-is-the-latest-entry-time,dzway-wahn jee-dyen roo-ywen
payment-receipt.pay-by-qr-code,kuh-yee saow-mah ma
shopping.that-is-too-expensive,tye gway luh
color-size-returns.may-i-try-it-on,waw kuh-yee shir yee-shyah ma
social-basics.good-morning,dzow-shahng how
communication.do-you-speak-english,nee hway shwaw eeng-yoo ma
quick-responses.no-not,boo shir
phone-translation.one-sentence-at-a-time-please,cheeng yee jyoo yee jyoo duh shwaw
phone-text-power.please-use-simple-words,cheeng yong jyen-dahn duh hwah shwaw
time-scheduling.what-time-should-we-meet,jee-dyen jyen
time-words.yesterday,dzwaw-tyen
days-of-week.wednesday,sheeng-chee sahn
months.march,sahn yweh
directions.is-it-far,ywen boo ywen
quick-directions.turn-right,yoh jwahn
taxi.we-need-the-east-gate-not-the-south-gate,"waw-men chyoo dong-mun, boo shir nahn-mun"
transit-rides.does-this-bus-train-go-to,juh tahng chuh chyoo {} ma
place-words.railway-station,hwa-chuh-jan
pickup-meeting.please-pick-us-up-here,cheeng dzye juh-lee jyeh waw-men
rail-station-words.transfer,hwahn-chung
common-signs.occupied,yoh-run
utility-templates.may-i,waw kuh-yee {} ma
toilets.may-i-use-the-toilet,kuh-yee yong yee-shyah syee-show-jyen ma
accessibility.elevator,yoh dyen-tee ma
medical-conditions.i-have-asthma,waw yoh shyaow-chwahn
pharmacy-symptoms.i-have-a-fever,waw fah-shaow luh
police-consulate.my-bag-was-stolen,waw duh baow bay toh luh
body-parts.back,bay
weather.is-it-safe-today,jeen-tyen ahn-chwan ma
laundry.when-will-it-be-ready,shun-muh shir-hoh nung how
atm-cash.the-atm-kept-my-card,waw duh kah bay toon luh
sim-data.how-much-data-is-included,yoh dwaw-shaow lyoh-lyahng
children.child-age,waw duh hye-dzuh {} sway
etiquette.is-service-included,hahn foo-woo-fay ma
border-customs.i-am-staying-for-days,waw teeng-lyoh {} tyen
building-help.where-is-a-power-outlet,chah-dzwaw dzye nah-lee
in-a-building.what-is-the-wi-fi-password,wee-fye mee-mah shir shun-muh
building-words.exit,choo-koh
pronouns-verbs.you-polite,neen
question-words.which-one,nah-guh
emergency-medical.i-am-sick,waw shung-beeng luh
lost-rescue.we-are-here,waw-men dzye juh-lee
dietary-needs.less-spicy,shaow lah
food-ordering.i-want-this,waw yow juh-guh
trail-words.viewpoint,gwan-jing-tye
hiking-parks.how-long-to-the-viewpoint,dow gwan-jing-tye yow dwaw-jyoh
trail-conditions.is-the-trail-open,juh tyaow boo-dow kye-fahng ma
trail-transport.where-can-we-buy-water,nah-lee kuh-yee mye shway
trail-warnings.steep-slope,doh-pwaw
trail-landmarks.start,chee-dyen
hotel-words.check-out,tway-fahng
hotel-basics.can-i-charge-my-phone,kuh-yee gay show-jee chohng-dyen ma
hotel-requests.no-housekeeping,boo yong dah-sow
room-problems.can-i-change-rooms,kuh-yee hwahn fahng ma
introductions.we-are-traveling-together,waw-men ee-chee lyoo-syeeng
numbers-money.li-ng,lyahng
attractions-tickets.are-there-lockers,yoh jee-tswun-gway ma
payment-receipt.a-receipt-please,cheeng gay waw show-jyoo
shopping.can-it-be-a-little-cheaper,kuh-yee pyen-yee ee-dyen ma
color-size-returns.can-i-return-it,kuh-yee tway ma
social-basics.good-evening,wahn-shahng how
communication.please-speak-more-slowly,cheeng shwaw mahn ee-dyen
quick-responses.okay-can,kuh-yee
phone-text-power.my-phone-battery-is-low,waw duh show-jee kwye may dyen luh
time-scheduling.can-we-change-the-time,kuh-yee guy shir-jyen ma
time-words.this-week,juh-guh sheeng-chee
days-of-week.thursday,sheeng-chee suh
months.april,suh yweh
directions.how-long-on-foot,dzoh-loo yow dwaw-jyoh
quick-directions.this-way,juh-byen
taxi.please-stop-here,cheeng dzye juh-lee teeng
transit-rides.what-is-the-next-stop,shyah yee jahn shir shun-muh
place-words.airport,jee-chahng
pickup-meeting.meet-us-at,waw-men dzye {} jee-huh
rail-station-words.ticket-gate,jyen-pyow-koh
common-signs.vacant,woo-run
utility-templates.please-do-not-add,cheeng boo yow fahng {}
toilets.is-it-only-for-customers,jir gay goo-kuh yong ma
accessibility.ramp,yoh pwaw-dow ma
medical-conditions.i-have-a-heart-condition,waw yoh sheen-dzahng-beeng
pharmacy-symptoms.i-have-diarrhea,waw lah doo-dzuh luh
police-consulate.my-passport-was-stolen,waw duh hoo-jow bay toh luh
body-parts.throat,hoh-long
weather.how-cold-at-night,wahn-shahng yoh dwaw lung
laundry.how-much-per-kilo,ee gong-jeen dwaw-shaow chyen
atm-cash.is-there-a-fee,yoh show-syoo-fay ma
sim-data.do-you-need-my-passport,syoo-yow hoo-jow ma
children.high-chair,yoh are-tong tsahn-ee ma
etiquette.may-i-enter,kuh-yee jeen-chyoo ma
border-customs.nothing-to-declare,may-yoh yow shun-baow duh dong-shee
in-a-building.which-floor,dzye jee loh
building-words.men,nahn
pronouns-verbs.he-him,tah
question-words.when,shun-muh shir-hoh
emergency-medical.i-am-injured,waw show-shahng luh
lost-rescue.please-look-at-my-location-pin,cheeng kahn waw duh deeng-way
dietary-needs.no-peanuts,boo yow hwah-shung
food-ordering.do-you-have-drinking-water,yoh een-yong-shway ma
trail-words.cableway,swaw-dow
hiking-parks.which-route-is-easier,nah tyaow loo-shyen bee-jyaow rong-yee
trail-conditions.is-the-route-steep,juh tyaow loo doh ma
trail-transport.where-can-we-refill-water,nah-lee kuh-yee jyeh shway
trail-warnings.caution-slippery,syaow-sheen loo-hwah
trail-landmarks.end,jong-dyen
hotel-basics.i-would-like-a-non-smoking-room,waw yow woo-yen fahng
room-problems.the-room-is-too-noisy,fahng-jyen tye chaow luh
introductions.this-is-my-friend,juh shir waw duh pung-yoh
numbers-money.s-n,sahn
attractions-tickets.may-i-take-photos,kuh-yee pie-jow ma
color-size-returns.can-i-exchange-it,kuh-yee hwahn ma
social-basics.goodbye,dzye-jyen
communication.i-do-not-understand-spoken,waw teeng boo dong
quick-responses.cannot-not-allowed,boo kuh-yee
phone-text-power.do-you-have-a-power-bank,yoh chohng-dyen-baow ma
time-scheduling.when-is-convenient,shun-muh shir-hoh fahng-byen
time-words.next-week,shyah-guh sheeng-chee
days-of-week.friday,sheeng-chee woo
months.may,woo yweh
quick-directions.that-way,nah-byen
taxi.can-you-wait-for-me-here,kuh-yee dzye juh-lee dung waw ma
transit-rides.please-tell-me-where-to-get-off,cheeng gaow-soo waw dzye nah jahn shyah chuh
place-words.service-desk,foo-woo-tye
pickup-meeting.please-call-me-a-ride,cheeng bahng waw jyaow chuh
rail-station-words.platform,jahn-tye
common-signs.caution,syaow-sheen
utility-templates.do-you-have,yoh may-yoh {}
toilets.toilet-wc,tsuh-swaw
accessibility.how-many-steps,yoh jee jee tye-jyeh
medical-conditions.i-am-allergic-to-penicillin,waw dway cheeng-may-soo gwaw-min
pharmacy-symptoms.where-is-an-all-night-pharmacy,nah-lee yoh are-shir-suh syaow-shir yow-dyen
police-consulate.someone-is-following-me,yoh run gun-juh waw
body-parts.tooth,yah
weather.rain,yoo
laundry.can-it-be-ready-today,jeen-tyen nung how ma
atm-cash.the-card-was-declined,kah shwah boo lyaow
sim-data.how-long-is-it-valid,yoh-shyaow-chee dwaw-jyoh
children.baby-changing-room,moo-eeng-shir dzye nah-lee
etiquette.remove-shoes,yow twaw syeh ma
border-customs.i-am-staying-at,waw joo dzye {}
directions.please-show-me-on-the-map,cheeng dzye dee-too shahng jir gay waw kahn
building-words.women,nyoo
pronouns-verbs.she-her,tah
question-words.how,dzun-muh
emergency-medical.it-hurts-here,juh-lee tung
lost-rescue.i-cannot-walk,waw dzoh boo dong luh
dietary-needs.no-nuts,boo yow jyen-gwaw
food-ordering.to-go-please,cheeng dah-baow
trail-words.shuttle-bus,jyeh-baw-chuh
trail-conditions.is-the-path-slippery,loo hwah ma
trail-transport.is-there-cell-signal-here,juh-lee yoh show-jee sheen-how ma
trail-warnings.danger,way-shyen
trail-landmarks.elevation,hi-bah
hotel-basics.i-would-like-a-quiet-room,waw yow ahn-jeeng duh fahng-jyen
numbers-money.s,suh
attractions-tickets.please-take-a-photo-of-us,cheeng bahng waw-men pie jahng jow-pyen
color-size-returns.do-you-have-a-bag,yoh dye-dzuh ma
social-basics.thank-you,syeh-syeh
communication.i-cannot-read-understand,waw kahn boo dong
quick-responses.works-okay,syeeng
phone-text-power.the-translation-may-be-inaccurate,fahn-yee kuh-nung boo joon-chweh
time-scheduling.what-is-today-s-date,jeen-tyen jee how
time-words.morning,dzow-shahng
days-of-week.saturday,sheeng-chee lyoh
months.june,lyoh yweh
quick-directions.on-the-left,dzye dzwaw-byen
taxi.we-need-to-catch-the-high-speed-train,waw-men yow gahn gaow-tyeh
transit-rides.is-this-direct,juh shir jir-dah chuh ma
place-words.bus-stop,gong-jyow-jan
rail-station-words.ticket-office,show-pyow choo
common-signs.no-entry,jeen-jir roo-nay
utility-templates.please-write-the-number,cheeng syeh shoo-dzuh
toilets.is-it-free,myen-fay ma
