concept_id,respell
toilets.where-toilet,DON-deh es-TA el BAH-nyo
accessibility.step-free,eye ak-SEH-so seen es-kah-LOH-nes
building-help.what-room-number-is-this,keh NOO-meh-ro deh ah-bee-tah-see-ON es ES-ta
in-a-building.is-this-the-correct-entrance,es ES-ta la en-TRAH-da ko-RREK-ta
building-words.elevator,ah-sen-SOR
pronouns-verbs.i-me,yo / meh
question-words.what,keh
medical-conditions.i-am-diabetic,TEN-go dee-ah-BEH-tes
pharmacy-symptoms.which-pharmacy-is-open-now,keh far-MAH-see-ah es-TA ah-bee-ER-ta ah-OH-ra
police-consulate.where-is-the-police-station,DON-deh es-TA la ko-mee-sah-REE-ah
body-parts.head,la kah-BEH-sa
emergency-medical.help,owk-SEE-lee-oh
lost-rescue.i-lost-my-passport,per-DEE mee pah-sah-POR-teh
dietary-needs.no-meat,seen KAR-neh
food-ordering.table-for-two,MEH-sa PAH-ra dos
weather.forecast,kwal es el pro-NOS-tee-ko del tee-EM-po
trail-words.trail,el sen-DEH-ro
hiking-parks.is-this-the-way-to,es ES-teh el kah-MEE-no a {}
trail-conditions.how-long-is-the-full-route,KWAN-toh DOO-ra la ROO-ta kom-PLEH-ta
trail-transport.how-long-is-the-queue,es LAR-ga la FEE-la
trail-warnings.open,ah-bee-ER-toh
trail-landmarks.trail-marker,la seh-NYAL del sen-DEH-ro
laundry.please-wash-these-clothes,"LAH-veh ES-ta RO-pa, por fah-VOR"
hotel-words.passport,el pah-sah-POR-teh
hotel-basics.are-any-rooms-available,tee-EH-nen ah-bee-tah-see-OH-nes LEE-bres
hotel-requests.can-i-check-out-later,PWEH-doh ah-SER el chek-OWT mas TAR-deh
room-problems.there-is-a-problem-with-the-room,eye oon pro-BLEH-ma kon la ah-bee-tah-see-ON
introductions.my-name-is,meh YAH-mo {}
atm-cash.where-is-an-atm,DON-deh eye oon kah-HEH-ro ow-toh-MAH-tee-ko
numbers-money.l-ng,SEH-ro
attractions-tickets.where-can-i-buy-tickets,DON-deh PWEH-doh kom-PRAR en-TRAH-das
payment-receipt.pay-by-card,PWEH-doh pah-GAR kon tar-HEH-ta
shopping.i-am-just-looking,SO-lo es-TOY mee-RAN-doh
color-size-returns.do-you-have-another-color,tee-EH-neh OH-tro ko-LOR
tax-refund.can-i-get-a-tax-refund,PWEH-doh peh-DEER la deh-vo-loo-see-ON del EE-va
sim-data.i-would-like-a-tourist-sim,kee-see-EH-ra OO-na tar-HEH-ta seem PAH-ra too-REES-tas
children.cannot-find-my-child,no en-KWEN-tro a mee EE-ho
etiquette.is-this-allowed,es-TA per-mee-TEE-doh ES-to
social-basics.hello,OH-la
communication.i-do-not-speak-this-language,no AH-blo es-pah-NYOL
quick-responses.please-go-ahead,ah-deh-LAN-teh
phone-translation.i-am-using-phone-translation,es-TOY oo-SAN-doh oon tra-dook-TOR en el MO-veel
phone-text-power.please-type-it-for-me,"es-KREE-bah-lo en el teh-LEH-fo-no, por fah-VOR"
time-scheduling.what-time-is-it,keh O-ra es
time-words.today,oy
days-of-week.monday,LOO-nes
months.january,eh-NEH-ro
border-customs.i-am-a-tourist,VEN-go deh too-REES-mo
directions.where-is,DON-deh es-TA {}
quick-directions.go-straight,SEE-ga deh-REH-cho
taxi.please-take-me-here,"YEH-veh-meh ah-KEE, por fah-VOR"
transit-rides.two-tickets,"dos bo-LEH-tos, por fah-VOR"
place-words.scenic-area,SO-na pah-no-RAH-mee-ka
pickup-meeting.where-is-the-pickup-point,DON-deh es-TA el POON-toh deh reh-ko-HEE-da
rail-station-words.high-speed-rail,tren deh AL-ta veh-lo-see-DAD
common-signs.open-on,ah-bee-ER-toh
utility-templates.i-want-to-go-to,kee-EH-ro eer a {}
toilets.where-public-toilet,DON-deh eye oon BAH-nyo POO-blee-ko
accessibility.wheelchair-access,es ak-seh-SEE-bleh en SEE-ya deh RWEH-das
building-help.i-am-lost,meh per-DEE
building-words.stairs,es-kah-LEH-ras
pronouns-verbs.we-us,no-SO-tros / nos
question-words.where,DON-deh
medical-conditions.i-need-insulin,neh-seh-SEE-toh een-soo-LEE-na
pharmacy-symptoms.i-need-medicine-for,neh-seh-SEE-toh oon meh-dee-kah-MEN-toh PAH-ra {}
police-consulate.i-want-to-report-a-theft,kee-EH-ro deh-noon-see-AR oon RO-bo
body-parts.stomach,el es-TO-mah-go
emergency-medical.please-call-an-ambulance,"YAH-meh a OO-na am-boo-LAN-see-ah, por fah-VOR"
lost-rescue.i-lost-my-phone,per-DEE mee teh-LEH-fo-no
dietary-needs.no-eggs,seen WEH-vo
food-ordering.is-a-table-available,eye OO-na MEH-sa LEE-breh
weather.will-it-rain,va a yo-VER oy
trail-words.trailhead,el ee-NEE-see-oh del sen-DEH-ro
