concept_id,respell
toilets.where-toilet,oo sohn lay twa-LET
accessibility.step-free,ee ah-teel uhn nak-seh duh plehn-PYAY
building-help.what-room-number-is-this,kel eh luh new-may-roh duh set SAL
in-a-building.is-this-the-correct-entrance,say lah bon ahn-TRAY
building-words.elevator,ah-sahn-SUR
pronouns-verbs.i-me,zhuh / mwah
question-words.what,kwah / kuh
body-parts.head,lah TET
medical-conditions.i-am-diabetic,zhuh swee dyah-bay-TEEK
pharmacy-symptoms.which-pharmacy-is-open-now,kel far-mah-see eh duh GARD
police-consulate.where-is-the-police-station,oo eh luh koh-mee-sah-RYAH
emergency-medical.help,oh suh-KOOR
lost-rescue.i-lost-my-passport,zhay pair-dew mohn pass-POR
dietary-needs.no-meat,sahn VYAHND
food-ordering.table-for-two,ewn TAH-bluh poor DUH
introductions.my-name-is,zhuh mah-PEL {}
attractions-tickets.where-can-i-buy-tickets,oo pwee-zhuh ash-tay day bee-YEH
payment-receipt.pay-by-card,pay-yay par KART
shopping.i-am-just-looking,"zhuh ruh-GARD, mair-SEE"
color-size-returns.do-you-have-another-color,ah-vay voo ewn oh-truh koo-LUR
tax-refund.can-i-get-a-tax-refund,pwee-zhah-vwar lah day-TAKS
utility-templates.i-want-to-go-to,zhuh voo-dreh zah-LAY ah {}
weather.forecast,kel sohn lay pray-vee-zyohn may-tay-OH
trail-words.trail,luh sahn-TYAY
hiking-parks.is-this-the-way-to,say byehn luh shuh-MEHN poor {}
trail-conditions.how-long-is-the-full-route,kel eh lah lohn-gur toh-TAL
trail-transport.how-long-is-the-queue,lah feel eh-tel LOHNG
trail-warnings.open,oo-VAIR
trail-landmarks.trail-marker,lah bah-LEEZ
laundry.please-wash-these-clothes,lah-vay say vet-MAHN seel voo PLEH
hotel-words.passport,pass-POR
hotel-basics.are-any-rooms-available,ah-vay voo ewn shahm-bruh LEE-bruh
hotel-requests.can-i-check-out-later,pwee-zhuh par-teer plew TAR
room-problems.there-is-a-problem-with-the-room,eel yah uhn proh-blem dahn lah SHAHM-bruh
atm-cash.where-is-an-atm,oo ee ah-teel uhn dees-tree-bew-TUR
numbers-money.l-ng,zay-ROH
time-scheduling.what-time-is-it,kel ur eh-TEEL
time-words.today,oh-zhoor-DWEE
days-of-week.monday,luhn-DEE
months.january,zhahn-VYAY
sim-data.i-would-like-a-tourist-sim,zhuh voo-dreh ewn kart seem too-REEST
children.cannot-find-my-child,zhuh nuh troov pah mohn nahn-FAHN
etiquette.is-this-allowed,say toh-toh-ree-ZAY
social-basics.hello,bohn-ZHOOR
communication.i-do-not-speak-this-language,zhuh nuh parl pah frahn-SEH
quick-responses.please-go-ahead,seel voo PLEH / ah-lay-ZEE
phone-translation.i-am-using-phone-translation,zhew-tee-leez ewn trah-dewk-syohn oh-toh-mah-TEEK
phone-text-power.please-type-it-for-me,tah-pay luh poor MWAH seel voo PLEH
border-customs.i-am-a-tourist,zhuh swee too-REEST
directions.where-is,oo EH {}
quick-directions.go-straight,too DRWAH
taxi.please-take-me-here,ahm-nay mwah ee-SEE seel voo PLEH
transit-rides.two-tickets,duh bee-YEH
place-words.scenic-area,seet nah-tew-REL
pickup-meeting.where-is-the-pickup-point,oo eh luh pwehn duh rahn-day-VOO
rail-station-words.high-speed-rail,tay-zhay-VAY
common-signs.open-on,oo-VAIR / MARSH
toilets.where-public-toilet,oo ee ah-teel day twa-LET pew-BLEEK
accessibility.wheelchair-access,say tak-seh-see-bluh ahn foh-tuhy roo-LAHN
building-help.i-am-lost,zhuh swee pair-DEW
building-words.stairs,es-kah-LYAY
pronouns-verbs.we-us,NOO
question-words.where,OO
body-parts.stomach,luh VAHN-truh
medical-conditions.i-need-insulin,zhay buh-zwehn dehn-sew-LEEN
pharmacy-symptoms.i-need-medicine-for,zhay buh-zwehn duhn may-dee-kah-MAHN poor {}
police-consulate.i-want-to-report-a-theft,zhuh vuh por-tay plehnt poor VOL
emergency-medical.please-call-an-ambulance,ah-puh-lay ewn ahm-bew-LAHNSS seel voo PLEH
lost-rescue.i-lost-my-phone,zhay pair-dew mohn tay-lay-FON
dietary-needs.no-eggs,sahn ZUH
food-ordering.is-a-table-available,ah-vay voo ewn tah-bluh duh LEE-bruh
introductions.nice-to-meet-you,ahn-shahn-TAY
attractions-tickets.do-i-need-a-reservation,foh-teel ray-zair-VAY
payment-receipt.pay-cash,pay-yay ahn nes-PESS
shopping.how-much-is-this,kohm-byehn sah KOOT
color-size-returns.do-you-have-another-size,ah-vay voo ewn oh-truh TAHY
utility-templates.please-give-me,doh-nay MWAH {} seel voo PLEH
weather.will-it-rain,vah-teel pluh-VWAR oh-zhoor-DWEE
trail-words.trailhead,luh day-par dew sahn-TYAY
hiking-parks.where-is-the-trailhead,oo eh luh day-par dew sahn-TYAY
trail-conditions.can-we-return-the-same-way,puh-tohn ruh-vuh-neer par luh mem shuh-MEHN
trail-transport.what-time-is-the-last-shuttle,ah kel ur par lah dair-nyair nah-VET
