concept_id,respell
building-help.what-room-number-is-this,EE-nee roo-AH-ngahn NOH-mohr buh-RAH-pah?
accessibility.step-free,AH-dah AHK-sehs TAHN-pah TAHNG-gah?
in-a-building.is-this-the-correct-entrance,EE-nee PEEN-too MAH-sook yahng buh-NAR?
toilets.where-toilet,TOY-leht dee MAH-nah?
building-words.elevator,leeft
pronouns-verbs.i-me,SAH-yah
question-words.what,AH-pah
emergency-medical.help,TOH-lohng!
medical-conditions.i-am-diabetic,SAH-yah POO-nyah dee-ah-BEH-tehs
pharmacy-symptoms.which-pharmacy-is-open-now,ah-POH-tehk MAH-nah yahng BOO-kah suh-KAH-rahng?
body-parts.head,kuh-PAH-lah
lost-rescue.i-lost-my-passport,PAHS-pohr SAH-yah HEE-lahng
police-consulate.where-is-the-police-station,KAHN-tohr poh-LEE-see dee MAH-nah?
dietary-needs.no-meat,TAHN-pah DAH-geeng
food-ordering.table-for-two,MEH-jah OON-took DOO-ah OH-rahng
trail-words.trail,JAH-loor
weather.forecast,prah-kee-RAH-ahn choo-ah-CHAH-nyah bah-geye-MAH-nah?
hiking-parks.is-this-the-way-to,EE-nee JAH-lahn kuh {}?
trail-conditions.how-long-is-the-full-route,TOH-tahl jah-LOOR-nyah buh-RAH-pah JAH-ooh?
trail-transport.how-long-is-the-queue,ahn-treh-AHN-nyah buh-RAH-pah PAHN-jahng?
trail-warnings.open,BOO-kah
trail-landmarks.trail-marker,puh-NAHN-dah JAH-loor
hotel-words.passport,PAHS-pohr
hotel-basics.are-any-rooms-available,AH-dah KAH-mar KOH-sohng?
hotel-requests.can-i-check-out-later,BOH-leh leht chehk-OWT?
room-problems.there-is-a-problem-with-the-room,AH-dah mah-SAH-lah duh-NGAHN kah-MAR-nyah
laundry.please-wash-these-clothes,TOH-lohng CHOO-chee BAH-joo EE-nee
introductions.my-name-is,NAH-mah SAH-yah {}
numbers-money.l-ng,nohl
atm-cash.where-is-an-atm,ah-teh-EHM dee MAH-nah?
attractions-tickets.where-can-i-buy-tickets,buh-LEE TEE-keht dee MAH-nah?
payment-receipt.pay-by-card,BAH-yar PAH-keye KAR-too?
shopping.i-am-just-looking,SAH-yah LEE-haht LEE-haht DOO-loo
color-size-returns.do-you-have-another-color,AH-dah WAR-nah LAH-een?
tax-refund.can-i-get-a-tax-refund,BEE-sah MEEN-tah puh-nguhm-bah-LEE-ahn peh-peh-EHN?
social-basics.hello,HAH-loh
communication.i-do-not-speak-this-language,SAH-yah TEE-dahk BEE-sah bah-HAH-sah EE-nee
quick-responses.please-go-ahead,see-LAH-kahn
phone-translation.i-am-using-phone-translation,SAH-yah PAH-keye puh-nuhr-juh-MAH dee hah-PEH
phone-text-power.please-type-it-for-me,TOH-lohng kuh-TEEK OON-took SAH-yah
sim-data.i-would-like-a-tourist-sim,MEEN-tah KAR-too puhr-DAH-nah TOO-rees
etiquette.is-this-allowed,EE-nee BOH-leh?
children.cannot-find-my-child,SAH-yah TEE-dahk muh-nuh-MOO-kahn AH-nahk SAH-yah
time-scheduling.what-time-is-it,jahm buh-RAH-pah suh-KAH-rahng?
time-words.today,HAH-ree EE-nee
days-of-week.monday,suh-NEEN
