concept_id,respell
building-help.what-room-number-is-this,digh lah fawng soh migh ah?
accessibility.step-free,kaw loy vow khohng buhk tahng khohng ah?
in-a-building.is-this-the-correct-entrance,digh kaw doong loy vow khohng ah?
toilets.where-toilet,nyah vay sing uh doh ah?
building-words.elevator,tahng migh
pronouns-verbs.i-me,toy
question-words.what,zee
emergency-medical.help,kew vuh-ee!
medical-conditions.i-am-diabetic,toy bee tee-oh duh-ung
pharmacy-symptoms.which-pharmacy-is-open-now,nyah too-uk now dahng muh kuh-uh ah?
body-parts.head,doh
lost-rescue.i-lost-my-passport,toy muht hoh chee-oh
police-consulate.where-is-the-police-station,dohn kohng ahn uh doh ah?
dietary-needs.no-meat,khohng teet
food-ordering.table-for-two,bahn chaw high nguh-oy
trail-words.trail,duh-ung mawn
weather.forecast,zuh bow tuh-ee tee-ut tay now ah?
hiking-parks.is-this-the-way-to,duh-ung nigh dee {} figh khohng ah?
trail-conditions.how-long-is-the-full-route,kah twee-un zigh bow nyee-oh ah?
trail-transport.how-long-is-the-queue,sayp hahng bow loh ah?
trail-warnings.open,muh kuh-uh
trail-landmarks.trail-marker,mohk chee duh-ung
hotel-words.passport,hoh chee-oh
hotel-basics.are-any-rooms-available,kawn fawng chohng khohng ah?
hotel-requests.can-i-check-out-later,chah fawng moo-un duh-uk khohng ah?
room-problems.there-is-a-problem-with-the-room,fawng kaw vuhn day ah
laundry.please-wash-these-clothes,seen zat zoop doh nigh
introductions.my-name-is,toy tayn lah {}
numbers-money.l-ng,khohng
atm-cash.where-is-an-atm,migh ah-tay-em uh doh ah?
attractions-tickets.where-can-i-buy-tickets,moo-uh veh uh doh ah?
payment-receipt.pay-by-card,kwet teh duh-uk khohng ah?
shopping.i-am-just-looking,toy sem toy ah
color-size-returns.do-you-have-another-color,kaw mow khahk khohng ah?
tax-refund.can-i-get-a-tax-refund,toy duh-uk hwahn tway khohng ah?
social-basics.hello,seen chow
communication.i-do-not-speak-this-language,toy khohng noy duh-uk tee-ung vee-ut
quick-responses.please-go-ahead,seen muh-ee
phone-translation.i-am-using-phone-translation,toy dahng zoong fuhn maym zik
phone-text-power.please-type-it-for-me,seen gaw zoop toy
sim-data.i-would-like-a-tourist-sim,toy moo-un moo-uh seem zoo lik
etiquette.is-this-allowed,duh-uk fep khohng ah?
children.cannot-find-my-child,toy khohng teem tigh kawn toy
time-scheduling.what-time-is-it,migh zuh roy ah?
time-words.today,hohm nigh
days-of-week.monday,tuh high
months.january,tahng moht
directions.where-is,{} uh doh ah?
quick-directions.go-straight,dee tang
taxi.please-take-me-here,seen chuh toy dayn digh
transit-rides.two-tickets,chaw toy high veh
border-customs.i-am-a-tourist,toy dee zoo lik
pickup-meeting.where-is-the-pickup-point,dee-um dawn khak uh doh ah?
rail-station-words.high-speed-rail,tow kow tohk
common-signs.open-on,muh
utility-templates.i-want-to-go-to,toy moo-un dee {}
building-help.i-am-lost,toy bee lahk
accessibility.wheelchair-access,seh lan vow duh-uk khohng ah?
toilets.where-public-toilet,nyah vay sing kohng kohng uh doh ah?
building-words.stairs,koh tahng
pronouns-verbs.we-us,choong toy
question-words.where,uh doh
emergency-medical.please-call-an-ambulance,seen goy seh kuhp kew
medical-conditions.i-need-insulin,toy kuhn in-soo-leen
pharmacy-symptoms.i-need-medicine-for,toy kuhn too-uk chee {}
body-parts.stomach,boong
lost-rescue.i-lost-my-phone,toy muht dee-un twigh
police-consulate.i-want-to-report-a-theft,toy moo-un ching bow muht chohm
dietary-needs.no-eggs,khohng chuhng
food-ordering.is-a-table-available,kawn bahn chohng khohng ah?
trail-words.trailhead,dee-um swuht faht
weather.will-it-rain,hohm nigh kaw muh-uh khohng ah?
hiking-parks.where-is-the-trailhead,dee-um swuht faht uh doh ah?
trail-conditions.can-we-return-the-same-way,vay teh-oh duh-ung koo duh-uk khohng ah?
trail-transport.what-time-is-the-last-shuttle,chwee-un seh koo-oy look migh zuh ah?
trail-warnings.closed,dawng kuh-uh
trail-landmarks.fork-junction,ngah bah
hotel-words.room-key-card,teh fawng
hotel-basics.there-are-two-of-us,choong toy kaw high nguh-oy
hotel-requests.what-time-does-breakfast-start,migh zuh kaw buh-uh sahng ah?
room-problems.the-air-conditioning-is-broken,dee-oh hwah bee hawng
laundry.where-is-a-laundromat,tee-um zat uh doh ah?
introductions.nice-to-meet-you,ruht voo-ee duh-uk gap
numbers-money.y,moht
atm-cash.does-this-atm-take-foreign-cards,migh nigh nyuhn teh nuh-uk ngwigh khohng ah?
attractions-tickets.do-i-need-a-reservation,kaw kuhn dat chuh-uk khohng ah?
payment-receipt.pay-cash,chah tee-un mat ah?
shopping.how-much-is-this,kigh nigh bow nyee-oh ah?
color-size-returns.do-you-have-another-size,kaw kuh khahk khohng ah?
