concept_id,respell
building-help.what-room-number-is-this,HAWNG nee ber a-rai
accessibility.step-free,mee tahng MAI mee ban-dai mai
in-a-building.is-this-the-correct-entrance,KAO tahng nee chai mai
toilets.where-toilet,HAWNG nahm yoo nai
building-words.elevator,lip
pronouns-verbs.i-me,pom / di-chan
question-words.what,a-rai
emergency-medical.help,CHUAI DUAI
medical-conditions.i-am-diabetic,pen bow-wahn
pharmacy-symptoms.which-pharmacy-is-open-now,rahn kai yah nai pert yoo
body-parts.head,hua
lost-rescue.i-lost-my-passport,paht-pawt hai
police-consulate.where-is-the-police-station,sa-tah-nee tam-ruat yoo nai
dietary-needs.no-meat,MAI sai nuea sat
food-ordering.table-for-two,toh sawng kon
trail-words.trail,SEN tahng dern pah
weather.forecast,pa-yah-gawn ah-gaht WAH yahng-rai
hiking-parks.is-this-the-way-to,tahng nee pai {} chai mai
trail-conditions.how-long-is-the-full-route,tahng tang-mot glai TOW-rai
trail-transport.how-long-is-the-queue,taw kiw nahn mai
trail-warnings.open,pert
trail-landmarks.trail-marker,PAI bawk tahng
hotel-words.passport,paht-pawt
hotel-basics.are-any-rooms-available,mee HAWNG WAHNG mai
hotel-requests.can-i-check-out-later,chek-owt sai DAI mai
room-problems.there-is-a-problem-with-the-room,HAWNG mee pan-hah
laundry.please-wash-these-clothes,sak PAH HAI noi
introductions.my-name-is,chan CHUE {}
numbers-money.l-ng,soon
atm-cash.where-is-an-atm,TOO ay-tee-em yoo nai
attractions-tickets.where-can-i-buy-tickets,sue tua DAI TEE nai
payment-receipt.pay-by-card,jai bat DAI mai
shopping.i-am-just-looking,doo gawn
color-size-returns.do-you-have-another-color,mee see uen mai
tax-refund.can-i-get-a-tax-refund,kaw kuen pah-see DAI mai
social-basics.hello,sa-wat-dee
communication.i-do-not-speak-this-language,POOT pah-sah tai MAI DAI
quick-responses.please-go-ahead,chern
phone-translation.i-am-using-phone-translation,chai aep plae pah-sah
phone-text-power.please-type-it-for-me,CHUAI pim HAI noi
