concept_id,respell
building-help.what-room-number-is-this,ka-KOY NOH-myer KOM-na-ti
accessibility.step-free,yest fkhot byes stoo-PYEH-nyek
in-a-building.is-this-the-correct-entrance,EH-ta PRAH-vil-niy fkhot
toilets.where-toilet,gdyeh too-a-LYET
building-words.elevator,leeft
pronouns-verbs.i-me,yah / myi-NYAH
question-words.what,shto
emergency-medical.help,pa-ma-GEE-tye
medical-conditions.i-am-diabetic,oo myi-NYAH di-a-BYET
pharmacy-symptoms.which-pharmacy-is-open-now,ka-KAH-ya ap-TYEH-ka si-CHAS at-KRIH-ta
body-parts.head,ga-la-VAH
lost-rescue.i-lost-my-passport,oo myi-NYAH pra-PAL PAS-part
police-consulate.where-is-the-police-station,gdyeh a-dyi-LYEH-ni-ye pa-LEE-tsi-i
dietary-needs.no-meat,byez MYAH-sa
food-ordering.table-for-two,STOH-lik na dva-EEKH
trail-words.trail,tra-PAH
weather.forecast,ka-KOY prag-NOS pa-GOH-di
hiking-parks.is-this-the-way-to,{} v EH-too STOH-ra-noo
trail-conditions.how-long-is-the-full-route,ka-KAH-ya dli-NAH fsi-VOH mar-SHROO-ta
trail-transport.how-long-is-the-queue,ka-KAH-ya OH-che-ryet
trail-warnings.open,at-KRIH-ta
trail-landmarks.trail-marker,mar-KEE-raf-ka tra-PIH
hotel-words.passport,PAS-part
hotel-basics.are-any-rooms-available,yest sva-BOD-ni-ye na-myi-RAH
hotel-requests.can-i-check-out-later,MOZH-na VIH-ye-khat POH-zhe
room-problems.there-is-a-problem-with-the-room,v NOH-mye-rye pra-BLYEH-ma
laundry.please-wash-these-clothes,pas-ti-RAY-tye EH-too a-DYEZH-doo pa-ZHAL-sta
introductions.my-name-is,myi-NYAH za-VOOT {}
numbers-money.l-ng,nol
atm-cash.where-is-an-atm,gdyeh ban-ka-MAT
attractions-tickets.where-can-i-buy-tickets,gdyeh koo-PEET bi-LYEH-ti
payment-receipt.pay-by-card,KAR-tay
shopping.i-am-just-looking,yah PROS-ta sma-TRYOO
color-size-returns.do-you-have-another-color,yest droo-GOY tsvyet
tax-refund.can-i-get-a-tax-refund,MOZH-na vyir-NOOT na-LOK
social-basics.hello,ZDRAST-vooy-tye
communication.i-do-not-speak-this-language,yah nyi ga-va-RYOO na EH-tam yi-zi-KYEH
quick-responses.please-go-ahead,pa-ZHAL-sta
phone-translation.i-am-using-phone-translation,yah is-POL-zoo-yoo pyi-ryi-VOH-chik f tyi-lyi-FOH-nye
phone-text-power.please-type-it-for-me,na-byi-REE-tye pa-ZHAL-sta
sim-data.i-would-like-a-tourist-sim,noozh-NAH seem-KAR-ta dlya too-REES-taf
etiquette.is-this-allowed,EH-ta MOZH-na
children.cannot-find-my-child,yah nyi ma-GOO nay-TEE ryi-BYON-ka
time-scheduling.what-time-is-it,SKOL-ka VRYEH-mye-ni
time-words.today,si-VOD-nya
days-of-week.monday,pa-nyi-DYEL-nik
months.january,yin-VAR
directions.where-is,gdyeh {}
quick-directions.go-straight,PRYAH-ma
taxi.please-take-me-here,at-vyi-ZEE-tye myi-NYAH syoo-DAH
transit-rides.two-tickets,dvah bi-LYEH-ta
border-customs.i-am-a-tourist,yah too-REEST
pickup-meeting.where-is-the-pickup-point,gdyeh MYES-ta pa-SAT-ki
rail-station-words.high-speed-rail,ska-ras-NOY POH-yest
common-signs.open-on,at-KRIH-ta / fklyoo-chi-NOH
utility-templates.i-want-to-go-to,mnyeh NOOZH-na v {}
building-help.i-am-lost,yah za-bloo-DEEL-sya
accessibility.wheelchair-access,yest DOS-toop dlya in-va-LEED-nay ka-LYAH-ski
toilets.where-public-toilet,gdyeh ap-SHCHEST-vye-niy too-a-LYET
building-words.stairs,LYES-ni-tsa
pronouns-verbs.we-us,mih / nas
question-words.where,gdyeh
emergency-medical.please-call-an-ambulance,VIH-za-vi-tye SKOH-roo-yoo
medical-conditions.i-need-insulin,mnyeh NOO-zhen in-soo-LEEN
pharmacy-symptoms.i-need-medicine-for,mnyeh NOOZH-na li-KAR-stva at {}
body-parts.stomach,zhi-VOT
lost-rescue.i-lost-my-phone,oo myi-NYAH pra-PAL tyi-lyi-FON
police-consulate.i-want-to-report-a-theft,yah kha-CHOO za-yi-VEET a KRAH-zhe
dietary-needs.no-eggs,byez yi-EETS
food-ordering.is-a-table-available,yest sva-BOD-niy STOH-lik
trail-words.trailhead,na-CHAH-la tra-PIH
weather.will-it-rain,si-VOD-nya BOO-dyet dosht
