concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
slang.thats-good,ດີ,,di,diː˩,,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.thats-great,ສຸດຍອດ,,soutgnot,sut˧˥ɲɔːt˥˨,literally 'the very summit',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.i-love-it,ມັກຫຼາຍ,,maklay,mak˧laːj˩,,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.thats-bad,ບໍ່ຄ່ອຍດີ,,bokhoydi,bɔː˧kʰɔːj˧diː˩,"a hedge rather than a negation, as Japanese and German answer this too",2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.delicious,ແຊບ,,xèp,sɛːp˥˨,ແຊບ is the single most-used word of praise in Laos and applies only to food,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.thats-pricey,ແພງເນາະ,,phèngno,pʰɛːŋ˧˥nɔʔ˧,ເນາະ is the soliciting-agreement particle and is what makes this a remark rather than a complaint,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.exactly,ແມ່ນແລ້ວ,,mènlèo,mɛːn˧lɛːw˥˨,,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.no-worries,ບໍ່ເປັນຫຍັງ,,bopéngnang,bɔː˧pen˩ɲaŋ˩,,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.youre-welcome,ບໍ່ເປັນຫຍັງ,,bopéngnang,bɔː˧pen˩ɲaŋ˩,"one phrase does both, as it does in the greeting section",2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.seriously,ຈິງບໍ່,,chingbo,ciŋ˩bɔː˧,literally 'really?',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.im-good-thanks,ພໍແລ້ວ ຂອບໃຈ,,pholèo khopchai,pʰɔː˧˥lɛːw˥˨ kʰɔːp˧˩caj˩,"literally 'enough already, thank you'",2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.lets-go,ໄປເລີຍ,,paileuy,paj˩lɤːj˧˥,ເລີຍ carries the 'go right ahead' sense,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.cheers,ໂຊກດີ,,xôkdi,soːk˥˨diː˩,the Lao drinking toast; ດື່ມ is the instruction to drink,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
slang.see-you,ພົບກັນໃໝ່,,phôpkanmai,pʰop˧kan˩maj˧,literally 'meet again',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007), on register and the sentence-final particles;ipa=lo-g2p"
