section_id,title
social-basics,Sosial + dhasar
communication,Komunikasi
quick-responses,Wangsulan cekak
phone-translation,Terjemahan ing HP
phone-text-power,"HP, pesen + daya"
sim-data,"SIM, data + Wi-Fi"
introductions,Tepangan
etiquette,Tip + tata krama
slang,Basa gaul
profanity,Tembung kasar (keras)
time-scheduling,Wekdal + jadwal
time-words,Tembung wekdal
days-of-week,Nama dinten
months,Wulan
pronouns-verbs,Tembung inti + pola
question-words,Pitakon + tembung alit
payment-receipt,Mbayar + struk
numbers-money,Angka + arta
atm-cash,ATM + arta tunai
dietary-needs,Pantangan + alergi
utility-templates,Pola sarwa guna
shopping,Blanja
color-size-returns,"Warni, ukuran + lintu"
tax-refund,Wangsulan pajeg
food-ordering,Dhahar + pesen
attractions-tickets,Wisata + tikèt
children,Kaliyan laré
directions,Margi
quick-directions,Margi cekak
taxi,Taksi
building-help,Pitulungan ing gedhong
accessibility,Akses + obah
transit-rides,Angkutan umum
in-a-building,Ing lebet gedhong
toilets,WC
building-words,Tembung gedhong
hotel-words,Tembung hotèl
hotel-basics,Hotèl dhasar
hotel-requests,Panyuwunan hotèl
room-problems,Masalah kamar
laundry,Umbah-umbah
place-words,Nama papan
border-customs,Imigrasi + Béa Cukai
trail-words,Tembung jalur
pickup-meeting,Pethukan + patemon
rail-station-words,Sepur + stasiun
common-signs,Tenger umum
weather,Cuaca + kawontenan
hiking-parks,Pendakian + taman
trail-conditions,Kawontenan + rute
trail-transport,Angkutan + layanan
trail-warnings,Pènget jalur
trail-landmarks,Patokan + fasilitas
emergency-medical,Darurat + médis
medical-conditions,Sesakit + obat
pharmacy-symptoms,Apotik + gejala
body-parts,Pérangan badan
lost-rescue,Barang ical + SAR
police-consulate,"Polisi, pandung + konsulat"
massage-spa,Pijet + spa
board-answers,Wangsulan tiyang sanès
morse-code,Sandi Morse
morse-digits,Angka
morse-marks,Tandha wacan + sinyal
