section_id,title
social-basics,ທັກທາຍ + ພື້ນຖານ
communication,ການສື່ສານ
quick-responses,ຄຳຕອບສັ້ນ
phone-translation,ແປດ້ວຍໂທລະສັບ
phone-text-power,ໂທລະສັບ ຂໍ້ຄວາມ + ໄຟ
sim-data,ຊິມ ເນັດ + ວາຍຟາຍ
introductions,ການແນະນຳຕົວ
etiquette,ເງິນທິບ + ມາລະຍາດ
slang,ຄຳເວົ້າກັນເອງ
profanity,ຄຳຫຍາບ
time-scheduling,ເວລາ + ນັດໝາຍ
time-words,ຄຳກ່ຽວກັບເວລາ
days-of-week,ວັນໃນອາທິດ
months,ເດືອນ
pronouns-verbs,ຄຳຫຼັກ + ຮູບແບບ
question-words,ຄຳຖາມ + ຄຳນ້ອຍ
payment-receipt,ການຈ່າຍ + ໃບບິນ
numbers-money,ຕົວເລກ + ເງິນ
atm-cash,ຕູ້ເອທີເອັມ + ເງິນສົດ
dietary-needs,ຂໍ້ຈຳກັດອາຫານ
utility-templates,ຮູບແບບໃຊ້ທົ່ວໄປ
shopping,ການຊື້ເຄື່ອງ
color-size-returns,ສີ ຂະໜາດ + ການສົ່ງຄືນ
tax-refund,ການຄືນພາສີ
food-ordering,ອາຫານ + ການສັ່ງ
attractions-tickets,ສະຖານທີ່ + ປີ້
children,ກັບເດັກນ້ອຍ
directions,ທິດທາງ
quick-directions,ທິດທາງສັ້ນ
taxi,ແທັກຊີ
building-help,ຂໍຄວາມຊ່ວຍໃນອາຄານ
accessibility,ການເຂົ້າຫາ + ການເຄື່ອນຍ້າຍ
transit-rides,ຂົນສົ່ງ + ການເດີນທາງ
in-a-building,ຢູ່ໃນອາຄານ
toilets,ຫ້ອງນ້ຳ
building-words,ຄຳກ່ຽວກັບອາຄານ
hotel-words,ຄຳກ່ຽວກັບໂຮງແຮມ
hotel-basics,ໂຮງແຮມພື້ນຖານ
hotel-requests,ການຂໍໃນໂຮງແຮມ
room-problems,ບັນຫາໃນຫ້ອງ
laundry,ຊັກຜ້າ
place-words,ຄຳກ່ຽວກັບສະຖານທີ່
border-customs,ດ່ານ + ພາສີ
trail-words,ຄຳກ່ຽວກັບເສັ້ນທາງ
pickup-meeting,ຈຸດຮັບ + ນັດພົບ
rail-station-words,ລົດໄຟ + ສະຖານີ
common-signs,ປ້າຍທົ່ວໄປ
weather,ອາກາດ + ສະພາບ
hiking-parks,ຍ່າງປ່າ + ສວນ
trail-conditions,ສະພາບ + ເສັ້ນທາງ
trail-transport,ຂົນສົ່ງ + ບໍລິການ
trail-warnings,ຄຳເຕືອນເສັ້ນທາງ
trail-landmarks,ຈຸດສັງເກດ + ບໍລິການ
emergency-medical,ສຸກເສີນ + ການແພດ
medical-conditions,ພະຍາດ + ຢາ
pharmacy-symptoms,ຮ້ານຢາ + ອາການ
body-parts,ອະໄວຍະວະ
lost-rescue,ເຄື່ອງຫາຍ + ການກູ້ໄພ
police-consulate,ຕຳຫຼວດ ລັກ + ກົງສຸນ
