section_id,title
social-basics,بنیادی باتیں
communication,بات چیت
quick-responses,چھوٹے جواب
phone-translation,فون سے ترجمہ
phone-text-power,"فون، پیغام اور چارج"
sim-data,"سم، ڈیٹا اور وائی فائی"
introductions,تعارف
etiquette,ٹپ اور آداب
slang,بول چال
profanity,گالی (سخت)
time-scheduling,وقت اور ملاقات
time-words,وقت کے الفاظ
days-of-week,ہفتے کے دن
months,مہینے
pronouns-verbs,بنیادی الفاظ اور ڈھانچے
question-words,سوال اور چھوٹے الفاظ
payment-receipt,ادائیگی اور رسید
numbers-money,گنتی اور پیسے
atm-cash,اے ٹی ایم اور نقد
dietary-needs,کھانے کی پابندیاں
utility-templates,کام کے ڈھانچے
shopping,خریداری
color-size-returns,"رنگ، سائز اور واپسی"
tax-refund,ٹیکس کی واپسی
food-ordering,کھانا اور آرڈر
attractions-tickets,سیر گاہ اور ٹکٹ
children,بچوں کے ساتھ
directions,راستہ
quick-directions,چھوٹی ہدایات
taxi,ٹیکسی اور رکشہ
building-help,عمارت میں مدد
accessibility,رسائی اور آمد و رفت
transit-rides,سفر اور سواری
in-a-building,عمارت کے اندر
toilets,بیت الخلا
building-words,عمارت کے الفاظ
hotel-words,ہوٹل کے الفاظ
hotel-basics,ہوٹل کی ضرورتیں
hotel-requests,ہوٹل سے درخواست
room-problems,کمرے کی خرابیاں
laundry,کپڑوں کی دھلائی
place-words,جگہوں کے الفاظ
border-customs,آمد اور کسٹم
trail-words,پگڈنڈی کے الفاظ
pickup-meeting,پک اپ اور ملاقات
rail-station-words,ریل اور اسٹیشن
common-signs,عام تختیاں
weather,موسم اور حالات
hiking-parks,پیدل سفر اور پارک
trail-conditions,حالات اور راستہ
trail-transport,آمد و رفت اور سہولتیں
trail-warnings,راستے کی تنبیہ
trail-landmarks,نشانیاں اور سہولتیں
emergency-medical,ایمرجنسی اور ڈاکٹر
medical-conditions,بیماری اور دوا
pharmacy-symptoms,میڈیکل اسٹور اور علامات
body-parts,جسم کے اعضا
lost-rescue,گم شدہ سامان اور ریسکیو
police-consulate,"پولیس، چوری اور سفارت خانہ"
