section_id,title
social-basics,Sociaal + basis
communication,Communicatie
quick-responses,Korte antwoorden
phone-translation,Telefoonvertaler
phone-text-power,"Telefoon, sms + stroom"
sim-data,"SIM, data + wifi"
introductions,Voorstellen
etiquette,Fooi + gewoontes
slang,Spreektaal
profanity,Krachttermen (grof)
time-scheduling,Tijd + afspraken
time-words,Tijdwoorden
days-of-week,Dagen van de week
months,Maanden
pronouns-verbs,Kernwoorden + patronen
question-words,Vraag- + kleine woorden
payment-receipt,Betalen + bon
numbers-money,Getallen + geld
atm-cash,Pinautomaat + contant geld
dietary-needs,Dieetwensen
utility-templates,Bouwstenen
shopping,Winkelen
color-size-returns,"Kleur, maat + retour"
tax-refund,Belastingteruggave
food-ordering,Eten + bestellen
attractions-tickets,Attracties + tickets
children,Met kinderen
directions,Routebeschrijving
quick-directions,Kort de weg
taxi,Taxi
building-help,Hulp in het gebouw
accessibility,Toegang + mobiliteit
transit-rides,Openbaar vervoer + ritten
in-a-building,In een gebouw
toilets,Toiletten
building-words,Gebouwwoorden
hotel-words,Hotelwoorden
hotel-basics,Hotel basis
hotel-requests,Hotelwensen
room-problems,Kamerproblemen
laundry,Wasserij
place-words,Plaatswoorden
border-customs,Grens + douane
trail-words,Wandelwoorden
pickup-meeting,Ophalen + afspreken
rail-station-words,Trein + station
common-signs,Veelvoorkomende borden
weather,Weer + omstandigheden
hiking-parks,Wandelen + parken
trail-conditions,Omstandigheden + route
trail-transport,Vervoer + diensten
trail-warnings,Waarschuwingen onderweg
trail-landmarks,Herkenningspunten + diensten
emergency-medical,Noodgeval + medisch
medical-conditions,Aandoeningen + medicijnen
pharmacy-symptoms,Apotheek + klachten
body-parts,Lichaamsdelen
lost-rescue,Verloren + redding
police-consulate,"Politie, diefstal + consulaat"
