section_id,title
social-basics,تحية وأساسيات
communication,التواصل
quick-responses,ردود قصيرة
phone-translation,الترجمة بالهاتف
phone-text-power,الهاتف والرسائل والشحن
sim-data,الشريحة والبيانات والواي فاي
introductions,التعارف
etiquette,البقشيش والآداب
slang,تعبيرات عامية
time-scheduling,الوقت والمواعيد
time-words,كلمات الوقت
days-of-week,أيام الأسبوع
months,الشهور
pronouns-verbs,كلمات وصيغ أساسية
question-words,أدوات الاستفهام
payment-receipt,الدفع والإيصال
numbers-money,الأرقام والنقود
atm-cash,الصراف والنقد
dietary-needs,قيود الطعام
utility-templates,صيغ جاهزة
shopping,التسوق
color-size-returns,اللون والمقاس والإرجاع
tax-refund,استرداد الضريبة
food-ordering,الطعام والطلب
attractions-tickets,المعالم والتذاكر
children,مع الأطفال
directions,الاتجاهات
quick-directions,اتجاهات سريعة
taxi,سيارة الأجرة
building-help,المساعدة في المبنى
accessibility,الوصول والتنقل
transit-rides,المواصلات
in-a-building,داخل المبنى
toilets,دورات المياه
building-words,كلمات المباني
hotel-words,كلمات الفندق
hotel-basics,أساسيات الفندق
hotel-requests,طلبات الفندق
room-problems,مشكلات الغرفة
laundry,الغسيل
place-words,كلمات الأماكن
border-customs,الحدود والجمارك
trail-words,كلمات المسارات
pickup-meeting,اللقاء والاصطحاب
rail-station-words,القطار والمحطة
common-signs,لافتات شائعة
weather,الطقس والأحوال
hiking-parks,المشي والمتنزهات
trail-conditions,الحالة والمسار
trail-transport,النقل والخدمات
trail-warnings,تحذيرات المسار
trail-landmarks,المعالم والخدمات
emergency-medical,الطوارئ والإسعاف
medical-conditions,الأمراض والأدوية
pharmacy-symptoms,الصيدلية والأعراض
body-parts,أجزاء الجسم
lost-rescue,المفقودات والإنقاذ
police-consulate,الشرطة والسرقة والقنصلية
