section_id,title
social-basics,Sosial + dasar
communication,Komunikasi
quick-responses,Jawaban singkat
phone-translation,Terjemahan di HP
phone-text-power,"HP, pesan + daya"
sim-data,"SIM, data + Wi-Fi"
introductions,Perkenalan
etiquette,Tip + kebiasaan
slang,Bahasa gaul
time-scheduling,Waktu + jadwal
time-words,Kata waktu
days-of-week,Nama hari
months,Bulan
pronouns-verbs,Kata inti + pola
question-words,Tanya + kata kecil
payment-receipt,Bayar + struk
numbers-money,Angka + uang
atm-cash,ATM + uang tunai
dietary-needs,Pantangan + alergi
utility-templates,Pola serbaguna
shopping,Berbelanja
color-size-returns,"Warna, ukuran + tukar"
tax-refund,Pengembalian pajak
food-ordering,Makan + pesan
attractions-tickets,Wisata + tiket
children,Dengan anak
directions,Arah jalan
quick-directions,Arah singkat
taxi,Taksi
building-help,Bantuan di gedung
accessibility,Akses + mobilitas
transit-rides,Transportasi umum
in-a-building,Di dalam gedung
toilets,Toilet
building-words,Kata gedung
hotel-words,Kata hotel
hotel-basics,Hotel dasar
hotel-requests,Permintaan hotel
room-problems,Masalah kamar
laundry,Laundry
place-words,Nama tempat
border-customs,Imigrasi + Bea Cukai
trail-words,Kata jalur
pickup-meeting,Penjemputan + temu
rail-station-words,Kereta + stasiun
common-signs,Rambu umum
weather,Cuaca + kondisi
hiking-parks,Pendakian + taman
trail-conditions,Kondisi + rute
trail-transport,Angkutan + layanan
trail-warnings,Peringatan jalur
trail-landmarks,Patokan + fasilitas
emergency-medical,Darurat + medis
medical-conditions,Penyakit + obat
pharmacy-symptoms,Apotek + gejala
body-parts,Bagian tubuh
lost-rescue,Barang hilang + SAR
police-consulate,"Polisi, curi + konsulat"
