section_id,title
social-basics,ทักทาย + พื้นฐาน
communication,การสื่อสาร
quick-responses,ตอบสั้นๆ
phone-translation,แปลด้วยมือถือ
phone-text-power,มือถือ ข้อความ + ไฟ
sim-data,ซิม เน็ต + Wi-Fi
introductions,แนะนำตัว
etiquette,ทิป + มารยาท
slang,ภาษาพูด
time-scheduling,เวลา + นัดหมาย
time-words,คำบอกเวลา
days-of-week,วันในสัปดาห์
months,เดือน
pronouns-verbs,คำหลัก + รูปประโยค
question-words,คำถาม + คำเล็กๆ
payment-receipt,จ่ายเงิน + ใบเสร็จ
numbers-money,ตัวเลข + เงิน
atm-cash,ตู้ ATM + เงินสด
dietary-needs,ข้อจำกัดอาหาร
utility-templates,ประโยคใช้บ่อย
shopping,ซื้อของ
color-size-returns,สี ไซส์ + คืนของ
tax-refund,คืนภาษี
food-ordering,สั่งอาหาร
attractions-tickets,เที่ยว + ตั๋ว
children,เดินทางกับเด็ก
directions,ถามทาง
quick-directions,บอกทางสั้นๆ
taxi,แท็กซี่
building-help,ช่วยเหลือในอาคาร
accessibility,การเข้าถึง + ผู้พิการ
transit-rides,ขนส่ง + โดยสาร
in-a-building,ในอาคาร
toilets,ห้องน้ำ
building-words,คำในอาคาร
hotel-words,คำในโรงแรม
hotel-basics,โรงแรมพื้นฐาน
hotel-requests,คำขอที่โรงแรม
room-problems,ปัญหาในห้อง
laundry,ซักผ้า
place-words,คำเรียกสถานที่
border-customs,เข้าเมือง + ศุลกากร
trail-words,คำเรียกเส้นทาง
pickup-meeting,นัดรับ + เจอกัน
rail-station-words,รถไฟ + สถานี
common-signs,ป้ายที่พบบ่อย
weather,อากาศ + สภาพ
hiking-parks,เดินป่า + อุทยาน
trail-conditions,สภาพ + เส้นทาง
trail-transport,รถ + บริการ
trail-warnings,ป้ายเตือนเส้นทาง
trail-landmarks,จุดสังเกต + บริการ
emergency-medical,ฉุกเฉิน + การแพทย์
medical-conditions,โรคประจำตัว + ยา
pharmacy-symptoms,ร้านยา + อาการ
body-parts,อวัยวะ
lost-rescue,ของหาย + กู้ภัย
police-consulate,ตำรวจ ขโมย + กงสุล
