section_id,title
social-basics,Sozial + Basics
communication,Verständigung
quick-responses,Kurze Antworten
phone-translation,Handy-Übersetzung
phone-text-power,"Handy, SMS + Strom"
sim-data,"SIM, Daten + WLAN"
introductions,Vorstellen
etiquette,Trinkgeld + Sitten
slang,Umgangssprache
time-scheduling,Zeit + Termine
time-words,Zeitwörter
days-of-week,Wochentage
months,Monate
pronouns-verbs,Kernwörter + Muster
question-words,Frage- + Kleinwörter
payment-receipt,Zahlen + Beleg
numbers-money,Zahlen + Geld
atm-cash,Geldautomat + Bargeld
dietary-needs,Ernährung
utility-templates,Bausteine
shopping,Einkaufen
color-size-returns,"Farbe, Größe + Umtausch"
tax-refund,Steuerrückerstattung
food-ordering,Essen + Bestellen
attractions-tickets,Sehenswertes + Tickets
children,Mit Kindern
directions,Wegbeschreibung
quick-directions,Kurz zum Weg
taxi,Taxi
building-help,Hilfe im Gebäude
accessibility,Zugang + Mobilität
transit-rides,Nahverkehr + Fahrten
in-a-building,Im Gebäude
toilets,Toiletten
building-words,Gebäudewörter
hotel-words,Hotelwörter
hotel-basics,Hotel-Basics
hotel-requests,Hotelwünsche
room-problems,Zimmerprobleme
laundry,Wäsche
place-words,Ortswörter
border-customs,Grenze + Zoll
trail-words,Wanderwörter
pickup-meeting,Abholung + Treffen
rail-station-words,Bahn + Bahnhof
common-signs,Häufige Schilder
weather,Wetter + Lage
hiking-parks,Wandern + Parks
trail-conditions,Lage + Route
trail-transport,Transport + Service
trail-warnings,Warnungen am Weg
trail-landmarks,Wegmarken + Service
emergency-medical,Notfall + Medizin
medical-conditions,Krankheit + Medikamente
pharmacy-symptoms,Apotheke + Symptome
body-parts,Körperteile
lost-rescue,Verlust + Rettung
police-consulate,"Polizei, Diebstahl + Konsulat"
