section_id,title
social-basics,Tervehdykset + perusteet
communication,Viestintä
quick-responses,Nopeat vastaukset
phone-translation,Puhelinkäännös
phone-text-power,"Puhelin, viestit + virta"
sim-data,"SIM, data + wifi"
introductions,Esittäytyminen
etiquette,Tipit + tapatieto
slang,Slangi (rento)
profanity,Kirosanat (karkeat)
time-scheduling,Aika + sopiminen
time-words,Aikasanat
days-of-week,Viikonpäivät
months,Kuukaudet
pronouns-verbs,Ydinsanat + kaavat
question-words,Kysymys- + pikkusanat
payment-receipt,Maksu + kuitti
numbers-money,Numerot + raha
atm-cash,Automaatti + käteinen
dietary-needs,Ruokavaliot
utility-templates,Rakennuspalikat
shopping,Ostoksilla
color-size-returns,"Väri, koko + palautus"
tax-refund,Alv-palautus
food-ordering,Ruoka + tilaaminen
attractions-tickets,Nähtävyydet + liput
children,Lasten kanssa
directions,Reittiohjeet
quick-directions,Lyhyet reittiohjeet
taxi,Taksi
building-help,Apua rakennuksessa
accessibility,Esteettömyys + liikkuminen
transit-rides,Julkinen liikenne
in-a-building,Rakennuksessa
toilets,Vessat
building-words,Rakennussanat
hotel-words,Hotellisanat
hotel-basics,"Hotelli, perusteet"
hotel-requests,Hotellipyynnöt
room-problems,Huoneen ongelmat
laundry,Pyykki
place-words,Paikkasanat
border-customs,Raja + tulli
trail-words,Retkeilysanat
pickup-meeting,Nouto + tapaaminen
rail-station-words,Juna- + asemasanat
common-signs,Yleiset kyltit
weather,Sää + olosuhteet
hiking-parks,Retkeily + puistot
trail-conditions,Olosuhteet + reitti
trail-transport,Kuljetus + palvelut
trail-warnings,Varoitukset reitillä
trail-landmarks,Maamerkit + palvelut
emergency-medical,Hätä + lääkäri
medical-conditions,Sairaudet + lääkkeet
pharmacy-symptoms,Apteekki + oireet
body-parts,Kehon osat
lost-rescue,Kadonnut + pelastus
police-consulate,"Poliisi, varkaus + konsulaatti"
