section_id,title
social-basics,Привітання + основи
communication,Спілкування
quick-responses,Короткі відповіді
phone-translation,Переклад у телефоні
phone-text-power,"Телефон, текст + заряд"
sim-data,"SIM, інтернет + Wi-Fi"
introductions,Знайомство
etiquette,Чайові + етикет
slang,Сленг (неформально)
profanity,Лайка (грубо)
time-scheduling,Час + зустрічі
time-words,Слова про час
days-of-week,Дні тижня
months,Місяці
pronouns-verbs,Основні слова + схеми
question-words,Питання + дрібні слова
payment-receipt,Оплата + чек
numbers-money,Числа + гроші
atm-cash,Банкомат + готівка
dietary-needs,Харчування + алергії
utility-templates,Шаблони фраз
shopping,Покупки
color-size-returns,"Колір, розмір + повернення"
tax-refund,Повернення податку
food-ordering,Їжа + замовлення
attractions-tickets,Екскурсії + квитки
children,З дітьми
directions,Напрямки
quick-directions,Куди йти
taxi,Таксі
building-help,Допомога в будівлі
accessibility,Доступ + мобільність
transit-rides,Транспорт + поїздки
in-a-building,У будівлі
toilets,Туалети
building-words,Слова в будівлі
hotel-words,Слова в готелі
hotel-basics,Готель: основне
hotel-requests,Прохання в готелі
room-problems,Проблеми в номері
laundry,Прання
place-words,Назви місць
border-customs,Кордон + митниця
trail-words,Слова на стежці
pickup-meeting,Зустріч + посадка
rail-station-words,Поїзд + вокзал
common-signs,Часті таблички
weather,Погода + умови
hiking-parks,Походи + парки
trail-conditions,Умови + маршрут
trail-transport,Транспорт + послуги
trail-warnings,Попередження
trail-landmarks,Орієнтири + послуги
emergency-medical,Екстрена допомога
medical-conditions,Хвороби + ліки
pharmacy-symptoms,Аптека + симптоми
body-parts,Частини тіла
lost-rescue,Втрати + порятунок
police-consulate,Поліція + консульство
