section_id,title
social-basics,Základní fráze
communication,Komunikace
quick-responses,Krátké odpovědi
phone-translation,Překladač v telefonu
phone-text-power,"Telefon, SMS a baterie"
sim-data,"SIM karta, data a Wi-Fi"
introductions,Představování
etiquette,Spropitné a zvyklosti
slang,Slang (neformální)
profanity,Sprostá slova (silná)
time-scheduling,Čas a plánování
time-words,Slova o čase
days-of-week,Dny v týdnu
months,Měsíce
pronouns-verbs,Základní slova a vzory
question-words,Otázky a slovíčka
payment-receipt,Platba a účtenka
numbers-money,Čísla a peníze
atm-cash,Bankomat a hotovost
dietary-needs,Stravovací potřeby
utility-templates,Vzory vět
shopping,Nakupování
color-size-returns,"Barva, velikost a vrácení"
tax-refund,Vrácení daně
food-ordering,Jídlo a objednávání
attractions-tickets,Atrakce a vstupenky
children,S dětmi
directions,Ptaní na cestu
quick-directions,Krátké pokyny
taxi,Taxi
building-help,Pomoc v budově
accessibility,Přístupnost
transit-rides,Doprava a jízdy
in-a-building,V budově
toilets,Toalety
building-words,Slova: budova
hotel-words,Slova: hotel
hotel-basics,Hotel: základy
hotel-requests,Hotel: požadavky
room-problems,Problémy s pokojem
laundry,Prádelna
place-words,Slova: místa
border-customs,Hranice a celnice
trail-words,Slova: stezka
pickup-meeting,Vyzvednutí a setkání
rail-station-words,Vlak a nádraží
common-signs,Časté nápisy
weather,Počasí a podmínky
hiking-parks,Stezky a parky
trail-conditions,Podmínky a trasa
trail-transport,Doprava a služby
trail-warnings,Varování na stezce
trail-landmarks,Body na stezce
emergency-medical,Nouzová situace
medical-conditions,Nemoci a léky
pharmacy-symptoms,Lékárna a příznaky
body-parts,Části těla
lost-rescue,Ztráty a záchrana
police-consulate,"Policie, krádež a konzulát"
