section_id,title
social-basics,Ευγένεια + βασικά
communication,Συνεννόηση
quick-responses,Σύντομες απαντήσεις
phone-translation,Μετάφραση στο κινητό
phone-text-power,"Κινητό, SMS + ρεύμα"
sim-data,"SIM, δεδομένα + Wi-Fi"
introductions,Συστάσεις
etiquette,Φιλοδώρημα + έθιμα
time-scheduling,Ώρα + ραντεβού
time-words,Λέξεις χρόνου
days-of-week,Ημέρες εβδομάδας
months,Μήνες
pronouns-verbs,Βασικές λέξεις + δομές
question-words,Ερωτήσεις + μικρές λέξεις
payment-receipt,Πληρωμή + απόδειξη
numbers-money,Αριθμοί + χρήματα
atm-cash,ATM + μετρητά
dietary-needs,Διατροφή + αλλεργίες
utility-templates,Έτοιμες φράσεις
shopping,Αγορές
color-size-returns,"Χρώμα, μέγεθος + αλλαγή"
tax-refund,Επιστροφή ΦΠΑ
food-ordering,Φαγητό + παραγγελία
attractions-tickets,Αξιοθέατα + εισιτήρια
children,Με παιδιά
directions,Κατευθύνσεις
quick-directions,Πού να πάτε
taxi,Ταξί
building-help,Βοήθεια σε κτίριο
accessibility,Πρόσβαση + μετακίνηση
transit-rides,Συγκοινωνία + διαδρομές
in-a-building,Μέσα στο κτίριο
toilets,Τουαλέτες
building-words,Λέξεις κτιρίων
hotel-words,Λέξεις ξενοδοχείου
hotel-basics,Ξενοδοχείο: βασικά
hotel-requests,Αιτήματα ξενοδοχείου
room-problems,Προβλήματα δωματίου
laundry,Πλυντήριο
place-words,Ονόματα τόπων
border-customs,Σύνορα + τελωνείο
trail-words,Λέξεις μονοπατιού
pickup-meeting,Παραλαβή + συνάντηση
rail-station-words,Τρένο + σταθμός
common-signs,Συχνές πινακίδες
weather,Καιρός + συνθήκες
hiking-parks,Πεζοπορία + πάρκα
trail-conditions,Συνθήκες + διαδρομή
trail-transport,Μεταφορά + υπηρεσίες
trail-warnings,Προειδοποιήσεις
trail-landmarks,Σημάδια + υπηρεσίες
emergency-medical,Επείγοντα + ιατρός
medical-conditions,Παθήσεις + φάρμακα
pharmacy-symptoms,Φαρμακείο + συμπτώματα
body-parts,Μέρη του σώματος
lost-rescue,Απώλειες + διάσωση
police-consulate,Αστυνομία + προξενείο
