section_id,title
social-basics,Chào hỏi cơ bản
communication,Giao tiếp
quick-responses,Đáp nhanh
phone-translation,Dịch bằng điện thoại
phone-text-power,"Điện thoại, chữ + sạc"
sim-data,"SIM, data + Wi-Fi"
introductions,Giới thiệu
etiquette,Tiền tip + phép lịch sự
slang,Tiếng lóng (thân mật)
time-scheduling,Giờ giấc + hẹn gặp
time-words,Từ chỉ thời gian
days-of-week,Ngày trong tuần
months,Tháng
pronouns-verbs,Từ + mẫu câu cốt lõi
question-words,Từ hỏi + từ ngắn
payment-receipt,Thanh toán + hóa đơn
numbers-money,Số + tiền
atm-cash,ATM + tiền mặt
dietary-needs,Ăn kiêng + dị ứng
utility-templates,Mẫu câu tiện dụng
shopping,Mua sắm
color-size-returns,"Màu, cỡ + đổi trả"
tax-refund,Hoàn thuế
food-ordering,Ăn uống + gọi món
attractions-tickets,Tham quan + vé
children,Đi cùng trẻ nhỏ
directions,Chỉ đường
quick-directions,Chỉ đường nhanh
taxi,Taxi + xe ôm
building-help,Trợ giúp trong tòa nhà
accessibility,Tiếp cận + di chuyển
transit-rides,Tàu xe công cộng
in-a-building,Trong tòa nhà
toilets,Nhà vệ sinh
building-words,Từ trong tòa nhà
hotel-words,Từ ở khách sạn
hotel-basics,Khách sạn cơ bản
hotel-requests,Yêu cầu ở khách sạn
room-problems,Sự cố trong phòng
laundry,Giặt giũ
place-words,Từ chỉ địa điểm
border-customs,Nhập cảnh + hải quan
trail-words,Từ về đường mòn
pickup-meeting,Đón khách + hẹn gặp
rail-station-words,Từ về tàu + nhà ga
common-signs,Biển báo thường gặp
weather,Thời tiết + điều kiện
hiking-parks,Leo núi + công viên
trail-conditions,Địa hình + lộ trình
trail-transport,Xe cộ + dịch vụ
trail-warnings,Cảnh báo đường mòn
trail-landmarks,Mốc + tiện ích đường mòn
emergency-medical,Khẩn cấp + y tế
medical-conditions,Bệnh nền + thuốc men
pharmacy-symptoms,Nhà thuốc + triệu chứng
body-parts,Bộ phận cơ thể
lost-rescue,Mất đồ + cứu hộ
police-consulate,"Công an, trộm + lãnh sự"
