section_id,title
social-basics,Salomlashish + asoslar
communication,Muloqot
quick-responses,Tez javoblar
phone-translation,Telefonda tarjima
phone-text-power,"Telefon, matn + quvvat"
sim-data,"SIM, internet + Wi-Fi"
introductions,Tanishuv
etiquette,Choychaqa + odob
slang,Jonli til (norasmiy)
profanity,Soʻkinish (qoʻpol)
time-scheduling,Vaqt + rejalashtirish
time-words,Vaqt soʻzlari
days-of-week,Hafta kunlari
months,Oylar
pronouns-verbs,Asosiy soʻz va qoliplar
question-words,Soʻroq + yordamchi soʻzlar
payment-receipt,Toʻlov + chek
numbers-money,Sonlar + pul
atm-cash,Bankomat + naqd pul
dietary-needs,Parhez talablari
utility-templates,Foydali qoliplar
shopping,Xarid
color-size-returns,"Rang, oʻlcham + qaytarish"
tax-refund,Soliqni qaytarish
food-ordering,Ovqat + buyurtma
attractions-tickets,Diqqatga sazovor joylar + chiptalar
children,Bolalar bilan
directions,Yoʻl koʻrsatish
quick-directions,Tez yoʻnalishlar
taxi,Taksi
building-help,Binoda yordam
accessibility,Kirish + harakatlanish
transit-rides,Transport + qatnov
in-a-building,Bino ichida
toilets,Hojatxona
building-words,Bino soʻzlari
hotel-words,Mehmonxona soʻzlari
hotel-basics,Mehmonxona asoslari
hotel-requests,Mehmonxonaga iltimoslar
room-problems,Xona muammolari
laundry,Kir yuvish
place-words,Joy soʻzlari
border-customs,Chegara + bojxona
trail-words,Soʻqmoq soʻzlari
pickup-meeting,Kutib olish + uchrashuv
rail-station-words,Temir yoʻl + bekat soʻzlari
common-signs,Keng tarqalgan belgilar
weather,Ob-havo + sharoit
hiking-parks,Piyoda yurish + bogʻlar
trail-conditions,Sharoit + yoʻnalish
trail-transport,Transport + xizmatlar
trail-warnings,Soʻqmoq ogohlantirishlari
trail-landmarks,Soʻqmoq belgilari + xizmatlar
emergency-medical,Favqulodda + tibbiy yordam
medical-conditions,Kasalliklar + dorilar
pharmacy-symptoms,Dorixona + alomatlar
body-parts,Tana aʼzolari
lost-rescue,Yoʻqolgan buyumlar + qutqaruv
police-consulate,"Politsiya, oʻgʻirlik + konsullik"
massage-spa,Massaj + spa
board-answers,Ular beradigan javoblar
morse-code,Morze kodi
