section_id,title
social-basics,बुनियादी बातें
communication,बातचीत
quick-responses,छोटे जवाब
phone-translation,फ़ोन से अनुवाद
phone-text-power,"फ़ोन, संदेश + चार्ज"
sim-data,"सिम, डेटा + वाई-फ़ाई"
introductions,परिचय
etiquette,टिप + शिष्टाचार
time-scheduling,समय + मुलाकात
time-words,समय के शब्द
days-of-week,सप्ताह के दिन
months,महीने
pronouns-verbs,मुख्य शब्द + ढाँचे
question-words,सवाल + छोटे शब्द
payment-receipt,भुगतान + रसीद
numbers-money,गिनती + पैसे
atm-cash,एटीएम + नकद
dietary-needs,खानपान की ज़रूरतें
utility-templates,काम के ढाँचे
shopping,खरीदारी
color-size-returns,"रंग, साइज़ + वापसी"
tax-refund,टैक्स वापसी
food-ordering,खाना + ऑर्डर
attractions-tickets,दर्शनीय जगह + टिकट
children,बच्चों के साथ
directions,रास्ता
quick-directions,छोटे निर्देश
taxi,टैक्सी + ऑटो
building-help,इमारत में मदद
accessibility,पहुँच + आवाजाही
transit-rides,सफ़र + सवारी
in-a-building,इमारत के अंदर
toilets,शौचालय
building-words,इमारत के शब्द
hotel-words,होटल के शब्द
hotel-basics,होटल की ज़रूरतें
hotel-requests,होटल से अनुरोध
room-problems,कमरे की दिक्कतें
laundry,कपड़ों की धुलाई
place-words,जगहों के शब्द
border-customs,आगमन + सीमा शुल्क
trail-words,पगडंडी के शब्द
pickup-meeting,पिकअप + मुलाकात
rail-station-words,रेल + स्टेशन
common-signs,आम संकेत
weather,मौसम + हालात
hiking-parks,ट्रेकिंग + पार्क
trail-conditions,हालात + रास्ता
trail-transport,परिवहन + सुविधाएँ
trail-warnings,रास्ते की चेतावनी
trail-landmarks,निशानी + सुविधाएँ
emergency-medical,इमरजेंसी + डॉक्टर
medical-conditions,बीमारी + दवा
pharmacy-symptoms,दवा की दुकान + लक्षण
body-parts,शरीर के अंग
lost-rescue,खोया सामान + बचाव
police-consulate,"पुलिस, चोरी + दूतावास"
