section_id,title
social-basics,あいさつ・基本
communication,意思疎通
quick-responses,短い返事
phone-translation,スマホで翻訳
phone-text-power,スマホ・連絡・充電
sim-data,SIM・データ・Wi-Fi
introductions,自己紹介
etiquette,チップ・作法
slang,くだけた表現
time-scheduling,時間・予定
time-words,時を表す語
days-of-week,曜日
months,月
pronouns-verbs,基本語・型
question-words,疑問詞・小さな語
payment-receipt,支払い・領収書
numbers-money,数・お金
atm-cash,ATM・現金
dietary-needs,食事の制限
utility-templates,便利な言い回し
shopping,買い物
color-size-returns,色・サイズ・返品
tax-refund,免税
food-ordering,食事・注文
attractions-tickets,観光・チケット
children,子ども連れ
directions,道案内
quick-directions,短い道案内
taxi,タクシー
building-help,建物での助け
accessibility,段差・移動
transit-rides,交通機関
in-a-building,建物の中で
toilets,トイレ
building-words,建物の語
hotel-words,ホテルの語
hotel-basics,ホテルの基本
hotel-requests,ホテルへの依頼
room-problems,部屋の不具合
laundry,洗濯
place-words,場所の語
border-customs,入国・税関
trail-words,登山道の語
pickup-meeting,待ち合わせ
rail-station-words,鉄道・駅の語
common-signs,よくある標識
weather,天気・状況
hiking-parks,ハイキング・公園
trail-conditions,状況・ルート
trail-transport,交通・施設
trail-warnings,登山道の警告
trail-landmarks,目印・施設
emergency-medical,緊急・医療
medical-conditions,持病・常用薬
pharmacy-symptoms,薬局・症状
body-parts,からだの部位
lost-rescue,紛失・救助
police-consulate,警察・盗難・領事館
