section_id,title
social-basics,প্রাথমিক বিষয়
communication,কথাবার্তা
quick-responses,সংক্ষিপ্ত উত্তর
phone-translation,ফোনে অনুবাদ
phone-text-power,"ফোন, মেসেজ ও চার্জ"
sim-data,"সিম, ডেটা ও ওয়াই-ফাই"
introductions,পরিচয়
etiquette,বকশিশ ও শিষ্টাচার
slang,কথ্য ভাষা
profanity,গালিগালাজ (কড়া)
time-scheduling,সময় ও সাক্ষাৎ
time-words,সময়ের শব্দ
days-of-week,সপ্তাহের দিন
months,মাস
pronouns-verbs,মূল শব্দ ও কাঠামো
question-words,প্রশ্ন ও ছোট শব্দ
payment-receipt,পেমেন্ট ও রসিদ
numbers-money,সংখ্যা ও টাকাপয়সা
atm-cash,এটিএম ও নগদ টাকা
dietary-needs,খাদ্যের চাহিদা
utility-templates,কাজের কাঠামো
shopping,কেনাকাটা
color-size-returns,"রং, সাইজ ও ফেরত"
tax-refund,ট্যাক্স ফেরত
food-ordering,খাবার অর্ডার
attractions-tickets,দর্শনীয় স্থান ও টিকিট
children,শিশুদের সঙ্গে
directions,পথনির্দেশ
quick-directions,সংক্ষিপ্ত নির্দেশ
taxi,ট্যাক্সি ও অটো
building-help,ভবনে সাহায্য
accessibility,প্রবেশগম্যতা ও চলাচল
transit-rides,যাতায়াত ও সওয়ারি
in-a-building,ভবনের ভেতরে
toilets,শৌচাগার
building-words,ভবনের শব্দ
hotel-words,হোটেলের শব্দ
hotel-basics,হোটেলের প্রয়োজন
hotel-requests,হোটেলে অনুরোধ
room-problems,ঘরের সমস্যা
laundry,কাপড় ধোলাই
place-words,জায়গার শব্দ
border-customs,আগমন ও শুল্ক
trail-words,ট্রেইলের শব্দ
pickup-meeting,পিকআপ ও সাক্ষাৎ
rail-station-words,রেল ও স্টেশন
common-signs,সাধারণ চিহ্ন
weather,আবহাওয়া ও পরিস্থিতি
hiking-parks,ট্রেকিং ও পার্ক
trail-conditions,পরিস্থিতি ও পথ
trail-transport,পরিবহন ও সুযোগ-সুবিধা
trail-warnings,পথের সতর্কতা
trail-landmarks,চিহ্ন ও সুবিধা
emergency-medical,জরুরি অবস্থা ও ডাক্তার
medical-conditions,অসুখ ও ওষুধ
pharmacy-symptoms,ওষুধের দোকান ও উপসর্গ
body-parts,শরীরের অঙ্গ
lost-rescue,হারানো জিনিস ও উদ্ধার
police-consulate,"পুলিশ, চুরি ও দূতাবাস"
