section_id,title
social-basics,Social + básico
communication,Comunicação
quick-responses,Respostas rápidas
phone-translation,Tradução no telemóvel
phone-text-power,"Telemóvel, texto + carga"
sim-data,"SIM, dados + Wi-Fi"
introductions,Apresentações
etiquette,Gorjetas + etiqueta
slang,Gíria (informal)
time-scheduling,Horas + marcações
time-words,Palavras de tempo
days-of-week,Dias da semana
months,Meses
pronouns-verbs,Palavras + padrões
question-words,Perguntas + partículas
payment-receipt,Pagamento + recibo
numbers-money,Números + dinheiro
atm-cash,Multibanco + dinheiro
dietary-needs,Restrições alimentares
utility-templates,Modelos úteis
shopping,Compras
color-size-returns,"Cor, tamanho + trocas"
tax-refund,Reembolso do IVA
food-ordering,Comida + pedidos
attractions-tickets,Locais + bilhetes
children,Com crianças
directions,Direções
quick-directions,Direções rápidas
taxi,Táxi
building-help,Ajuda no edifício
accessibility,Acesso + mobilidade
transit-rides,Transportes + viagens
in-a-building,Num edifício
toilets,Casas de banho
building-words,Palavras de edifício
hotel-words,Palavras de hotel
hotel-basics,Hotel básico
hotel-requests,Pedidos ao hotel
room-problems,Problemas no quarto
laundry,Lavandaria
place-words,Palavras de lugar
border-customs,Fronteira + alfândega
trail-words,Palavras de trilho
pickup-meeting,Recolha + encontro
rail-station-words,Comboio + estação
common-signs,Sinais comuns
weather,Tempo + condições
hiking-parks,Caminhadas + parques
trail-conditions,Estado + percurso
trail-transport,Transporte + serviços
trail-warnings,Avisos do trilho
trail-landmarks,Pontos + serviços
emergency-medical,Emergência + médico
medical-conditions,Doenças + medicação
pharmacy-symptoms,Farmácia + sintomas
body-parts,Partes do corpo
lost-rescue,Perdidos + resgate
police-consulate,"Polícia, roubo + consulado"
