section_id,title
social-basics,Sosyal + Batayan
communication,Komunikasyon
quick-responses,Maiksing Sagot
phone-translation,Salin sa Phone
phone-text-power,"Phone, Mensahe + Baterya"
sim-data,"SIM, Data + Wi-Fi"
introductions,Pagpapakilala
etiquette,Asal + Kaugalian
slang,Salitang Kalye
profanity,Mura (Malakas)
time-scheduling,Oras + Iskedyul
time-words,Salitang Oras
days-of-week,Araw ng Linggo
months,Buwan
pronouns-verbs,Panghalip + Pandiwa
question-words,Tanong + Maiksing Salita
payment-receipt,Bayad + Resibo
numbers-money,Numero + Pera
atm-cash,ATM + Cash
dietary-needs,Bawal + Allergy
utility-templates,Pangkalahatang Padron
shopping,Pamimili
color-size-returns,"Kulay, Sukat + Palit"
tax-refund,Refund ng Buwis
food-ordering,Kain + Order
attractions-tickets,Atraksyon + Tiket
children,May Kasamang Bata
directions,Direksyon
quick-directions,Maiksing Direksyon
taxi,Taksi
building-help,Tulong sa Gusali
accessibility,Akses + Mobility
transit-rides,Pampublikong Sasakyan
in-a-building,Sa Loob ng Gusali
toilets,Banyo
building-words,Salitang Gusali
hotel-words,Salitang Hotel
hotel-basics,Batayan sa Hotel
hotel-requests,Kahilingan sa Hotel
room-problems,Problema sa Kwarto
laundry,Labahan
place-words,Pangalan ng Lugar
border-customs,Imigrasyon + Adwana
trail-words,Salitang Landas
pickup-meeting,Sundo + Tagpuan
rail-station-words,Tren + Istasyon
common-signs,Karaniwang Karatula
weather,Panahon + Kondisyon
hiking-parks,Pag-akyat + Parke
trail-conditions,Kondisyon + Ruta
trail-transport,Sasakyan + Serbisyo
trail-warnings,Babala sa Landas
trail-landmarks,Patunguhan + Pasilidad
emergency-medical,Emergency + Medikal
medical-conditions,Sakit + Gamot
pharmacy-symptoms,Botika + Sintomas
body-parts,Bahagi ng Katawan
lost-rescue,Nawala + SAR
police-consulate,"Pulis, Nakaw + Konsulado"
